Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
White,"Benjamin White, you BEAUTY 😭😭😭

#FPL #FPLCommunity https://t.co/HB8A1mJVRQ",2024-03-05,2024-03-08,Tue Mar 05 05:12:59 +0000 2024,29,28,0,596,0,False
White,"#GW27

⬆️ Up to 8.2k now, first time ever inside top 10k
⭐️ Ben bloody white &amp; kept the faith with darwin over Solanke.
♻️ Made the switch from richie to Son for a +7

Looking ahead to #GW28 will bring in 2/3 doublers, look to free hit 29 maybe.

#fpl #FPLCommunity https://t.co/BdYqDqrObT",2024-03-05,2024-03-08,Tue Mar 05 07:38:54 +0000 2024,29,28,4,214,0,False
White,"Forst red arrow from GW19. A small one thanks to White man 🫡 
#FPL https://t.co/w21tu99a43",2024-03-05,2024-03-08,Tue Mar 05 06:23:37 +0000 2024,29,28,1,84,0,False
White,"93 (-4) = 89 All Out [27% ⬆️]

Saka captain WORKED 🙏🏻 (Could have been bigger)
Estupinan to White for a hit was SUCCESS!

#FPL #FPLCommunity https://t.co/CPAkBVvvy9",2024-03-05,2024-03-08,Tue Mar 05 08:36:15 +0000 2024,29,28,5,596,1,False
White,"𝐄𝐗𝐏𝐋𝐎𝐈𝐓𝐈𝐍𝐆 𝐓𝐇𝐄 𝐖𝐄𝐀𝐊𝐍𝐄𝐒𝐒 - 𝐃𝐆𝐖 𝟐𝟖🚨 

Here is the Zonal Weakness 🧵for DGW 28. 6️⃣ Matches data. WORST 5 ranks (White). 2️⃣ Slides

📍Zonal pod (16 min) 
📍Review 27 &amp; Transfer Review
📍Fixtures
📍Team of the week

Data - @FFScout

#FPL #FPLCommunity #SkyFF https://t.co/WbDvpUuie8",2024-03-05,2024-03-08,Wed Mar 06 19:16:11 +0000 2024,29,28,81,7811,3,False
White,"#fpl most points this year

Saka 69
Watkins 63
Foden 62
Havertz 51
Martinelli 50
Rodrigo 45
Morris 44
Gabriel 44
Muniz 44
Odegaard 43
Gross 42
Bailey 42
Rice 42
Haaland 40
Douglas Luiz 40
White 39
Kiwior 38
Palmer 37
Bowen 34
Saliba 34
Richarlison 34
Solanke Gordon Ward Pr 32",2024-03-05,2024-03-08,Wed Mar 06 20:51:30 +0000 2024,29,28,4,504,0,False
White,"@OfficialFPL @FPLFamily I already have Saiba, Ødegaard &amp; Ben White. Safe for now 🙏 
#FPL #FPLCommunity",2024-03-05,2024-03-08,Tue Mar 05 15:18:19 +0000 2024,29,28,0,2135,0,False
Saka,"No player has scored more points over a six Gameweek run this season than Bukayo Saka 💫

#FPL https://t.co/2J6piHHhEt",2024-03-05,2024-03-08,Wed Mar 06 15:54:20 +0000 2024,19,28,6333,6390626,74,False
Saka,"FPL Captaincy Choice GW28
Dominic Solanke- @ home to Sheff &amp; Luton - TRIPLE CAPTAIN anyone?
Bukayo Saka - @ home to Brentford, can anyone stop the ARS?
Rodrigo Muniz - Away to Wolves, COYW!
Who will be your Captain for GW28?
#fplcommunity #fpl #fantasypremierleague @FPLCrusader https://t.co/UhIHCrRCdh",2024-03-05,2024-03-08,Thu Mar 07 23:30:34 +0000 2024,19,28,2,266,0,False
Saka,#FPL #FPLCommunity Looks like Arteta subbed Saka to satisfy the OCD in me 😂 Perfect 💯. I think my first 100 pointer ever (of course OR sucks lol). Massive green arrow! Thank you @FPL_Divya for suggesting Schar for Doughty 🙏 https://t.co/Px9Usubkxy,2024-03-05,2024-03-08,Tue Mar 05 02:25:58 +0000 2024,19,28,9,21,2,False
