,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Saliba,20,9,55,175700,8,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7437368, 0.4773681, 0.59336734, 0.5511305, 0.7989721, 0.9670407, 0.80201155, 0.9320949, 0.56015754, 0.58935875, 0.6410946, 0.63929504, 0.57142794, 0.86134535, 0.58935875, 0.61422545, 0.59026444, 0.8822452, 0.9025445]","[0.1842394, 0.31287122, 0.37926978, 0.4037595, 0.1811524, 0.024466705, 0.19232099, 0.061813835, 0.41913182, 0.39860508, 0.34664688, 0.33410534, 0.41501948, 0.12169565, 0.39860508, 0.3519225, 0.40387616, 0.09366125, 0.060439598]","[0.07202385, 0.20976062, 0.027362905, 0.04511002, 0.01987551, 0.0084925555, 0.0056674406, 0.0060912347, 0.020710655, 0.012036134, 0.012258515, 0.02659959, 0.013552597, 0.016958978, 0.012036134, 0.033852052, 0.005859413, 0.024093531, 0.037015792]",13.307039469480515,5.083602678030729,0.6093575307168067,0.7003705,0.267558,0.03207145,3,12,4
1,Zinchenko,31,9,2,727,1,"[False, False, False]","[0.63629204, 0.7715536, 0.50152326]","[0.36113685, 0.18509142, 0.4467638]","[0.0025711681, 0.043355078, 0.05171296]",1.909368872642517,0.9929920881986618,0.09763920563273132,0.6364563,0.33099738,0.0325464,1,2,0
2,Ødegaard,14,9,7,13935,2,"[False, False, False, False]","[0.8667376, 0.7298701, 0.8798202, 0.61422545]","[0.11636939, 0.23278865, 0.11124707, 0.3519225]","[0.01689305, 0.03734127, 0.008932681, 0.033852052]",3.090653359889984,0.8123276233673096,0.09701905306428671,0.77266335,0.2030819,0.024254762,1,2,1
3,Havertz,6,9,108,56965,19,"[False, False, False, False]","[0.92714953, 0.5184366, 0.58125603, 0.8197487]","[0.06927613, 0.46454436, 0.38475415, 0.11824096]","[0.0035742922, 0.017018948, 0.03398982, 0.062010348]",2.8465908765792847,1.0368155986070633,0.11659340839833021,0.7116477,0.2592039,0.029148351,1,2,1
4,Gabriel,5,9,447,570859,73,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7437368, 0.8749192, 0.75586456, 0.84703004, 0.5442385, 0.8667376, 0.84001505, 0.8849484, 0.85941154, 0.91496104, 0.5712346, 0.85413253, 0.956397, 0.96425027, 0.58152664, 0.8820286, 0.98621976, 0.92295986, 0.66115695]","[0.1842394, 0.081889585, 0.19834302, 0.14523697, 0.3997966, 0.11636939, 0.12618944, 0.10763444, 0.1335141, 0.08274802, 0.41439024, 0.13733755, 0.03615661, 0.031649154, 0.40643522, 0.1153888, 0.011462441, 0.038549487, 0.26764363]","[0.07202385, 0.043191236, 0.045792464, 0.00773294, 0.055964947, 0.01689305, 0.033795577, 0.00741722, 0.007074304, 0.0022908964, 0.014375202, 0.008529924, 0.007446343, 0.004100565, 0.0120381685, 0.0025825517, 0.0023177247, 0.038490638, 0.07119942]",15.511768877506256,3.0349741112440825,0.4532570210285485,0.81640893,0.15973549,0.023855632,7,12,0
5,Martinelli,12,9,452,797143,80,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8470612, 0.91019726, 0.89187205, 0.7171706, 0.9363143, 0.8849484, 0.93939286, 0.93062717, 0.8197487, 0.8494425, 0.92295986, 0.8820286, 0.956397, 0.92178595, 0.9395977, 0.5516815, 0.6220021, 0.6915013, 0.51382905]","[0.14514661, 0.08252414, 0.09929711, 0.2690291, 0.054286733, 0.10763444, 0.050410207, 0.04997942, 0.11824096, 0.137699, 0.038549487, 0.1153888, 0.03615661, 0.07240713, 0.046862267, 0.43992376, 0.35724467, 0.2616366, 0.4522443]","[0.007792227, 0.007278717, 0.008830808, 0.013800318, 0.009398964, 0.00741722, 0.0101969885, 0.0193934, 0.062010348, 0.012858574, 0.038490638, 0.0025825517, 0.007446343, 0.0058068736, 0.013540068, 0.008394724, 0.020753235, 0.046862062, 0.03392661]",15.728558123111725,2.934661380946636,0.33678066940046847,0.8278189,0.15445586,0.017725298,3,15,1
6,Jesus,8,9,964,6916349,39,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.91098017, 0.9286909, 0.9363143, 0.9236013, 0.7335644, 0.8197487, 0.81262755, 0.9071339, 0.88586956, 0.6263954, 0.8123268, 0.8729691, 0.7650529, 0.8551535, 0.8548824, 0.9240001, 0.91093016, 0.8792153, 0.6614438]","[0.083661936, 0.036605787, 0.054286733, 0.043970827, 0.26210764, 0.11824096, 0.16723497, 0.06020656, 0.08972357, 0.28895834, 0.16122869, 0.0876147, 0.21606289, 0.12103385, 0.12193907, 0.051012464, 0.069061734, 0.09434226, 0.31871164]","[0.0053579146, 0.034703214, 0.009398964, 0.032427873, 0.00432797, 0.062010348, 0.020137548, 0.03265954, 0.02440684, 0.08464627, 0.026444482, 0.039416112, 0.018884197, 0.023812544, 0.023178456, 0.02498742, 0.020008212, 0.02644251, 0.01984452]",16.0209002494812,2.446004617959261,0.5330949355848134,0.8432053,0.12873708,0.02805763,1,17,1
7,Nketiah,13,9,0,4339,0,[False],[0.5900333],[0.37281558],[0.037151106],0.5900332927703857,0.3728155791759491,0.03715110570192337,0.5900333,0.37281558,0.037151106,0,0,1
8,Raya,113,9,19,17284,10,"[False, False, False, False, False, False, False]","[0.7631667, 0.8868717, 0.9113278, 0.6156659, 0.84669185, 0.61422545, 0.5563091]","[0.15656596, 0.06638605, 0.05824547, 0.36760026, 0.140129, 0.3519225, 0.42554998]","[0.08026737, 0.04674232, 0.030426743, 0.016733866, 0.013179069, 0.033852052, 0.018140865]",5.194258511066437,1.5663992427289486,0.23934228532016277,0.74203694,0.22377132,0.034191754,0,6,1
9,White,29,9,3832,12857058,156,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5247222, 0.81215894, 0.87282383, 0.9780255, 0.87096834, 0.65318966, 0.65318966, 0.7045943, 0.77811325, 0.9303331, 0.8868717, 0.6955738, 0.9324852, 0.7335644, 0.6577166, 0.8345336, 0.69411105, 0.51531327, 0.545381]","[0.28549266, 0.13510701, 0.12463674, 0.020924106, 0.12326803, 0.3440888, 0.3440888, 0.26759726, 0.20080225, 0.058455706, 0.06638605, 0.300391, 0.060572844, 0.26210764, 0.33963472, 0.084688306, 0.30199262, 0.47983858, 0.44885358]","[0.1897852, 0.052734032, 0.0025393548, 0.0010503969, 0.0057635824, 0.0027215262, 0.0027215262, 0.027808411, 0.021084508, 0.011211198, 0.04674232, 0.004035239, 0.0069420235, 0.00432797, 0.002648663, 0.080778114, 0.0038963805, 0.0048481575, 0.0057653454]",14.273669362068176,4.248926680535078,0.4774039468029514,0.7512457,0.22362772,0.025126522,8,11,0
10,Saliba,20,8,178,80557,23,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.94571227, 0.9569063, 0.85663676, 0.740439, 0.67333275, 0.5016752, 0.87034065, 0.98550355, 0.5629422, 0.8433322, 0.5752274, 0.7731977, 0.8620313, 0.49977246, 0.9208731, 0.8002575, 0.62370336, 0.84751564]","[0.04623071, 0.03979771, 0.110206716, 0.17275824, 0.32216123, 0.48598623, 0.123694144, 0.011866598, 0.41786695, 0.14614308, 0.39972982, 0.19839883, 0.101559535, 0.4794819, 0.07444523, 0.19124134, 0.2917567, 0.14516127]","[0.008057038, 0.0032959753, 0.033156555, 0.08680273, 0.004506032, 0.012338566, 0.0059651574, 0.0026298356, 0.019190954, 0.010524815, 0.025042737, 0.028403424, 0.036409263, 0.020745663, 0.004681691, 0.008501134, 0.084539965, 0.007323103]",13.839399307966232,3.7584862178191543,0.40211463579908013,0.7688555,0.20880479,0.022339704,4,10,4
11,Zinchenko,31,8,0,325,0,[False],[0.9271852],[0.06906483],[0.0037499126],0.9271851778030396,0.06906483322381973,0.003749912604689598,0.9271852,0.06906483,0.0037499126,0,1,0
12,Ødegaard,14,8,8,10305,4,"[False, False, False, False, False, False, False]","[0.5032685, 0.648699, 0.7202508, 0.81399614, 0.7345859, 0.5545347, 0.9400132]","[0.41192973, 0.32942858, 0.25579396, 0.17435372, 0.26122972, 0.43269154, 0.048892647]","[0.0848018, 0.021872438, 0.023955252, 0.011650174, 0.0041844067, 0.012773809, 0.0110942125]",4.91534811258316,1.9143199026584625,0.17033209325745702,0.7021926,0.27347428,0.024333159,4,1,2
13,Havertz,6,8,27,7047,6,"[False, False, False, False, False, False, False, False]","[0.8705215, 0.63868403, 0.7625269, 0.77110744, 0.6226418, 0.92727345, 0.7053509, 0.5545347]","[0.11798739, 0.32994676, 0.22760013, 0.1187036, 0.35930777, 0.056556452, 0.25500047, 0.43269154]","[0.011491113, 0.031369206, 0.009872937, 0.110188924, 0.018050388, 0.016170084, 0.039648656, 0.012773809]",5.852640688419342,1.8977941013872623,0.24956511612981558,0.73158014,0.23722427,0.031195639,3,5,0
