Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Saka,"Player #FPL Returns vs. Blanks When Started

Data: @FFScout (GW1-12)
Returns: Goals, Assists, or Clean Sheets (for defenders)
DD: Double Digit Hauls

⭕️ Salah (5DD), Haaland (4DD), Watkins and Saka were consistent in giving returns

⭕️Darwin, Palmer and Wilson blanked only once https://t.co/Ymy0QP2OXo",2023-11-12,2023-11-24,Sat Nov 18 16:02:33 +0000 2023,19,13,83,7912,2,False
Saka,"FREE HIT DRAFT GW13 💯🎯

Bowen ⚒️
Doucure 🔵
Mitchell 🦅
Livramento 🧱
Solanke 🍒

Haaland &amp; Son &amp; Saka and Salah 👑

#fpl #GW13 https://t.co/Hw2w9jk6gz",2023-11-12,2023-11-24,Fri Nov 17 15:10:36 +0000 2023,19,13,7,19,0,False
Saka,"GW 12 Review 📝

Total point : 58 
Or: 1.4m ➡️ 1.9m 
Red arrow 🔴

Frustrated that saka only get 1 assists 😭

#FPL #FPLCommunity https://t.co/P4lTEGs18v",2023-11-12,2023-11-24,Mon Nov 13 11:50:11 +0000 2023,19,13,2,151,0,False
Saka,"GW 12
Back in the top 50k 🌎
Good to have both Salah and Haaland 💪
Saka, palmer, mbeumo and saliba on my radar
#FPL
#FPLCommunity https://t.co/2QEWa38Gts",2023-11-12,2023-11-24,Sun Nov 12 19:18:45 +0000 2023,19,13,1,91,0,False
Saka,"My results on #GW12 on #FPL 
65 points, red arrow, I moved down the rank a bit
Why on Earth I decided to captain Saka? https://t.co/DdtWMcZawa",2023-11-12,2023-11-24,Mon Nov 13 08:05:01 +0000 2023,19,13,1,76,0,False
Saka,"GW 12 results 

Points: 83 
OR: 244k

A late captaincy call on Saka probably destroyed a wonderful GW for me. 

Adingra and Tsimi🌟

A much needed break ahead ! 

#FPL #FPLCommunity #FPLGreece https://t.co/3wDizzUfwr",2023-11-12,2023-11-24,Sun Nov 12 23:50:56 +0000 2023,19,13,3,204,1,False
Saka,"My team of the season #TOTS so far

What changes would you make?

Notable omissions:

Saka
Alvarez 
Son
Mbeumo
Watkins

#FPL  #FPLCommunity #PremierLeague https://t.co/B2cwPcwiXx",2023-11-12,2023-11-24,Tue Nov 21 22:46:04 +0000 2023,19,13,1,317,1,False
Saka,"1FT for this week. Saka and Mbeumo the 2 Bowen replacements I’ve narrowed it down to. If I go to Saka, I’d get Mbeumo in next week for Diaby.

Want rid of Cash too and Son potentially on my bin list soon, not too sure on him as an asset without Maddison! #fpl https://t.co/j3fwAeglHx",2023-11-12,2023-11-24,Thu Nov 23 14:41:05 +0000 2023,19,13,2,74,0,False
Saka,"No idea what to do next gameweek. Want rid of Gordon, Diaby, Mitoma, Cash and Ederson 🥴 no idea who to bring In for Cash, want Mbuemo, Bowen, Saka, but don’t want to take massive hits. Absolutely stuck 🥴 #fpl https://t.co/o2Ets6lCfN",2023-11-12,2023-11-24,Sun Nov 12 22:47:50 +0000 2023,19,13,0,19,0,False
Saka,Truly feel City-Chelsea saved me this week. Not a bad gameweek considering Son blank and Saka haul. #FPL https://t.co/QFqX2ML37S,2023-11-12,2023-11-24,Sun Nov 12 20:38:57 +0000 2023,19,13,0,134,0,False
