Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Broja,"#FPL assets ranked (in order):

Best buys: Palmer, Sterling

Cheap beasts: (Palmer), Sanchez, Colwill

Underrated picks: Badiashile, Silva, Mudryk

Not a fan: Disasi, Cucurella, Enzo

One for later: Nkunku, Gusto, Madueke

Avoids: Jackson, Broja, Maatsen, Caicedo, Gallagher https://t.co/qssNT1k7mB",2023-12-11,2023-12-15,Tue Dec 12 14:19:28 +0000 2023,193,17,10,9690,1,False
Broja,"Anybody ITK with Chelsea care to comment on the likelihood of a Broja start this week? 

#fpl #FPLCommunity #ChelseaFC #GW17",2023-12-11,2023-12-15,Thu Dec 14 12:17:17 +0000 2023,193,17,0,1314,0,False
Broja,"3️⃣ JACKSON/BROJA - SHU conceded 20 Chances from the Centre and ranked 8th

Both are predicted to score 3.77 (Jackson), 2.32 (Broja)

xGI - 5.02 (Jackson), 0.28 (Broja) 

#FPLCommunity #FPL #SkyFF",2023-12-11,2023-12-15,Thu Dec 14 21:15:21 +0000 2023,193,17,4,7713,1,False
Disasi,"#FPL assets ranked (in order):

Best buys: Palmer, Sterling

Cheap beasts: (Palmer), Sanchez, Colwill

Underrated picks: Badiashile, Silva, Mudryk

Not a fan: Disasi, Cucurella, Enzo

One for later: Nkunku, Gusto, Madueke

Avoids: Jackson, Broja, Maatsen, Caicedo, Gallagher https://t.co/qssNT1k7mB",2023-12-11,2023-12-15,Tue Dec 12 14:19:28 +0000 2023,611,17,10,9690,1,False
Badiashile,"#FPL assets ranked (in order):

Best buys: Palmer, Sterling

Cheap beasts: (Palmer), Sanchez, Colwill

Underrated picks: Badiashile, Silva, Mudryk

Not a fan: Disasi, Cucurella, Enzo

One for later: Nkunku, Gusto, Madueke

Avoids: Jackson, Broja, Maatsen, Caicedo, Gallagher https://t.co/qssNT1k7mB",2023-12-11,2023-12-15,Tue Dec 12 14:19:28 +0000 2023,191,17,10,9690,1,False
Palmer,"Gameweek 17 🔒
Haaland and Trippier benched
Douglas Luiz out
Palmer in
Watkins capped, Foden vice.
Any thoughts are welcome 👍🏼
@matchdaze
#football #fpl #fpltips #FantasyFootball #fantasypremierleague #fpl2023 #FPLCommunity #fplscout #matchdazefc #fplmanager #fplfantasymanager https://t.co/tVpHABEVhp",2023-12-11,2023-12-15,Thu Dec 14 11:09:02 +0000 2023,362,17,0,335,0,False
Palmer,"📆Gameweek 16
💯Score: 41
➡️Overall Rank: 6 255 (⬇️4 098)
⭕️Round Rank: 5 105 585
🍫Salah, Pickford 
🔪Romero, Palmer
🎯Solanke, Porro  
🔄Mbeumo to Palmer
#FPL #FPLCommunity https://t.co/dRfgAiA3uB",2023-12-11,2023-12-15,Wed Dec 13 07:47:28 +0000 2023,362,17,0,30,1,False
Palmer,"#FPL GW16 : 42 points
Total : 916 points
Ovr. Rank : 🔻911,9k
Team Value : £ 101.7m
🔄 : Adingra to Palmer, Mbeumo to Hwang (-4 pts)
©️ Haaland ➡️ Salah

#VinCyaPerNoi https://t.co/e9afAr1Uhh",2023-12-11,2023-12-15,Wed Dec 13 09:45:29 +0000 2023,362,17,0,117,1,False
Palmer,"⬆ Price rise: Palmer (CHE MID) £5.5m 

Recent stats: 
Pts/appearance: 3.60 😕
Bps: [0,0,0,1,0] 😕
Starts: 4 of 5
Mins/appearance: 73 🤔
Ownership: 18.7%
Fixtures: ""EXCELLENT"" (1st of 20)

#Palmer #pricealert #CHE #fpl #ffs 

[🧵2/5] https://t.co/zG49k1yzGx",2023-12-11,2023-12-15,Mon Dec 11 01:40:30 +0000 2023,362,17,0,434,1,False
Palmer,"I own Palmer. 

I want him to get a 🟨 vs SHU in GW17

#FPL #FPLCommunity 🔬⚽️ 🙄 https://t.co/QxrAf2rMTl",2023-12-11,2023-12-15,Thu Dec 14 21:04:41 +0000 2023,362,17,16,4986,3,False
Palmer,"Early #FPL #GW17 Tips:

📌 Keep Trippier. Banned for Fulham (H), but back for Luton (A) then Forest (H)

📌 If the Haaland injury isn't bad, keep him. Don't want to transfer him out &amp; then transfer him back in.

📌 If you still have Cash, sell.

📌 If you already have Palmer, no https://t.co/td5LEpOCvd",2023-12-11,2023-12-15,Mon Dec 11 16:51:02 +0000 2023,362,17,4,2858,3,False
Palmer,"GW14 🔒

Bowen ❌
Palmer (1 FT) ✅
Haaland 🧢
579k 🌎

Palmer in for Chelsea’s lovely run of fixtures, given my luck this season, watch Bowen start and haul now 😉

May all your arrows be green! 💚

#FPL https://t.co/DTEFXXQW5Q",2023-12-11,2023-12-15,Tue Dec 12 08:59:55 +0000 2023,362,17,0,98,1,False
Palmer,"Final score for #GW16: 80
Overall Points: 995
Overall Rank: 19,840 🎄 
Stars: Salah, Son, Senesi
Flops: Haaland, Palmer
Thoughts: Don't know how I'll sort out Trippier, Branthwaite, and Haaland, but I'll try
#FPL #FPLCommunity #GW17 https://t.co/h62Hfc0ET9",2023-12-11,2023-12-15,Mon Dec 11 05:20:27 +0000 2023,362,17,1,156,0,False
Palmer,"GW16 47 pts. 
769K🥀824K red arrow 
No Son hurts
If Haaland is out, will hope for 5th yellow for Palmer, to get back for Son

The best #FPL content https://t.co/V067T5Yojf",2023-12-11,2023-12-15,Tue Dec 12 10:31:00 +0000 2023,362,17,1,23,0,False
Palmer,"🚍:GW17
🌎:1️⃣0️⃣.5️⃣k
🔄:Maguire▶️Porro
🏦:0️⃣.1️⃣m
🧢:Salah 
🚑:Haaland [50%], Areola [75%]
🚫:Trippier, Taylor

✍️:I've gone early on Porro before💰🔼, the 0.1 may come in handy with Palmer &amp; Lascelles on 4x🟨

GW18:Archer▶️Semenyo!

Holding Haaland, think 2FTs more valuable!

#FPL https://t.co/s4WJrW24dv",2023-12-11,2023-12-15,Mon Dec 11 12:20:54 +0000 2023,362,17,1,1953,1,False
Palmer,"🚨- 8 Reveal 🚨
Son, Jimenez and Palmer come in for the latter Xmas fixtures. If this allows me to field 11 in GW18 and roll that week it should justify the hit. Also by no means is Raul a Haaland replacement, Jesus will be brought in for Wissa when the time is right #FPL https://t.co/oKpNBkh6HS",2023-12-11,2023-12-15,Thu Dec 14 16:22:42 +0000 2023,362,17,1,980,0,False
Palmer,"𝐂𝐡𝐞𝐥𝐬𝐞𝐚

Despite Chelsea's recent struggles in form, their upcoming fixtures are hard to ignore. 

Could this be the moment for a turnaround? 

Apart from Palmer, who else is catching your eye on the watchlist?
#FPL #GW17 https://t.co/UiCT1Ua4ZA",2023-12-11,2023-12-15,Mon Dec 11 12:15:35 +0000 2023,362,17,13,5142,10,False
Palmer,"#FPL assets ranked (in order):

Best buys: Palmer, Sterling

Cheap beasts: (Palmer), Sanchez, Colwill

Underrated picks: Badiashile, Silva, Mudryk

Not a fan: Disasi, Cucurella, Enzo

One for later: Nkunku, Gusto, Madueke

Avoids: Jackson, Broja, Maatsen, Caicedo, Gallagher https://t.co/qssNT1k7mB",2023-12-11,2023-12-15,Tue Dec 12 14:19:28 +0000 2023,362,17,10,9690,1,False
Palmer,"GW 16!
58 pts!
444k ➡️ 328k
Salah VC and Son the only returns this week...
Sanchez injury when i just bought him is not ideal..
Palmer blanked as well.. 
Hoping Turner can start again next week.
Looks like a -4 in GW17 with the injuries and suspensions...
#FPL #FPLCommunity https://t.co/2ZaursGk6X",2023-12-11,2023-12-15,Mon Dec 11 03:46:26 +0000 2023,362,17,0,75,0,False
Palmer,"❌ Fernandes
❌ Trippier
🤏 Palmer
🤏 Hwang
🤏 Romero

Some #FPL big-hitters are suspended for Gameweek 17, or one booking away from automatic suspension 😬

Tap to see the full list 👇",2023-12-11,2023-12-15,Mon Dec 11 20:20:00 +0000 2023,362,17,984,6364773,61,False
