Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Badiashile,"LINE-UPS | #BHACHE

🕊️ BHA: Verbruggen, Lamptey, Webster, Dunk, Igor, Gross, Gilmour, Buonanotte, Enciso, Adingra, Pedro

🧿 CHE: Petrovic, Gusto, Chalobah, Badiashile, Cucurella, Caicedo, Gallagher, Madueke, Palmer, Mudryk, Jackson

#FPL",2024-05-12,2024-05-18,Wed May 15 17:50:51 +0000 2024,191,38,90,357662,3,False
Nkunku,"@OfficialFPL Goal - NKUNKU
Assist - GUSTO

Brighton 0-2 Chelsea (64 mins)

#FPL #BHACHE
https://t.co/b0FAyus7tS",2024-05-12,2024-05-18,Wed May 15 20:16:32 +0000 2024,212,38,18,11620,0,False
Nkunku,"⚽ | Goal - Nkunku 

🅰️ | Assist - Gusto

Brighton 0-2 Chelsea 

#FPL || #BHACHE
 https://t.co/dT9fQtpdEe",2024-05-12,2024-05-18,Wed May 15 20:24:00 +0000 2024,212,38,7,673,0,False
Nkunku,"Is Nkunku the best punt for GW38? 🤔

✅ 3 goals in 2 starts 
✅ 0.8% owned
✅ BOU (H) 

#FPL #FPLCommunity https://t.co/GqHjD6a6EZ",2024-05-12,2024-05-18,Wed May 15 20:20:35 +0000 2024,212,38,26,3947,3,False
Nkunku,"🚍Team for GW38

A lot of ""1 Week Punt"" options

1-Tarko out for Van De Ven, Gomez/Quansah, Munoz, Tomiyasu

2- Gordon out for Gross, Olise, Gallagher/Madueke, Johnson, Mac Allister

3- Toney out for Darwin/Gakpo, Jackson/Nkunku, Solanke, Welbeck, Wood

#FPL #GW38   @fplteam_ 🧡 https://t.co/l4xM30YzlH",2024-05-12,2024-05-18,Tue May 14 08:10:30 +0000 2024,212,38,1,39,0,False
Nkunku,"Goal - NKUNKU
Assist - GUSTO

Brighton 0-2 Chelsea (64 mins)

#FPL #BHACHE",2024-05-12,2024-05-18,Wed May 15 20:15:33 +0000 2024,212,38,2374,6364307,46,False
Nkunku,"If you can get Nkunku in #FPL for the GW38, get him!",2024-05-12,2024-05-18,Wed May 15 21:17:59 +0000 2024,212,38,0,419,0,False
Nkunku,"Mateta or Saka or Luis Diaz or Gakpo or Watkins? #FPL 

My final transfer should be one of these!

Nkunku would mean a hit.",2024-05-12,2024-05-18,Thu May 16 09:03:22 +0000 2024,212,38,0,419,0,False
Nkunku,"#GW38 out of the box punts (for the ones who need to gain OR or chasing) !!!

1. Nkunku
2. Mbuemo 
3.  Olise
4. Diaz

#FPL #FPLCommunity https://t.co/I4iwsPdSe6",2024-05-12,2024-05-18,Thu May 16 12:59:24 +0000 2024,212,38,2,8394,1,False
Nkunku,"Nkunku doubles Chelsea’s lead.
Gusto assist.

2-0 

#FPL",2024-05-12,2024-05-18,Wed May 15 20:15:16 +0000 2024,212,38,27,66721,1,False
Nkunku,"Random list of differentials I like from each team (&lt;5% owned) #FPL 

🔫 Trossard
🦁 Bailey
🍒 Kluivert
🐝 Reguilon
🕊️ Barco
🟤 Bruun Larsen
🔵 Nkunku
🦅 Olise
🍬 Doucoure
🏡 Muniz
🔴 Elliott
🟠 Adebayo
👕 B.Silva
😈 Diallo
🐦‍⬛ Hall
🌳 CHO
⚔️ Diaz
🐓 Johnson
⚒️ Antonio
🐺 Cunha",2024-05-12,2024-05-18,Fri May 17 12:21:11 +0000 2024,212,38,45,9694,4,False
Nkunku,"Players on my watchlist for GW38

- Gakpo (WOL)
- Johnson (shu)
- Olise (AVL)
- Nkunku (BOU)
- MGW (bur)

Who are you monitoring ahead of the #GW38 deadline?

#FPL #FPLCommunity",2024-05-12,2024-05-18,Thu May 16 14:00:45 +0000 2024,212,38,2,1188,1,False
Nkunku,"⚽️ | GOAL - Christopher Nkunku
🅰️ | ASSIST - Malo Gusto

🕊️ Brighton 0-2 Chelsea 🧿

#FPL | #BHACHE",2024-05-12,2024-05-18,Wed May 15 20:17:29 +0000 2024,212,38,42,357662,8,False
Nkunku,"Season almost over so:

In #FPL terms your picks of the season?
My:
🏆 Player of the season: Watkins
❌ Flop of the season: Nkunku
🤕 Frustrating player: Darwin
💫 Best Squad player: Branthwaite
👕 Breakthrough: Palmer
👀 Random fact : Only got one ""100+ points"" so far",2024-05-12,2024-05-18,Wed May 15 01:51:59 +0000 2024,212,38,0,554,0,False
Nkunku,"@FPLMate 1. Take - 4 hit/ - 8 hit

Wilson ➡️ Gakpo/Nkunku
*KDB ➡️ Foden/Havertz/Trossard
*Gordon ➡️ Olise/Gibbs-White/Hudson-Odoi

*If not fit.

If Wilson fit and starts, I will keep him

2. Haaland
3. No chips
4. 🌍OR 233k

#FPL #FPLCommunity",2024-05-12,2024-05-18,Thu May 16 04:16:50 +0000 2024,212,38,0,375,5,False
Palmer,"@OfficialFPL Goal - PALMER
Assist - CUCURELLA

Brighton 0-1 Chelsea (34 mins)

#FPL #BHACHE
https://t.co/3Hqxv65Ay7",2024-05-12,2024-05-18,Wed May 15 19:21:35 +0000 2024,362,38,32,11618,0,False
Palmer,"⚽ | Goal - Palmer 

🅰️ | Assist - Cucurella 

Brighton 0-1 Chelsea 

#FPL ||  #BHACHE
 https://t.co/YmHLjKhVES",2024-05-12,2024-05-18,Wed May 15 19:25:32 +0000 2024,362,38,2,672,1,False
Palmer,"Cole Palmer has the highest point in #FPL , what player ! https://t.co/rTR5B95GGu",2024-05-12,2024-05-18,Mon May 13 14:55:48 +0000 2024,362,38,1,4900,0,False
