,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,ict_prev,ict_prev_3,ict_prev_5,ict_prev_10,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_scored_prev_10,team_xG_conceded,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,team_goals_scored,team_goals_scored_prev_3,team_goals_scored_prev_5,team_goals_scored_prev_10,team_goals_conceded,team_goals_conceded_prev_3,team_goals_conceded_prev_5,team_goals_conceded_prev_10,prev_opp_goals_scored,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_10_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_5_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,avg_opp_xG_conceded,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_assists,prev_season_xA,prev_season_key_passes,prev_season_yellow,prev_season_red,prev_season_mins,prev_season_clean_sheets,Web Name,Unnamed: 0.1,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Alfie Gilchrist,716,Chelsea,36,2024-05-05T13:00:00Z,0,0,0,0,0,1,0.4522613065326633,0.0,0.0,1.139240506329114,0.9278350515463918,0.1447236180904522,0.1071428571428571,0.0,0.170886075949367,0.2041237113402061,2.2613065326633164,2.142857142857143,2.3376623376623376,2.278481012658228,1.855670103092784,0.0,0.0,0.0,0.0,0.0,0.0226130653266331,0.0,0.0233766233766233,0.0227848101265822,0.0371134020618556,0.0,0.0,0.0,0.0,0.0,2.0,1.8,6.633333333333334,84.0,38.5,19.75,10.77777777777778,0.4522613065326633,0.0,1.0,5.0201005025125625,2.142857142857143,1.87012987012987,7.746835443037976,7.515463917525774,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,5749,822,1,0.6333333333333333,2,0.5804169509936358,0.2104808723383514,2.062346466666667,1.58372,1.76503975,2.3079498888888885,1.7102031,2.0354185,1.75784925,1.835693555555556,2.0,1.0,2.5,2.4444444444444446,1.8,3.5,2.25,2.111111111111111,2.0,1.3333333333333333,1.6,1.8,5.0,2.6666666666666665,2.6,2.1,1.34536,1.3132533333333334,1.2809028000000002,1.437517,3.7185,3.03868,2.863898,2.3239074,1.588235294117647,1.8529411764705883,1.4379827058823529,2.012967294117648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Gilchrist,130.0,130,278,366445,19,"[0.9347353, 0.71760994, 0.855957]","[0.059531737, 0.26359144, 0.114191964]","[0.0057329955, 0.01879871, 0.029851055]",2.5083022117614746,0.4373151399195194,0.0543827610090374,0.83610076,0.14577173,0.018127589,0,3,0
1,Armando Broja,193,Chelsea,2,2023-08-20T15:30:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,184,1721,0,0.0,4,0.4697469746974698,0.2684268426842685,1.93258,1.93258,1.93258,1.93258,1.29994,1.29994,1.29994,1.29994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4834,1.4834,1.4834,1.4834,1.51025,1.51025,1.51025,1.51025,1.0,1.0,1.4834,1.51025,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,226.0,226,3,7599,3,"[0.6803384, 0.90882814, 0.86384887]","[0.29500118, 0.08682595, 0.13072917]","[0.024660368, 0.004345962, 0.005422045]",2.453015387058258,0.5125562995672226,0.0344283743761479,0.8176718,0.17085211,0.011476125,0,2,1
2,Armando Broja,193,Chelsea,3,2023-08-25T19:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,160,857,0,0.0,4,0.7463786266901711,0.1643051925649011,1.77087,1.77087,1.77087,1.77087,1.50614,1.50614,1.50614,1.50614,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.5,0.5,0.5,3.0,3.5,3.5,3.5,0.465741,1.1758405,1.1758405,1.1758405,3.41419,3.890835,3.890835,3.890835,0.5,3.5,1.1758405,3.890835,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,98.0,98,88,61527,18,"[0.778997, 0.79790264, 0.54939777, 0.9174964, 0.78952146, 0.693078, 0.4943717]","[0.2161562, 0.17009655, 0.43830886, 0.0791188, 0.13654959, 0.27892548, 0.4868416]","[0.004846837, 0.03200081, 0.0122933565, 0.0033847606, 0.07392892, 0.02799658, 0.018786669]",5.020764946937561,1.80599707365036,0.173237934242934,0.7172522,0.25799957,0.024748277,3,3,1
3,Armando Broja,193,Chelsea,4,2023-09-02T14:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,111,527,0,0.0,4,0.6938555947164486,0.1903619723078924,2.3186433333333336,2.3186433333333336,2.3186433333333336,2.3186433333333336,1.1593403333333334,1.1593403333333334,1.1593403333333334,1.1593403333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.0,2.0,2.0,2.0,0.960354,1.0994896666666667,1.0994896666666667,1.0994896666666667,3.02803,1.473896,1.473896,1.473896,1.6666666666666667,2.0,1.0994896666666667,1.473896,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,79.0,79,358,411232,10,"[0.8763265, 0.92147964, 0.908098, 0.9233996, 0.9852094, 0.89093876, 0.89548546, 0.92147964, 0.85998935, 0.93151826]","[0.093854584, 0.0402872, 0.06652253, 0.047974423, 0.013239941, 0.08052719, 0.07181367, 0.0402872, 0.10808846, 0.039612863]","[0.029818904, 0.038233172, 0.025379462, 0.028625913, 0.0015506386, 0.02853409, 0.03270093, 0.038233172, 0.031922143, 0.028868869]",9.113924622535706,0.6022080648690462,0.2838672935031354,0.9113925,0.060220815,0.02838673,1,9,0
4,Armando Broja,193,Chelsea,8,2023-10-07T14:00:00Z,0,0,0,0,0,45,1.2,1.40625,0.0,0.0,1.2,0.6,0.6890625,0.0818181818181818,0.0818181818181818,0.6,3.6,2.8125,16.363636363636363,16.363636363636363,2.4,0.0,0.0,0.0,0.0,0.0,0.024,0.028125,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,10.714285714285714,64.0,5.5,2.75,10.714285714285714,0.0,0.0,0.0,8.4,9.0,4.909090909090909,4.909090909090909,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,40443,7763,1,1.0,4,0.5467142203050823,0.2454635274839145,1.9741271428571427,1.296965,2.073135,1.9741271428571427,1.139692,1.22997,1.01904525,1.139692,1.0,0.0,0.75,1.0,0.8571428571428571,0.5,0.5,0.8571428571428571,2.0,0.6666666666666666,1.0,0.8571428571428571,1.0,1.3333333333333333,2.0,2.2857142857142856,0.920206,0.885833,1.026238,0.8675467142857143,1.53058,1.818671,1.7119316000000002,1.971044,0.8571428571428571,2.2857142857142856,0.8675467142857143,1.971044,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,25.0,25,62,182476,3,"[0.6751907, 0.95240825, 0.7742581, 0.96946365, 0.9689571, 0.68024355, 0.7903767, 0.9417685, 0.925091, 0.87151253]","[0.31163016, 0.024361635, 0.11692256, 0.023809714, 0.028928336, 0.314464, 0.2044406, 0.031195322, 0.041854147, 0.123214506]","[0.013179156, 0.023230122, 0.108819276, 0.0067265388, 0.0021145497, 0.0052924445, 0.005182682, 0.02703612, 0.03305484, 0.0052729147]",8.549270153045654,1.2208209726959467,0.2299086432904005,0.85492694,0.12208209,0.022990864,1,9,0
5,Armando Broja,193,Chelsea,9,2023-10-21T16:30:00Z,0,0,0,0,0,0,0.75,0.0,1.2,1.2,0.75,0.4349999999999999,0.16,0.6,0.6,0.4349999999999999,3.0,2.0,1.2,1.2,0.75,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.024,0.024,0.03,0.0,0.0,0.0,0.0,0.0,1.375,0.875,15.0,45.0,37.5,18.75,15.0,0.0,0.0,1.0,6.75,4.0,8.4,8.4,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,1,0,6553,15596,0,1.0,4,0.2969697887713292,0.2772859122821633,1.97431875,1.590885,1.71574,1.97431875,1.11681075,1.0120865,1.1249557499999998,1.11681075,1.375,1.0,0.5,1.375,0.875,0.5,0.5,0.875,1.0,2.333333333333333,2.2,2.0,0.0,0.6666666666666666,0.6,0.75,0.386558,2.2678860000000003,1.9031986000000003,1.974427875,0.858071,1.238058,0.9926906,0.9810918750000002,2.0,0.75,1.974427875,0.9810918750000002,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,11.0,11,10,56143,4,"[0.7275667, 0.563333, 0.8377069, 0.74902606, 0.8929895, 0.8865918, 0.93203795, 0.8237831]","[0.24911688, 0.42031094, 0.14153428, 0.22112495, 0.09084662, 0.09313408, 0.06179507, 0.14791088]","[0.023316363, 0.016356086, 0.020758817, 0.02984902, 0.016163923, 0.020274056, 0.006167063, 0.028305972]",6.413035035133362,1.425773710012436,0.1611913009546697,0.80162936,0.17822172,0.020148914,0,8,0
6,Armando Broja,193,Chelsea,17,2023-12-16T15:00:00Z,0,0,0,0,0,15,0.391304347826087,0.0,0.0,0.0,0.5882352941176471,0.2817391304347826,0.1363636363636363,0.1636363636363636,0.0818181818181818,0.3588235294117647,2.347826086956522,1.3636363636363635,4.090909090909091,2.0454545454545454,0.5882352941176471,0.391304347826087,0.0,0.0,2.0454545454545454,0.5882352941176471,0.0195652173913043,0.0136363636363636,0.0,0.0,0.0235294117647058,0.391304347826087,1.3636363636363635,0.0,0.0,0.0,1.625,1.625,14.375,66.0,11.0,11.0,17.0,0.0,0.0,1.0,4.930434782608696,2.4545454545454546,4.500000000000001,3.6818181818181817,5.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,2756,2311,1,1.0625,4,0.7739696228100843,0.1478770928019267,2.0393614375,2.00712,2.11367025,2.212221222222222,1.549206375,2.447274,2.5600145,1.842719,1.625,2.0,2.25,2.333333333333333,1.625,2.0,3.0,2.0,1.0,0.3333333333333333,0.6,0.7,0.0,2.333333333333333,2.2,2.4,0.841976,0.7647596666666666,0.7909691999999999,0.76591974,0.644638,1.683496,1.8552496,2.0384758,0.75,2.5625,0.7712636500000001,2.367923,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,342.0,342,14,18717,2,"[0.63350284, 0.9466156, 0.94492155]","[0.30296263, 0.034835223, 0.03721176]","[0.06353448, 0.018549217, 0.017866686]",2.5250399708747864,0.3750096149742603,0.099950386211276,0.84168,0.1250032,0.033316795,0,3,0
7,Armando Broja,193,Chelsea,22,2024-01-31T20:15:00Z,0,0,0,0,0,0,0.2008928571428571,0.0,0.0,0.0,0.0,0.4499999999999999,0.4015384615384615,0.25875,0.7235294117647059,0.4688212927756654,2.611607142857143,2.769230769230769,2.25,1.1764705882352942,0.6844106463878327,0.2008928571428571,0.0,0.0,0.0,0.3422053231939163,0.0441964285714285,0.1107692307692307,0.01125,0.0529411764705882,0.0342205323193916,0.6026785714285714,1.3846153846153846,1.125,0.5882352941176471,0.6844106463878327,1.6666666666666667,1.4761904761904765,21.33333333333333,65.0,40.0,38.25,29.22222222222222,0.0,0.0,0.0,5.062500000000001,6.230769230769231,5.512500000000001,4.764705882352942,4.003802281368821,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1,1,1787,4413,0,1.1428571428571428,4,0.1859900976193941,0.2077763563427071,2.095607285714286,2.15234,2.3330925,2.0747292222222224,1.4890740952380952,1.7995035,1.4463517499999998,1.904426111111111,1.6666666666666667,2.5,2.0,1.8888888888888888,1.4761904761904765,1.5,1.25,2.111111111111111,4.0,3.333333333333333,2.2,2.3,0.0,0.6666666666666666,0.6,0.8,1.53344,3.2964866666666666,2.5686942,2.1070059,0.834585,0.9059826666666666,0.8404688,1.1583846,2.238095238095238,0.8571428571428571,2.2782904761904765,1.2244570714285714,0.3383458646616541,2.030075187969925,0.2900458030626738,0.0,0.0293259247017086,0.3383458646616541,0.0,0.0,22.166666666666668,1,Broja,296.0,296,0,9,0,[0.78508496],[0.20929495],[0.005620062],0.7850849628448486,0.2092949450016021,0.0056200618855655,0.78508496,0.20929495,0.005620062,0,1,0
8,Axel Disasi,611,Chelsea,2,2023-08-20T15:30:00Z,0,0,0,0,0,90,1.0,1.0,1.0,1.0,1.0,0.47,0.47,0.47,0.47,0.47,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,8.6,8.6,8.6,8.6,8.6,3.0,3.0,3.0,3.0,3.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,285594,13954,0,11.0,2,0.4697469746974698,0.2684268426842685,1.93258,1.93258,1.93258,1.93258,1.29994,1.29994,1.29994,1.29994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4834,1.4834,1.4834,1.4834,1.51025,1.51025,1.51025,1.51025,1.0,1.0,1.4834,1.51025,0.0811054370681886,0.756984079303094,0.0921242254665616,0.0811054370681886,0.0295498690207858,0.2433163112045659,0.0811054370681886,0.0,87.60526315789474,9,Disasi,225.0,225,2802,6630920,98,"[0.9226958, 0.54854804, 0.8124777, 0.8602879, 0.81013596, 0.5779225, 0.91318345, 0.8262997, 0.85921705, 0.81519395, 0.70305645, 0.8371341, 0.7543738, 0.5454548, 0.90281445, 0.8262997, 0.7557568, 0.8262997, 0.95411, 0.56089646]","[0.07110549, 0.4298484, 0.17067961, 0.13752358, 0.18627016, 0.41800067, 0.044395123, 0.16756667, 0.10512359, 0.14592251, 0.27807382, 0.09148204, 0.24326846, 0.4498221, 0.089051366, 0.16756667, 0.24020651, 0.16756667, 0.039661806, 0.43644607]","[0.0061987224, 0.021603586, 0.016842697, 0.0021884795, 0.0035938441, 0.0040767617, 0.04242137, 0.006133637, 0.035659418, 0.038883507, 0.018869644, 0.071383856, 0.0023577777, 0.0047231517, 0.008134227, 0.006133637, 0.004036719, 0.006133637, 0.006228111, 0.002657476]",15.612158477306366,4.079581320285797,0.3082602601498365,0.78060794,0.20397906,0.015413013,4,16,0
9,Axel Disasi,611,Chelsea,3,2023-08-25T19:00:00Z,0,0,1,0,0,90,0.5,0.0,0.5,0.5,0.5,0.235,0.0,0.235,0.235,0.235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0299999999999999,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.0,2.0,90.0,90.0,90.0,90.0,90.0,0.5,0.0,1.0,5.15,1.7,5.15,5.15,5.15,1.5,0.0,1.5,1.5,1.5,0.0,0,0.0,0.0,0.0,0,0,0,0,0,175366,73877,6,5.5,2,0.7463786266901711,0.1643051925649011,1.77087,1.77087,1.77087,1.77087,1.50614,1.50614,1.50614,1.50614,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.5,0.5,0.5,3.0,3.5,3.5,3.5,0.465741,1.1758405,1.1758405,1.1758405,3.41419,3.890835,3.890835,3.890835,0.5,3.5,1.1758405,3.890835,0.0811054370681886,0.756984079303094,0.0921242254665616,0.0811054370681886,0.0295498690207858,0.2433163112045659,0.0811054370681886,0.0,87.60526315789474,9,Disasi,97.0,97,19,102167,6,"[0.94899994, 0.89526117, 0.68767166]","[0.045909207, 0.09452212, 0.267213]","[0.005090847, 0.010216741, 0.04511536]",2.531932771205902,0.4076443128287792,0.0604229471646249,0.84397763,0.13588144,0.020140983,1,2,0
