,kp_90,team_goals,team_concede,mins,mins_prev,mins_prev_10,yellow_cards,was_home,ict_prev,ict_prev_3,ict_prev_5,ict_prev_10,bonus,saves,saves_prev_5,saves_prev_10,transfers_in,transfers_out,average_points,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,team_goals_scored,team_goals_scored_prev_3,team_goals_conceded,team_goals_conceded_prev_10,prev_opp_goals_scored,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_10_opp_goals_conceded,prev_opp_xG_scored,prev_5_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_xG_scored,prev_season_xA,prev_season_key_passes,prev_season_mins,prev_season_clean_sheets,total_points,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played
7,0.1129788857151658,1.5355557324268034,1.3942094255189927,75.57236615199871,85.30384431710627,58.46038652476311,0.1948704881741736,0.521795075877081,2.5493020918079385,2.8813404355216274,4.708361480317875,4.269317971957749,0.155020077830597,1.7932684654609463,1.912819696491676,1.5940164137430632,45687.0,57693.0,3.122414349641912,0.4984817768960588,0.2426453415656013,1.872627632015596,1.434865835766015,1.8155838664256103,2.6548045078535627,2.2541840910533595,1.8146896097194305,1.5355557324268034,0.5,1.3942094255189927,1.5555555555555556,3.0,2.188461742543748,2.0174360607016646,2.026154091052497,1.0,1.104359015175416,1.4087180303508324,2.189114053379196,1.83627404638136,2.037932022341671,1.5498720200580207,0.946396642426412,1.12441208216888,1.28216572074451,1.8102139269150663,2.011851272967931,0.0322769154504881,0.2998346919572168,86.01787968409596,10.0,5.0,0.0,0.0,0.0,2.0,0.0,90.0
23,0.1918274493478361,1.874233821729768,1.291940970900337,13.137343690515172,90.0,27.67309797391345,0.0,0.2326902026086554,3.650964696087017,2.265096469608701,2.239519476362324,2.239519476362324,0.8081725506521639,0.3307604942889658,1.5754823480435085,0.700214376908226,166422.0,5437.0,0.7779795587438179,0.6043916649526206,0.2269843117229327,1.9541220961817587,1.3900077079524629,2.198970205215814,0.7934170584195085,0.554727880928774,0.9339884665713746,1.874233821729768,1.8490353039129832,1.291940970900337,0.8811956456038469,0.7673097973913445,1.3333333333333333,1.2930760810434625,0.9326902026086554,2.1006431307246776,1.4603858784348067,1.49057881765221,1.2989735961363138,1.4612397991089114,1.2510400587203614,2.03723191977586,2.288676651521798,1.8443375719120487,1.8125714398890325,1.110102206280911,1.1117917130206354,0.0,0.0,90.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,90.0
29,0.0107090463461157,0.8250299862553141,1.3605300844316417,0.7068863008965249,1.4296576872064548,0.7068863008965249,0.0,0.015885085413405,0.0492437647815556,0.0815508962420583,0.1082339717998106,0.088349632355455,0.0,0.0,0.0,0.0,343.0,86.0,0.026475142355675,0.2680849272028716,0.2804699317234663,0.9979775357792318,1.1962775826096577,0.692837256808371,1.0952279015732538,1.3191181795310665,1.49071752028322,0.8250299862553141,0.4920574572932975,1.3605300844316417,1.2398723171260058,1.9841149145865948,2.317448247919928,1.793645965834638,1.2047655256240215,2.322743276391063,1.990468948751957,1.5984114914586596,2.3999008970835978,1.1648925250565914,1.07350104262872,0.6467087883250024,2.225560006638658,2.009089772153648,1.568491934776243,1.313357516199094,1.2793908153876132,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,90.0
30,0.1406506334479297,1.843474948515684,1.6289879162310184,69.64220995047091,90.0,90.0,0.1063266724438359,0.1883937521782421,2.86812437347523,2.4470984380445606,3.285891246079164,3.316764580186984,0.1908889673621276,0.5463418813169021,0.3296890663119238,0.3977201434874,47635.0,13353.0,1.8753436492096087,0.6013473247775611,0.2152972190255098,1.799411239112819,1.627216239007748,1.7604475178082382,1.8429773093957824,1.42364920197463,1.612536609188246,1.843474948515684,1.8116062478217576,1.6289879162310184,1.3751986115951649,2.623212495643516,1.4782729144884246,1.2869637486930547,1.1188393752178245,2.623212495643516,2.4116062478217577,2.024642499128704,1.7571007508025782,1.412186705057739,1.3359845034922353,1.5999094452866458,1.74327510715265,1.984699324142176,1.718131916016442,0.970044896450502,1.0514986102907316,0.0,0.0,46.13679931075187,1.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0
31,0.3075031429468563,2.0380043366759413,1.2182598067470456,87.37261975085016,90.0,87.37261975085016,0.0380043366759411,1.0,4.27770076936006,3.399857133139716,2.740373796937412,3.292993992251607,0.4082699658261449,1.6531886454034408,0.9976138377434558,1.2034706614048036,45585.0,12741.0,3.5059436232127648,0.7585447977567015,0.1465080953661094,1.9054164704267509,2.2731658024032417,2.175327661479521,1.1423866118111503,1.0546258966316804,1.3078466591122877,2.0380043366759413,1.6449024247913235,1.2182598067470456,1.2689322556483007,1.0,0.6666666666666666,0.7140130100278235,1.0184719100587385,1.5732465998145098,2.3738829097495886,2.11560378486552,1.0538291128885002,1.0975437232216063,1.064866888217946,1.1421216535070693,1.427519017140872,2.029943196485286,1.88833289470438,1.0184719100587385,1.0519954464573598,0.0276832702672004,0.4262512966796998,89.16923329140062,7.0,4.0,0.0,0.0,0.0,2.0,0.0,89.0
57,0.7594158397190225,3.759415839719024,1.0,90.0,90.0,90.0,0.3797079198595112,0.0,2.3011529675925826,2.5182551956417534,2.5182551956417534,2.5182551956417534,0.0,0.9304381202107332,0.9304381202107332,0.9304381202107332,86367.0,146779.0,2.550730200351222,0.6422175848298458,0.2120675785330714,2.0027921620516063,2.0027921620516063,2.0027921620516063,0.8041661937580113,0.8041661937580113,0.8041661937580113,3.759415839719024,3.759415839719024,1.0,1.0,0.3797079198595112,1.0,1.0,1.0,2.379707919859511,2.379707919859511,2.379707919859511,0.2973415201434451,0.4413717904218662,0.4413717904218662,1.95567233098274,1.5829558780585244,1.5829558780585244,1.5829558780585244,1.0,0.4413717904218662,0.0831780692964804,0.925350628315018,87.37764217847025,11.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0
68,0.0589669850945728,1.5766954331760676,1.7731509156150176,19.080143048217348,90.0,14.007553894903094,0.0173432309101684,0.0734582180328469,2.820374654098541,3.664102296639233,3.758373676448053,2.3622117011675066,0.1848974731198309,0.4782151132733693,0.4632708909835765,0.2058981737704784,21348.0,1274.0,0.6897747812079684,0.3586244235833346,0.2689105051152985,1.4324798036677575,1.1114038363865386,1.5212592283890576,2.3042312889226166,2.1579210502303705,2.074219497988641,1.5766954331760676,1.926541781967153,1.7731509156150176,2.4444444444444446,0.9265417819671532,0.6911527393442822,0.8146916436065694,1.3706167127868611,1.7890970300547449,1.873458218032847,1.8293832872131388,1.6770228869442227,1.2402020976588468,1.469050217703861,1.2195203964385228,1.2589771298016468,1.9597977594309304,1.9596128017293108,1.388549779534613,1.4119627709057732,0.0073663902991505,0.0724387102588337,85.46445933224675,8.0,6.0,0.0,0.0,0.0,5.0,0.0,90.0
74,0.0,2.0446136828140675,1.5322420605287328,87.694327699716,90.0,86.41339864400265,0.2155134485000255,0.6413398644002657,3.3446895254009297,2.504861115259774,2.56740195932008,2.392555143215209,0.0,0.5636087845138682,0.8966503389993359,0.6376180188439722,64331.0,34131.0,1.8264180750710013,0.3000276179476193,0.2214786864523773,1.9744845200901024,1.4968256938688476,2.209221174194849,1.4275615440717382,1.285837499227998,1.152475735362508,2.0446136828140675,1.2173202711994686,1.5322420605287328,1.5607071506556958,2.0,2.1195533785332445,2.0,2.179330067799868,1.1195533785332448,1.30379902033996,1.19620097966004,2.291140136434634,2.264099607707999,2.226594158668199,2.267667877960827,1.4117329768707352,1.2695322272681688,1.2693583847004437,2.1280929055713336,2.2304742721080224,0.0464388332523627,0.3505177297229187,89.69714506403321,12.0,5.0,0.0,0.0,0.0,2.0,0.0,90.0
75,0.2216489735049406,2.175004048212704,1.5893158291973428,86.86598577407695,90.0,88.35185645998479,0.1361805412142429,0.835185645998478,3.4385198087957383,3.05,2.729953899549353,4.5890935687923,0.3047673385692935,0.2589939848595346,0.4120358850038048,0.2930032960027058,57828.0,29682.0,3.35363570660739,0.4350995615236824,0.2371069052440824,2.140703561735607,3.1085288108854314,2.655454237858241,1.4738415753340943,1.2712008322076782,1.537689810018955,2.175004048212704,2.5,1.5893158291973428,2.0574078682207,2.835185645998478,2.054938118000507,2.0,2.165925741600609,1.0549381180005073,1.2329628708003044,1.350555693799543,1.5003439820857172,1.998220655658056,2.045719506414377,2.0915629881459346,1.37640396380446,1.4791814033842898,1.547839384496695,2.139686686640949,1.9363502260780328,0.0580089611516127,0.4478264046447924,89.60560677827849,13.0,6.0,0.0,0.0,0.0,0.0,0.0,90.0
78,0.0665622523145508,1.1493070387406068,2.30365891030571,68.76990270821508,90.0,42.00252229286541,0.1272513679746779,0.0,1.458418160508631,3.684632015295163,4.277584496353877,4.095820328968301,0.2040916232711263,2.0299585123927533,1.8118637961852675,0.8052727983045633,1247.0,1387.0,1.874562666528964,0.1904517069745251,0.2199756662777737,1.24545905248352,1.4439863422292014,1.3252553176551956,2.42405502395982,2.3640599562115647,2.184405832102532,1.1493070387406068,1.1039545987284225,2.30365891030571,2.784368775658482,1.792090802543155,1.465348467090526,1.1207909197456845,1.1188136203814734,0.5973636008477183,1.241581839491369,1.5,1.5133961345512126,1.230211639876532,1.3889021174349474,0.9870842103824105,1.1299910986390052,1.3759119410194327,1.541180814421504,1.1357582981069685,1.4766046097852938,0.0067624202825327,0.1465327281169248,22.66777502572029,1.0,6.0,0.0,0.0,0.0,3.0,0.0,90.0
