,id,now_cost,photo,gw
0,1,5.4,438098.jpg,21
1,2,6.9,205651.jpg,21
2,3,6.4,226597.jpg,21
3,4,7.9,219847.jpg,21
4,5,4.0,463748.jpg,21
5,6,5.7,445122.jpg,21
6,7,4.7,85955.jpg,21
7,8,4.8,440854.jpg,21
8,9,6.8,444145.jpg,21
9,12,4.5,499175.jpg,21
10,13,8.4,184029.jpg,21
11,15,5.6,154561.jpg,21
12,16,6.2,204480.jpg,21
13,17,10.2,223340.jpg,21
14,18,6.3,462424.jpg,21
15,20,5.0,167199.jpg,21
16,21,4.3,192895.jpg,21
17,22,4.8,223723.jpg,21
18,23,6.8,116216.jpg,21
19,24,6.1,198869.jpg,21
20,25,4.8,206325.jpg,21
21,73,4.1,69752.jpg,21
22,186,6.7,103955.jpg,21
23,578,5.8,466075.jpg,21
24,597,4.5,499169.jpg,21
25,633,6.0,195384.jpg,21
26,638,4.5,498046.jpg,21
27,639,4.5,551221.jpg,21
28,657,4.0,588793.jpg,21
29,658,4.0,606745.jpg,21
30,659,4.5,588796.jpg,21
31,662,4.0,499167.jpg,21
32,665,4.5,461025.jpg,21
33,28,6.2,215711.jpg,21
34,29,5.2,88894.jpg,21
35,30,4.9,491287.jpg,21
36,31,5.1,195546.jpg,21
37,32,4.4,199796.jpg,21
38,33,4.5,151589.jpg,21
39,34,6.5,243557.jpg,21
40,35,4.5,165659.jpg,21
41,36,4.6,101188.jpg,21
42,37,5.0,461421.jpg,21
43,38,5.8,476344.jpg,21
44,39,4.0,462492.jpg,21
45,40,3.9,123354.jpg,21
46,41,5.4,469247.jpg,21
47,42,5.0,226944.jpg,21
48,43,4.0,465390.jpg,21
49,44,4.4,199798.jpg,21
50,45,4.5,441302.jpg,21
51,46,4.0,462381.jpg,21
52,47,5.0,98980.jpg,21
53,48,5.2,122806.jpg,21
54,49,4.4,149484.jpg,21
55,50,3.9,578545.jpg,21
56,51,4.5,111782.jpg,21
57,52,4.3,244954.jpg,21
58,53,5.4,232653.jpg,21
59,54,5.5,244850.jpg,21
60,55,4.0,248164.jpg,21
61,56,4.0,514315.jpg,21
62,57,5.5,166989.jpg,21
63,58,8.9,178301.jpg,21
64,233,4.9,449871.jpg,21
65,569,5.3,481624.jpg,21
66,598,4.0,515597.jpg,21
67,640,4.0,514287.jpg,21
68,641,4.0,516159.jpg,21
69,656,4.5,537403.jpg,21
70,679,4.5,577731.jpg,21
71,710,4.5,559962.jpg,21
72,59,4.3,232980.jpg,21
73,60,4.9,200785.jpg,21
74,61,4.5,444180.jpg,21
75,62,4.9,111317.jpg,21
76,63,4.9,158499.jpg,21
77,64,5.0,155408.jpg,21
78,65,5.4,168636.jpg,21
79,66,5.0,441240.jpg,21
80,67,4.5,424044.jpg,21
81,68,3.9,463981.jpg,21
82,69,4.5,523700.jpg,21
83,70,4.7,544877.jpg,21
84,71,5.5,222683.jpg,21
85,72,4.4,223911.jpg,21
86,74,5.0,533463.jpg,21
87,75,4.0,495145.jpg,21
88,76,4.8,168991.jpg,21
89,77,4.7,503139.jpg,21
90,78,5.6,437730.jpg,21
91,79,4.7,221466.jpg,21
92,80,4.8,224995.jpg,21
93,81,4.4,54469.jpg,21
94,83,5.4,201658.jpg,21
95,84,4.4,229600.jpg,21
96,85,4.4,477580.jpg,21
97,152,4.5,109745.jpg,21
98,580,4.4,554605.jpg,21
99,592,4.3,436893.jpg,21
100,599,4.0,444172.jpg,21
101,617,5.9,444102.jpg,21
102,680,4.0,496683.jpg,21
103,687,4.5,606775.jpg,21
104,702,4.0,632822.jpg,21
105,707,4.5,606774.jpg,21
106,86,4.4,191866.jpg,21
107,87,4.4,494041.jpg,21
108,88,4.6,432830.jpg,21
109,89,5.0,440089.jpg,21
110,90,4.8,183656.jpg,21
111,91,4.4,118342.jpg,21
112,92,4.3,194010.jpg,21
113,93,4.3,472713.jpg,21
114,94,4.9,204580.jpg,21
115,95,5.3,207283.jpg,21
116,96,3.9,570241.jpg,21
117,97,4.5,628204.jpg,21
118,98,5.0,249231.jpg,21
119,99,7.8,446008.jpg,21
120,100,4.2,51927.jpg,21
121,101,4.8,128295.jpg,21
122,102,4.9,428580.jpg,21
123,103,4.5,450539.jpg,21
124,104,4.4,231065.jpg,21
125,105,4.3,226956.jpg,21
126,106,5.1,513418.jpg,21
127,107,5.9,502500.jpg,21
128,108,7.3,144485.jpg,21
129,109,3.9,507433.jpg,21
130,110,6.2,216646.jpg,21
131,111,4.4,508395.jpg,21
132,112,4.5,48760.jpg,21
133,314,4.6,244858.jpg,21
134,338,4.1,444765.jpg,21
135,602,4.4,591357.jpg,21
136,634,4.9,626464.jpg,21
137,649,4.0,499717.jpg,21
138,661,4.5,592662.jpg,21
139,674,4.5,220695.jpg,21
140,705,4.0,622536.jpg,21
141,113,5.2,535818.jpg,21
142,114,4.5,475480.jpg,21
143,115,5.0,535301.jpg,21
144,116,4.0,543158.jpg,21
145,118,4.5,519324.jpg,21
146,119,4.9,168090.jpg,21
147,120,4.3,83299.jpg,21
148,121,5.4,474120.jpg,21
149,122,5.0,204214.jpg,21
150,123,5.5,487117.jpg,21
151,124,5.0,243568.jpg,21
152,125,6.5,60307.jpg,21
153,126,4.9,532529.jpg,21
154,127,5.0,612855.jpg,21
155,128,4.4,223434.jpg,21
156,129,5.7,475168.jpg,21
157,130,4.5,484658.jpg,21
158,131,4.4,232792.jpg,21
159,132,6.5,109345.jpg,21
160,133,4.5,550141.jpg,21
161,134,5.0,15157.jpg,21
162,135,5.0,592031.jpg,21
163,136,6.4,451340.jpg,21
164,137,4.4,243505.jpg,21
165,138,4.5,574402.jpg,21
166,139,4.0,445548.jpg,21
167,140,4.4,491598.jpg,21
168,141,4.9,441192.jpg,21
169,142,4.1,49262.jpg,21
170,143,5.5,450434.jpg,21
171,144,4.5,469142.jpg,21
172,145,4.4,111478.jpg,21
173,146,4.5,489639.jpg,21
174,147,4.3,110735.jpg,21
175,148,5.5,50175.jpg,21
176,149,4.7,467779.jpg,21
177,595,5.4,513433.jpg,21
178,600,5.0,509416.jpg,21
179,601,5.0,513834.jpg,21
180,615,4.0,472739.jpg,21
181,618,5.2,463067.jpg,21
182,628,4.5,231416.jpg,21
183,629,5.5,219249.jpg,21
184,663,4.0,447720.jpg,21
185,668,3.9,565858.jpg,21
186,681,4.0,539721.jpg,21
187,685,4.0,589100.jpg,21
188,150,4.5,532605.jpg,21
189,151,4.5,518620.jpg,21
190,153,4.3,242880.jpg,21
191,154,3.9,482158.jpg,21
192,155,3.9,122074.jpg,21
193,157,4.9,486672.jpg,21
194,158,4.4,505187.jpg,21
195,160,4.7,172850.jpg,21
196,161,4.8,478912.jpg,21
197,162,4.6,460028.jpg,21
198,163,5.2,179268.jpg,21
199,164,5.4,520295.jpg,21
200,165,4.9,617054.jpg,21
201,166,5.5,215413.jpg,21
202,167,4.2,220362.jpg,21
203,168,5.1,448047.jpg,21
204,169,5.9,232787.jpg,21
205,170,4.0,514280.jpg,21
206,171,4.9,482609.jpg,21
207,172,4.8,225796.jpg,21
208,173,4.4,549068.jpg,21
209,174,4.5,514356.jpg,21
210,175,6.3,66749.jpg,21
211,176,4.5,204727.jpg,21
212,177,6.2,248857.jpg,21
213,178,4.7,499309.jpg,21
214,179,6.2,465920.jpg,21
215,180,8.1,517052.jpg,21
216,181,5.8,213198.jpg,21
217,182,11.4,244851.jpg,21
218,183,4.4,457569.jpg,21
219,184,4.5,551230.jpg,21
220,185,4.8,215059.jpg,21
221,187,4.2,109646.jpg,21
222,189,4.4,444463.jpg,21
223,386,6.2,209243.jpg,21
224,560,6.2,247632.jpg,21
225,575,4.0,488464.jpg,21
226,581,4.2,508479.jpg,21
227,621,6.0,428399.jpg,21
228,695,4.5,547692.jpg,21
229,696,4.5,550615.jpg,21
230,697,4.0,577016.jpg,21
231,11,5.9,205533.jpg,21
232,159,4.4,180736.jpg,21
233,190,4.5,466117.jpg,21
234,193,4.9,438464.jpg,21
235,194,4.4,427623.jpg,21
236,195,4.3,515621.jpg,21
237,196,4.3,57328.jpg,21
238,197,4.5,450535.jpg,21
239,199,6.6,232413.jpg,21
240,200,4.5,209036.jpg,21
241,201,4.5,172649.jpg,21
242,202,4.3,156074.jpg,21
243,203,4.9,108413.jpg,21
244,205,5.1,209400.jpg,21
245,206,4.8,152551.jpg,21
246,207,7.2,231747.jpg,21
247,208,4.4,536694.jpg,21
248,209,3.9,169593.jpg,21
249,210,4.8,244723.jpg,21
250,211,4.7,247348.jpg,21
251,212,4.5,531989.jpg,21
252,213,4.5,450542.jpg,21
253,214,4.6,86417.jpg,21
254,215,4.3,55494.jpg,21
255,216,4.7,496221.jpg,21
256,445,3.9,224068.jpg,21
257,585,5.9,232185.jpg,21
258,644,4.4,574398.jpg,21
259,645,4.5,489706.jpg,21
260,646,4.5,579075.jpg,21
261,647,4.5,530318.jpg,21
262,650,4.5,437499.jpg,21
263,666,4.0,590012.jpg,21
264,676,4.5,576980.jpg,21
265,156,5.4,440323.jpg,21
266,217,5.1,121599.jpg,21
267,218,4.9,486385.jpg,21
268,219,4.8,480455.jpg,21
269,220,5.4,177815.jpg,21
270,221,4.3,59949.jpg,21
271,222,4.8,80801.jpg,21
272,223,4.9,232928.jpg,21
273,224,5.2,221399.jpg,21
274,225,4.0,194164.jpg,21
275,226,4.4,490094.jpg,21
276,227,3.9,222627.jpg,21
277,228,4.0,106611.jpg,21
278,229,4.9,115382.jpg,21
279,230,5.2,433154.jpg,21
280,231,4.3,224967.jpg,21
281,232,5.4,440993.jpg,21
282,234,4.4,243571.jpg,21
283,235,5.0,111234.jpg,21
284,236,4.8,17761.jpg,21
285,237,4.9,491012.jpg,21
286,238,4.7,18892.jpg,21
287,577,5.0,463903.jpg,21
288,582,4.6,512462.jpg,21
289,603,4.5,609873.jpg,21
290,614,4.5,491557.jpg,21
291,624,4.0,40349.jpg,21
292,627,4.0,496178.jpg,21
293,651,5.0,179519.jpg,21
294,678,4.5,547801.jpg,21
295,10,5.0,200641.jpg,21
296,19,5.3,209289.jpg,21
297,191,4.2,174874.jpg,21
298,239,4.7,159533.jpg,21
299,240,5.0,156689.jpg,21
300,241,4.5,232892.jpg,21
301,242,4.0,428971.jpg,21
302,243,4.8,76357.jpg,21
303,244,4.2,166477.jpg,21
304,245,4.4,219924.jpg,21
305,246,4.5,515024.jpg,21
306,247,5.9,153133.jpg,21
307,248,5.0,80201.jpg,21
308,249,4.8,212314.jpg,21
309,250,4.0,120721.jpg,21
310,251,5.5,244042.jpg,21
311,252,5.6,102057.jpg,21
312,253,4.5,82514.jpg,21
313,254,4.7,153366.jpg,21
314,255,5.0,169528.jpg,21
315,256,5.0,490146.jpg,21
316,257,4.4,167074.jpg,21
317,258,5.0,245824.jpg,21
318,259,5.2,153682.jpg,21
319,579,4.2,184349.jpg,21
320,586,4.4,246301.jpg,21
321,604,4.5,577725.jpg,21
322,605,4.5,573062.jpg,21
323,622,5.0,207189.jpg,21
324,690,4.0,591385.jpg,21
325,260,4.8,462387.jpg,21
326,261,4.0,517178.jpg,21
327,262,4.9,173818.jpg,21
328,263,4.0,122411.jpg,21
329,264,4.8,149929.jpg,21
330,265,5.1,196411.jpg,21
331,266,4.0,232228.jpg,21
332,267,4.5,455084.jpg,21
333,268,5.6,463034.jpg,21
334,269,4.0,214964.jpg,21
335,270,3.9,449429.jpg,21
336,271,4.9,167191.jpg,21
337,272,5.4,222625.jpg,21
338,273,4.5,524180.jpg,21
339,274,5.2,503301.jpg,21
340,275,3.9,222018.jpg,21
341,276,4.5,94926.jpg,21
342,277,4.4,106606.jpg,21
343,278,4.9,74944.jpg,21
344,279,4.0,246265.jpg,21
345,280,3.9,434044.jpg,21
346,281,4.8,231899.jpg,21
