,id,now_cost,photo
0,1,5.4,438098.jpg
1,2,6.5,205651.jpg
2,3,6.3,226597.jpg
3,4,7.7,219847.jpg
4,5,4.0,463748.jpg
5,6,5.6,445122.jpg
6,7,4.7,85955.jpg
7,8,4.8,440854.jpg
8,9,6.5,444145.jpg
9,12,4.6,499175.jpg
10,13,8.2,184029.jpg
11,15,5.5,154561.jpg
12,16,6.2,204480.jpg
13,17,10.4,223340.jpg
14,18,6.4,462424.jpg
15,20,4.9,167199.jpg
16,21,4.3,192895.jpg
17,22,4.8,223723.jpg
18,23,6.8,116216.jpg
19,24,6.1,198869.jpg
20,25,4.8,206325.jpg
21,73,4.1,69752.jpg
22,186,6.7,103955.jpg
23,578,5.8,466075.jpg
24,597,4.5,499169.jpg
25,633,6.1,195384.jpg
26,638,4.5,498046.jpg
27,639,4.5,551221.jpg
28,657,4.0,588793.jpg
29,659,4.5,588796.jpg
30,662,4.0,499167.jpg
31,665,4.5,461025.jpg
32,735,1.5,100051017.jpg
33,756,4.0,616059.jpg
34,790,4.5,538182.jpg
35,28,6.2,215711.jpg
36,29,5.2,88894.jpg
37,30,4.9,491287.jpg
38,31,5.1,195546.jpg
39,32,4.4,199796.jpg
40,33,4.5,151589.jpg
41,34,6.5,243557.jpg
42,35,4.5,165659.jpg
43,36,4.5,101188.jpg
44,37,5.0,461421.jpg
45,38,5.7,476344.jpg
46,39,4.0,462492.jpg
47,40,3.9,123354.jpg
48,41,5.4,469247.jpg
49,42,5.0,226944.jpg
50,43,4.0,465390.jpg
51,44,4.4,199798.jpg
52,45,4.5,441302.jpg
53,46,4.0,462381.jpg
54,47,5.0,98980.jpg
55,48,5.2,122806.jpg
56,49,4.4,149484.jpg
57,50,3.9,578545.jpg
58,51,4.5,111782.jpg
59,52,4.2,244954.jpg
60,53,5.4,232653.jpg
61,54,5.5,244850.jpg
62,55,4.0,248164.jpg
63,56,4.0,514315.jpg
64,57,5.5,166989.jpg
65,58,8.9,178301.jpg
66,167,4.2,220362.jpg
67,233,4.8,449871.jpg
68,385,6.6,176297.jpg
69,598,3.9,515597.jpg
70,640,4.0,514287.jpg
71,641,4.0,516159.jpg
72,656,4.4,537403.jpg
73,679,4.5,577731.jpg
74,710,4.5,559962.jpg
75,725,5.3,204646.jpg
76,731,4.5,606798.jpg
77,737,0.8,100037568.jpg
78,762,6.1,174292.jpg
79,59,4.3,232980.jpg
80,60,4.9,200785.jpg
81,61,4.5,444180.jpg
82,62,4.9,111317.jpg
83,63,4.9,158499.jpg
84,64,5.0,155408.jpg
85,65,5.4,168636.jpg
86,66,5.0,441240.jpg
87,67,4.5,424044.jpg
88,68,3.9,463981.jpg
89,69,4.5,523700.jpg
90,70,5.3,544877.jpg
91,71,6.2,222683.jpg
92,72,4.4,223911.jpg
93,74,4.9,533463.jpg
94,75,4.0,495145.jpg
95,76,4.8,168991.jpg
96,77,4.7,503139.jpg
97,78,5.7,437730.jpg
98,79,4.6,221466.jpg
99,80,4.8,224995.jpg
100,81,4.4,54469.jpg
101,83,5.4,201658.jpg
102,84,4.4,229600.jpg
103,85,4.4,477580.jpg
104,152,4.6,109745.jpg
105,580,4.5,554605.jpg
106,592,4.3,436893.jpg
107,599,3.9,444172.jpg
108,617,5.7,444102.jpg
109,680,4.0,496683.jpg
110,687,4.5,606775.jpg
111,702,4.0,632822.jpg
112,707,4.5,606774.jpg
113,712,4.0,541462.jpg
114,713,3.9,575901.jpg
115,722,4.5,590760.jpg
116,723,4.5,550596.jpg
117,727,4.0,568791.jpg
118,728,4.5,530121.jpg
119,738,1.1,100050427.jpg
120,86,4.4,191866.jpg
121,87,4.4,494041.jpg
122,88,4.5,432830.jpg
123,89,5.1,440089.jpg
124,90,4.8,183656.jpg
125,91,4.4,118342.jpg
126,92,4.3,194010.jpg
127,93,4.3,472713.jpg
128,94,4.8,204580.jpg
129,95,5.3,207283.jpg
130,96,3.9,570241.jpg
131,97,4.4,628204.jpg
132,98,5.0,249231.jpg
133,99,8.1,446008.jpg
134,100,4.2,51927.jpg
135,101,4.8,128295.jpg
136,102,4.9,428580.jpg
137,103,4.5,450539.jpg
138,104,4.4,231065.jpg
139,105,4.3,226956.jpg
140,106,5.1,513418.jpg
141,107,5.9,502500.jpg
142,108,7.3,144485.jpg
143,109,3.9,507433.jpg
144,110,6.6,216646.jpg
145,111,4.4,508395.jpg
146,112,4.5,48760.jpg
147,314,4.5,244858.jpg
