,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Thomas,20,9,26,14511,7,"[False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.933969, 0.66024125, 0.9010915, 0.95292974, 0.9527918, 0.54996085, 0.90660006, 0.7276525, 0.8151227, 0.7246129, 0.52831644, 0.62921345, 0.8991496]","[0.062752165, 0.31982046, 0.08930148, 0.03414737, 0.04256421, 0.4284897, 0.0803105, 0.21932982, 0.097894, 0.26183408, 0.44317827, 0.33584154, 0.087845504]","[0.0032788676, 0.019938357, 0.009607028, 0.01292288, 0.0046439613, 0.021549478, 0.01308946, 0.053017724, 0.08698322, 0.013553001, 0.028505316, 0.03494499, 0.013004852]",10.181651830673218,2.503309115767479,0.31503913435153663,0.783204,0.19256224,0.024233779,4,7,2
1,Calafiori,578,9,330,409451,43,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.68805724, 0.64714867, 0.90106213, 0.7773444, 0.8070406, 0.89237654, 0.6551923, 0.71463543, 0.9121703, 0.7466506, 0.8920751, 0.84968495, 0.60352886, 0.54626256, 0.6389672, 0.56696546, 0.82542294, 0.5342771, 0.9481806]","[0.29813448, 0.33718544, 0.06222943, 0.21528023, 0.17019714, 0.072550066, 0.18682593, 0.24474783, 0.0710465, 0.21100248, 0.10292513, 0.12564579, 0.38202143, 0.4340146, 0.32864004, 0.41766724, 0.12110501, 0.45507848, 0.03590282]","[0.013808304, 0.015665865, 0.03670838, 0.007375361, 0.022762347, 0.035073474, 0.15798175, 0.040616803, 0.01678319, 0.04234691, 0.0049997754, 0.024669278, 0.014449667, 0.019722825, 0.032392733, 0.01536722, 0.05347208, 0.010644465, 0.01591656]",14.147042989730835,4.27220006659627,0.580756991636008,0.7445812,0.22485264,0.03056616,0,15,4
2,Merino,633,9,2,490,4,[False],[0.66483235],[0.30909693],[0.026070762],0.664832353591919,0.30909693241119385,0.026070762425661087,0.66483235,0.30909693,0.026070762,0,0,1
3,Trossard,23,9,65,10388,13,"[False, False, False, False, False, False, False, False, False, False, False]","[0.48719448, 0.75802755, 0.9528102, 0.6798898, 0.5346359, 0.66483235, 0.70829874, 0.6102478, 0.53924227, 0.5778641, 0.8784142]","[0.46361434, 0.23630284, 0.04504799, 0.28873152, 0.44382817, 0.30909693, 0.2825626, 0.37531987, 0.4566405, 0.37661317, 0.11713267]","[0.049191136, 0.0056696483, 0.002141805, 0.031378664, 0.021535994, 0.026070762, 0.009138694, 0.014432343, 0.004117226, 0.045522626, 0.0044531105]",7.391457438468933,3.394890621304512,0.21365201007574797,0.6719507,0.3086264,0.01942291,3,4,4
4,Havertz,4,9,344,10626,51,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9480247, 0.8968504, 0.7944238, 0.82347906, 0.7610144, 0.8384731, 0.9324148, 0.9195341, 0.93062913, 0.67852235, 0.62193155, 0.9603866, 0.926385, 0.80935174, 0.642209, 0.95174056, 0.78194463, 0.8305347, 0.93703103]","[0.046529073, 0.062497742, 0.20069103, 0.1742902, 0.23072563, 0.14699958, 0.06494027, 0.054511778, 0.048975877, 0.18364058, 0.35787937, 0.031948645, 0.060581855, 0.16623192, 0.20756388, 0.040093377, 0.21516563, 0.16636887, 0.05831955]","[0.005446244, 0.040651806, 0.004885116, 0.0022307707, 0.008259988, 0.01452732, 0.0026449095, 0.025954181, 0.02039508, 0.13783708, 0.020189092, 0.007664774, 0.013033204, 0.024416322, 0.15022713, 0.008166033, 0.002889802, 0.0030964392, 0.0046494193]",15.98488062620163,2.5179548524320126,0.49716471158899367,0.8413094,0.13252394,0.026166564,5,14,0
5,Gabriel,3,9,481,24786,58,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.61442065, 0.93101054, 0.7930667, 0.5813226, 0.9587342, 0.8910339, 0.9480247, 0.9088211, 0.9267775, 0.5862669, 0.6927429, 0.89353836, 0.84070253, 0.926385, 0.94802105, 0.8403414, 0.75495607, 0.7185019, 0.92976165]","[0.37097985, 0.06652518, 0.19066143, 0.40961647, 0.038202737, 0.096202835, 0.046529073, 0.08409442, 0.045044404, 0.28214613, 0.17002991, 0.0981957, 0.15460888, 0.060581855, 0.044369802, 0.13691269, 0.20350346, 0.272992, 0.057443094]","[0.01459949, 0.0024642257, 0.016271949, 0.009060917, 0.0030630247, 0.012763374, 0.005446244, 0.0070844055, 0.028178036, 0.131587, 0.13722724, 0.008265904, 0.0046885745, 0.013033204, 0.007609213, 0.022745825, 0.041540444, 0.00850604, 0.012795261]",15.684429585933685,2.8286399245262146,0.4869303675368428,0.8254963,0.14887576,0.025627915,7,11,1
6,Martinelli,9,9,175,50524,26,"[False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8220507, 0.68727165, 0.53600097, 0.94958454, 0.8951023, 0.8108857, 0.8486677, 0.89261925, 0.7635657, 0.73261297, 0.66483235, 0.9029277, 0.8559261]","[0.15005334, 0.27764794, 0.42690894, 0.042528108, 0.0616471, 0.18610035, 0.14918481, 0.082543306, 0.22409683, 0.26331943, 0.30909693, 0.09377458, 0.13464358]","[0.027895931, 0.035080463, 0.03709008, 0.007887335, 0.043250546, 0.0030138933, 0.002147563, 0.024837494, 0.012337442, 0.0040676054, 0.026070762, 0.0032977094, 0.009430293]",10.362047672271729,2.401545252650976,0.23640711791813374,0.79708064,0.18473426,0.018185163,5,7,1
7,Rice,16,9,5,2689,4,"[False, False, False, False]","[0.9431223, 0.66483235, 0.58710074, 0.70829874]","[0.04707008, 0.30909693, 0.23277509, 0.2825626]","[0.009807682, 0.026070762, 0.18012421, 0.009138694]",2.9033541679382324,0.8715047165751457,0.22514134645462036,0.72583854,0.21787618,0.056285333,0,2,2
8,Raya,15,9,114,20991,38,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8737266, 0.95279455, 0.94256693, 0.89136356, 0.80535716, 0.9467892, 0.5862669, 0.811453, 0.87513804, 0.48310232, 0.68318415, 0.80039084, 0.89443415, 0.83704126, 0.34543952, 0.945367, 0.62951654, 0.8252383, 0.91607314]","[0.066026576, 0.04037028, 0.055146992, 0.09086048, 0.16280065, 0.03073503, 0.28214613, 0.17803222, 0.12166797, 0.44915992, 0.31283936, 0.17726977, 0.09594952, 0.096017756, 0.3403459, 0.04025031, 0.36210877, 0.14558247, 0.06800872]","[0.06024687, 0.00683519, 0.00228611, 0.01777591, 0.031842194, 0.02247582, 0.131587, 0.010514771, 0.0031940057, 0.06773782, 0.003976491, 0.022339368, 0.009616429, 0.066940956, 0.31421462, 0.01438271, 0.008374732, 0.02917924, 0.01591822]",15.045243114233017,3.1153188161551952,0.839438449125737,0.79185486,0.16396415,0.04418097,5,12,2
9,White,24,9,242,451445,28,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5802398, 0.89009964, 0.94717157, 0.9156132, 0.9414732, 0.93594164, 0.5830171, 0.54752856, 0.56592745, 0.66483235, 0.54389226, 0.90507156, 0.5397106, 0.54389226, 0.8559261, 0.74919385, 0.6398026, 0.6612919]","[0.41364017, 0.098400936, 0.03392246, 0.066816665, 0.0357241, 0.059855033, 0.40550834, 0.43915674, 0.42082804, 0.30909693, 0.4435156, 0.07960751, 0.44678092, 0.4435156, 0.13464358, 0.22529027, 0.35183197, 0.18031976]","[0.006120029, 0.011499395, 0.018905899, 0.017570177, 0.02280264, 0.004203359, 0.01147454, 0.013314718, 0.013244509, 0.026070762, 0.012592152, 0.0153209325, 0.013508471, 0.012592152, 0.009430293, 0.025515892, 0.008365486, 0.15838833]",13.010625541210175,4.588454630225897,0.400919736828655,0.72281253,0.25491416,0.022273319,1,10,7
