Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Nkunku,"I think we should blame Nkunku for missing the rebound from Palmers genius freekick.. Better yet, Maresca for thinking he can rest Jackson🫠 #GoalsChangeGames #FPL https://t.co/EksdpYyTmT",2024-12-31,2025-01-03,Wed Jan 01 19:08:51 +0000 2025,181,20,1,1368,0,False
Nkunku,"If I had left my gameweek 1 team like this all season I’d have had 1315 points and would be ranked 1799 overall. I’d have 5 transfers and all my chips. Right now I’d be changing Nkunku and my subs that’s about it, could have saved a lot of time!#FPLCommunity #fpl https://t.co/f8ZtPL6ET8",2024-12-31,2025-01-03,Tue Dec 31 01:06:30 +0000 2024,181,20,5,1278,0,False
Palmer,Would i be crazy to not have Palmer on my WC20 🤔 #FPL,2024-12-31,2025-01-03,Tue Dec 31 01:00:55 +0000 2024,182,20,1,1320,0,False
Palmer,"If I was wildcarding I’d be selling Palmer.

#fpl #FPLCommunity",2024-12-31,2025-01-03,Wed Jan 01 20:08:14 +0000 2025,182,20,0,82,0,False
Palmer,"my favourite #GW20 wildcard draft ✅

🧤sels &amp; forest have the most clean sheets
🦁 watkins for 1 week, with durán suspended
⚪️⚫️ gordon has 1 blank in his last 7 gameweeks, hall has 40 points in his last 4
📝 trent, gabriel, salah, palmer &amp; isak pick themselves

#FPL https://t.co/Pab7WxgMxK",2024-12-31,2025-01-03,Thu Jan 02 13:17:32 +0000 2025,182,20,7,278,2,False
Palmer,"GW19 #FPL
72 pts which we will take considering the Palmer (C)

930k to 1.01 mill

2 FT and no clue how to replace Cunha https://t.co/4t7FogPNv9",2024-12-31,2025-01-03,Thu Jan 02 06:40:57 +0000 2025,182,20,11,121,1,False
Palmer,"69 points in GW19
Down to 235k

Palmer captain and benching Jesus is a lack of skill for sure
😅

#FPL https://t.co/8TIT87UNhS",2024-12-31,2025-01-03,Wed Jan 01 19:42:18 +0000 2025,182,20,15,212,1,False
Palmer,"Returns from every player other than Palmer 😮‍💨

Introducing the Gameweek 19 #FPL Manager of the Week, Tyler Sim 👏 https://t.co/zRVr4EneU4",2024-12-31,2025-01-03,Thu Jan 02 19:05:00 +0000 2025,182,20,2097,6367042,45,False
Palmer,"#FPL GW19 Review:

Points - 81
🌎: 1.7M —&gt; 1.5M 

Palmer captain biggest mistake of the week!💔 https://t.co/ubxMaSexa1",2024-12-31,2025-01-03,Wed Jan 01 19:33:34 +0000 2025,182,20,52,451,0,False
Palmer,"Need Early WC idea?  ✅️
This is one to think about ✍️
NO TAA or Palmer.❌️
Aina can be Timber 🙏

What you think? 🤔
#FPL 
#FPLCommunity https://t.co/q3a34mMPxO",2024-12-31,2025-01-03,Wed Jan 01 11:20:09 +0000 2025,182,20,29,5045,3,False
Palmer,"COLD PALMER 🥶
Leading the points chart for 2024 
Who will get the most in 2025?  
#palmer #cold #FPLCommunity #FPLIVE #fpl @OfficialFPL https://t.co/UCjW0WEPTe",2024-12-31,2025-01-03,Wed Jan 01 12:51:39 +0000 2025,182,20,0,348,0,False
Palmer,"GW19 in #FPL was a weird one, Palmer captain over Salah was a 14 point swing in the wrong direction and Murillo getting injured in the warm-up was frustrating. 
But a green arrow! 354k -&gt; 265k… we move! https://t.co/wnLLTP8qvC",2024-12-31,2025-01-03,Wed Jan 01 23:05:17 +0000 2025,182,20,1,5603,0,False
Palmer,Knew I should’ve played Greaves over Palmer 😔 #FPL https://t.co/8HvxU0cMvU,2024-12-31,2025-01-03,Tue Dec 31 07:07:29 +0000 2024,182,20,2,784,2,False
Palmer,"#GW19 6️⃣7️⃣pts

🌍OR: 413k➡️550k 🔻😔

Got fancy, captained Palmer.

If I had captained Salah it would've been a green arrow to 380k.

Terrible end to 2024 + Start to 2025.

We go again next GW... 💪

#FPL #FPLCommunity https://t.co/YKwSao7bPL",2024-12-31,2025-01-03,Wed Jan 01 23:28:12 +0000 2025,182,20,2,101,0,False
Palmer,"🗓 GW19: 77 all out ✅️
🌍 OR: 3.94M 🔼
📊 Best points by position: 🎨 MID (55)
🥇 Player of the Week: 👑 Salah (36)
🧠 Best Differential: 🦅 Eze (10)
😭 Biggest Disappointment: 🥶 Palmer (2)

🤔 Thoughts: Hopefully things get better from here... 🙏🏻

#FPL | #FPLCommunity https://t.co/ljsFi07qH5",2024-12-31,2025-01-03,Thu Jan 02 13:08:12 +0000 2025,182,20,2,312,0,False
Palmer,"Here’s how I did in #GW19: 77 points! More benching misery and a red arrow to kick off 2025. Bye Flekken ✌️

🔥 Salah, Wood
👍🏻 Diaz, Isak 
🤮 Jackson, Palmer 
🌍 Overall Rank: 231,512 ⬇️

How did you get on in GW19? #FPL https://t.co/HDkUmIoO3R",2024-12-31,2025-01-03,Thu Jan 02 13:22:32 +0000 2025,182,20,1,1244,2,False
Palmer,"115 points all out ✅️

Flekken and Palmer are ass ❌️

Team did good job overall so probably gonna roll FT's GW20 🎲

#FPL #FPLCommunity",2024-12-31,2025-01-03,Wed Jan 01 19:28:30 +0000 2025,182,20,9,391,1,False
Palmer,"GW19 result.

71 points 
OR - 222k

Palmer 🧢 is 💩

#FPL #FPLCommunity https://t.co/MYv7UMm9nu",2024-12-31,2025-01-03,Wed Jan 01 20:05:27 +0000 2025,182,20,21,621,2,False
Palmer,"📌 CHE 🆚 CRY 

1️⃣ PALMER/JACKSON - CRY conceded 23 Chances from the CENTER and ranked 4th 

CRY - xGC - 8.22 (11th) 

Palmer xGI - 6.65 while Jackson has an xGI - 2.69

Palmer ©️ Shout 

#FPL #FPLCommunity",2024-12-31,2025-01-03,Thu Jan 02 20:04:19 +0000 2025,182,20,9,7737,1,False
Palmer,"GW19 Review‼️

Took a risk with Palmer, didn’t pay off… 

Being a Chelsea fan has cost me🙃

Brought in Munoz🫠

⬇️🌎348,545
📊1200

With Arsenal to play, it’s likely I’ll drop down to around 400-450k depending on who returns. 

#FPLCommunity #FPL https://t.co/wjiKLwLqcv",2024-12-31,2025-01-03,Wed Jan 01 13:07:19 +0000 2025,182,20,5,230,0,False
