,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,influence,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_5,team_xG_conceded,team_xG_conceded_prev_5,team_goals_scored,team_goals_scored_prev_5,team_goals_conceded,team_goals_conceded_prev_5,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Axel Disasi,167,Chelsea,3,2024-09-01T12:30:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2346,8251,0,0.0,2,0.87273044,0.093729617,1.54529,1.54529,1.79924,1.79924,3.0,3.0,2.0,2.0,Disasi,85,0,1561,0,[0.87623775],[0.09488452],[0.028877703],0.8762377500534058,0.0948845222592353,0.0288777034729719,0.87623775,0.09488452,0.028877703,0,1,0
1,Axel Disasi,167,Chelsea,18,2024-12-26T15:00:00Z,0,0,0,0,0,0,0.328467153,0.0,0.0,1.0,1.0,0.082116788,0.0,0.0,0.25,0.25,0.328467153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013138686,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2.176470588,1.117647059,16.11764706,90,0.0,22.5,10.0,0.328467153,0.0,1,3.908759124,4.411764706,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,6987,3076,0,1.176470588,2,0.339600882,0.227451987,2.236586824,3.2368025,1.591395,1.92476825,2.176470588,3.5,1.117647059,1.25,Disasi,126,0,202,0,[0.8916832],[0.0815008],[0.026815934],0.8916832208633423,0.0815007984638214,0.0268159341067075,0.8916832,0.0815008,0.026815934,0,1,0
2,Benoît Badiashile,153,Chelsea,16,2024-12-15T19:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021862348,0.01,0.0,0.0375,0.02866242,0.0,0.0,0.0,0.0,0.0,2.333333333,1.2,16.46666667,90,15.0,30.0,17.44444444,0.0,0.0,1,2.076923077,3.213333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2098,729,0,0.333333333,2,0.578850796,0.183003473,2.260973733,2.959935,1.621619667,1.4285175,2.333333333,2.75,1.2,0.75,B.Badiashile,145,0,8437,4,[0.94092625],[0.039114084],[0.019959692],0.9409262537956238,0.0391140840947628,0.0199596919119358,0.94092625,0.039114084,0.019959692,0,1,0
3,Christopher Nkunku,181,Chelsea,2,2024-08-25T13:00:00Z,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.236842105,0.236842105,0.236842105,0.236842105,0.236842105,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,0.0,0.0,0.0,0.0,0.0,0.094736842,0.094736842,0.094736842,0.094736842,0.094736842,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,0.0,2.0,57.0,57,57.0,57.0,57.0,0.0,0.0,0,5.368421053,7.8,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,80208,131574,1,1.0,3,0.332684258,0.192530487,1.06123,1.06123,1.18038,1.18038,0.0,0.0,2.0,2.0,Nkunku,102,3924,6476589,271,"[0.8307239, 0.80773365, 0.8128433, 0.5899362, 0.9392515, 0.93797493, 0.5970288, 0.75926673, 0.690796, 0.66567963, 0.5252197, 0.7495114, 0.68182445, 0.55560756, 0.6778194, 0.84096885, 0.9584267, 0.93686074, 0.54616445]","[0.15437667, 0.17859578, 0.17148015, 0.4011992, 0.048550837, 0.035861153, 0.38379166, 0.23175025, 0.3019381, 0.29343972, 0.39735925, 0.15727165, 0.31106296, 0.4006004, 0.17366546, 0.14073679, 0.033667456, 0.056320623, 0.446219]","[0.014899449, 0.0136705935, 0.01567648, 0.0088646, 0.0121977, 0.02616387, 0.019179547, 0.008983025, 0.007265884, 0.040880598, 0.07742105, 0.093217015, 0.0071126274, 0.04379196, 0.14851516, 0.018294342, 0.007905773, 0.0068186116, 0.007616531]",14.103637874126434,4.317887090146542,0.5784748210571706,0.7422967,0.22725722,0.03044604,2,14,3
4,Christopher Nkunku,181,Chelsea,3,2024-09-01T12:30:00Z,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.2109375,0.0,0.2109375,0.2109375,0.2109375,1.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.257142857,0.1125,0.1125,0.1125,2.8125,12.85714286,2.8125,2.8125,2.8125,3.0,2.0,32.0,7,32.0,32.0,32.0,0.0,0.0,1,6.75,5.9,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,36401,746474,1,1.0,3,0.87273044,0.093729617,1.54529,1.54529,1.79924,1.79924,3.0,3.0,2.0,2.0,Nkunku,84,1976,621525,122,"[0.94121647, 0.9295436, 0.6140269, 0.6936868, 0.7735952, 0.50305533, 0.68696165, 0.5507129, 0.6928122, 0.9435285, 0.91693515, 0.8415661, 0.7112762, 0.769543, 0.72601, 0.6172482, 0.97103083, 0.89975786, 0.86720073]","[0.04237499, 0.060267452, 0.38255078, 0.29083332, 0.2192863, 0.48994884, 0.30718875, 0.41234365, 0.2793839, 0.04531835, 0.07721527, 0.15437976, 0.2779115, 0.20286432, 0.24518296, 0.3785688, 0.027277036, 0.05713724, 0.0802043]","[0.016408516, 0.010188857, 0.0034223143, 0.015479889, 0.0071185683, 0.006995874, 0.0058496594, 0.036943503, 0.027803909, 0.011153153, 0.005849543, 0.0040541687, 0.010812319, 0.027592752, 0.028807, 0.0041829892, 0.0016921023, 0.043104894, 0.05259497]",14.649707555770874,4.030237516388297,0.3200549818575382,0.7710373,0.21211778,0.016844999,5,12,2
5,Christopher Nkunku,181,Chelsea,4,2024-09-14T19:00:00Z,1,0,0,0,1,11,0.0,0.0,0.0,0.0,0.0,0.198529412,0.0,0.198529412,0.198529412,0.198529412,1.323529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132352941,0.45,0.132352941,0.132352941,0.132352941,3.970588235,22.5,3.970588235,3.970588235,3.970588235,2.333333333,1.666666667,22.66666667,4,22.66666667,22.66666667,22.66666667,0.0,0.0,0,8.735294118,4.8,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,13875,306289,7,1.0,3,0.229000818,0.256923026,2.02267,2.02267,1.352729333,1.352729333,2.333333333,2.333333333,1.666666667,1.666666667,Nkunku,67,1860,554406,101,"[0.77825916, 0.76559466, 0.8987896, 0.8307305, 0.829793, 0.6142599, 0.8297781, 0.5319708, 0.81904083, 0.6310384, 0.7015043, 0.9217009, 0.530239, 0.80926883, 0.8592882, 0.71159846, 0.944843, 0.8582748, 0.8344122]","[0.21389234, 0.19899619, 0.055658422, 0.14301576, 0.15432096, 0.33311498, 0.15371487, 0.4358789, 0.16672441, 0.3185943, 0.22236785, 0.04865177, 0.34593263, 0.17588603, 0.11790799, 0.26770318, 0.035224415, 0.08465094, 0.12916683]","[0.007848494, 0.035409126, 0.045551956, 0.026253782, 0.015886137, 0.052625105, 0.016507085, 0.032150254, 0.0142347505, 0.05036723, 0.07612786, 0.029647304, 0.12382846, 0.014845187, 0.022803847, 0.02069838, 0.019932639, 0.057074253, 0.036420956]",14.700384616851808,3.601402774453163,0.6982128033414483,0.77370447,0.18954752,0.03674804,1,15,3
6,Christopher Nkunku,181,Chelsea,5,2024-09-21T11:30:00Z,0,0,0,0,0,26,1.139240506,8.181818182,0.0,1.139240506,1.139240506,0.512658228,2.454545455,0.0,0.512658228,0.512658228,2.278481013,8.181818182,8.181818182,1.139240506,1.139240506,0.0,0.0,0.0,0.0,0.0,0.113924051,0.0,0.327272727,0.113924051,0.113924051,3.417721519,0.0,16.36363636,3.417721519,3.417721519,2.0,1.25,19.75,11,5.5,19.75,19.75,0.0,0.0,0,13.67088608,12.1,1,1,0,1,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,38897,45317,1,2.5,3,0.737335296,0.163264065,1.750184,1.750184,1.3988745,1.3988745,2.0,2.0,1.25,1.25,Nkunku,53,75,30994,14,"[0.8755593, 0.8542846, 0.90581465, 0.7680011, 0.8116474, 0.847495, 0.7624614, 0.9424845, 0.8308877, 0.53708595, 0.87189555, 0.691899, 0.63212526, 0.8196136, 0.92242473, 0.46064484, 0.6495267, 0.956946]","[0.075077035, 0.11949651, 0.08687458, 0.20418736, 0.17715435, 0.14253148, 0.2295391, 0.03326735, 0.1595985, 0.29805368, 0.11160891, 0.29515016, 0.31966007, 0.16964999, 0.047347177, 0.33849803, 0.2878706, 0.03907323]","[0.049363777, 0.026218927, 0.0073108254, 0.027811544, 0.011198207, 0.009973539, 0.007999515, 0.024248129, 0.009513817, 0.16486035, 0.016495587, 0.012950767, 0.048214655, 0.010736507, 0.030228158, 0.20085713, 0.06260263, 0.003980761]",14.1407972574234,3.134638089686632,0.7245648331008852,0.7855999,0.17414658,0.040253602,4,10,4
7,Christopher Nkunku,181,Chelsea,6,2024-09-28T14:00:00Z,0,0,0,0,0,11,0.857142857,0.0,6.0,0.857142857,0.857142857,0.891428571,2.042307692,1.8,0.891428571,0.891428571,2.571428571,3.461538462,6.0,0.857142857,0.857142857,0.0,0.0,0.0,0.0,0.0,0.12,0.138461538,0.12,0.12,0.12,2.571428571,0.0,6.0,2.571428571,2.571428571,2.2,1.0,21.0,26,7.5,21.0,21.0,0.0,0.0,1,13.88571429,10.32,1,0,1,1,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,28023,103772,1,2.2,3,0.815943403,0.103876074,1.8796012,1.8796012,1.270753,1.270753,2.2,2.2,1.0,1.0,Nkunku,44,4502,12920168,193,"[0.60502505, 0.8543411, 0.86323243, 0.8378871, 0.5579649, 0.9324092, 0.5582181, 0.7197645, 0.90757, 0.5465579, 0.8359646, 0.84759307, 0.53860503, 0.5727827, 0.89734864, 0.8861519, 0.9283242, 0.8687943, 0.55480665]","[0.21109769, 0.13984239, 0.119195886, 0.09466711, 0.32494876, 0.057278205, 0.29887542, 0.25215283, 0.047653027, 0.24407935, 0.15844926, 0.14454417, 0.43739566, 0.354297, 0.06662415, 0.090508185, 0.065641075, 0.12337238, 0.43444386]","[0.18387724, 0.0058165016, 0.017571716, 0.067445844, 0.11708631, 0.010312564, 0.14290652, 0.028082676, 0.04477688, 0.20936275, 0.005586123, 0.007862792, 0.023999311, 0.07292027, 0.0360272, 0.023340024, 0.006034721, 0.007833292, 0.0107495]",14.31334149837494,3.665066424757242,1.0215922356583178,0.75333375,0.19289824,0.05376801,2,16,1
8,Christopher Nkunku,181,Chelsea,10,2024-11-03T16:30:00Z,0,0,0,0,0,0,0.59602649,0.0,0.0,0.0,0.59602649,1.20397351,1.275,3.169565217,2.1,1.20397351,4.17218543,15.0,7.826086957,3.0,1.19205298,0.0,0.0,0.0,0.0,0.0,0.113245033,0.15,0.07826087,0.105,0.113245033,2.38410596,0.0,0.0,1.5,2.38410596,2.111111111,1.222222222,16.77777778,12,11.5,15.0,16.77777778,0.59602649,0.0,0,13.35099338,6.977777778,1,0,0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4869,27506,0,1.555555556,3,0.206587098,0.203128687,2.032321778,2.418055,1.466093889,1.46427425,2.111111111,2.25,1.222222222,1.25,Nkunku,198,296,124629,12,"[0.86498314, 0.75750047, 0.5472149, 0.731073, 0.8584634]","[0.12134679, 0.13569565, 0.42753106, 0.24376698, 0.11254598]","[0.013670164, 0.10680391, 0.02525401, 0.025160018, 0.028990706]",3.7592349648475647,1.0408864617347715,0.1998788071796298,0.75184697,0.2081773,0.03997576,1,4,0
9,Christopher Nkunku,181,Chelsea,13,2024-12-01T13:30:00Z,0,0,0,0,0,19,0.555555556,0.0,0.0,0.0,1.011235955,1.15,0.5,0.0,0.707142857,1.891011236,4.444444444,10.0,45.0,3.214285714,1.011235955,0.0,0.0,0.0,0.0,0.0,0.105555556,0.0,0.0,0.096428571,0.111235955,2.222222222,0.0,0.0,0.0,2.02247191,1.916666667,1.166666667,13.5,9,1.0,7.0,9.888888889,0.555555556,0.0,1,12.44444444,5.233333333,1,0,0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2142,8949,1,1.333333333,3,0.625169034,0.212866267,1.963238,1.35209,1.523652667,2.022105,1.916666667,1.25,1.166666667,1.25,Nkunku,169,102,11900,13,"[0.83970225, 0.51519865, 0.6887953, 0.8086459, 0.59399563]","[0.099755585, 0.38680676, 0.29847315, 0.10308506, 0.38798138]","[0.060542136, 0.09799459, 0.012731502, 0.08826901, 0.018023012]",3.446337759494781,1.276101939380169,0.2775602489709854,0.6892675,0.25522038,0.055512052,0,5,0
