,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,0,Sánchez,185,9,21,9819,6,"[False, False, False, False, False, False, False, False, False, False, False]","[0.8296312, 0.88428307, 0.7924531, 0.96577257, 0.8995474, 0.84311616, 0.48956653, 0.8551071, 0.68318415, 0.63597506, 0.5107258]","[0.13062386, 0.111328036, 0.19052048, 0.030356131, 0.098146096, 0.15069494, 0.48952502, 0.12482356, 0.31283936, 0.34658065, 0.46392846]","[0.039744955, 0.004388951, 0.017026387, 0.0038713017, 0.0023065126, 0.006188863, 0.020908466, 0.020069316, 0.003976491, 0.017444221, 0.025345696]",8.389362186193466,2.4493665993213654,0.1612711600027978,0.7626692,0.22266969,0.014661015,5,6,0
1,1,Neto,560,9,2,34649,2,"[False, False]","[0.863817, 0.63519645]","[0.121168815, 0.35352156]","[0.015014216, 0.011282014]",1.4990134239196775,0.4746903702616691,0.02629623003304,0.7495067,0.23734519,0.013148115,0,1,1
2,2,Madueke,177,9,52,65527,5,"[False, False, False, False, False, False, False, False]","[0.95052636, 0.670599, 0.87749803, 0.9298247, 0.69404835, 0.6107178, 0.844961, 0.50175667]","[0.028511722, 0.29651636, 0.11603892, 0.05188879, 0.27490434, 0.3735328, 0.14733611, 0.4146109]","[0.020962017, 0.03288465, 0.006463042, 0.018286442, 0.031047273, 0.015749477, 0.0077029346, 0.08363243]",6.079931855201721,1.70333993434906,0.2167282677255571,0.7599915,0.21291749,0.027091032,2,6,0
3,3,Jackson,180,9,1882,6803939,118,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8306661, 0.88428307, 0.499725, 0.9458412, 0.82367665, 0.7308976, 0.5749357, 0.83257073, 0.838095, 0.90910023, 0.6303782, 0.670599, 0.9298247, 0.9235979, 0.6249696, 0.67502046, 0.61350733, 0.85753727, 0.92510825]","[0.15254958, 0.111328036, 0.4650462, 0.04514794, 0.09641188, 0.25570506, 0.41942126, 0.16230796, 0.11741062, 0.06917719, 0.33034843, 0.29651636, 0.05188879, 0.05748341, 0.36462247, 0.3142875, 0.21010847, 0.1346244, 0.07138916]","[0.016784262, 0.004388951, 0.035228755, 0.009010891, 0.07991151, 0.013397373, 0.0056430623, 0.00512132, 0.044494316, 0.021722589, 0.03927335, 0.03288465, 0.018286442, 0.018918741, 0.010407992, 0.010692079, 0.17638417, 0.007838338, 0.0035026039]",14.720333963632584,3.725774735212326,0.5538913907948881,0.7747544,0.19609343,0.029152177,3,14,2
4,4,Caicedo,157,9,99,359155,7,"[False, False]","[0.85753727, 0.8712621]","[0.1346244, 0.095723666]","[0.007838338, 0.03301431]",1.7287993431091309,0.2303480729460716,0.04085264634341,0.8643997,0.11517404,0.020426324,0,2,0
5,5,Gusto,171,9,101,359687,7,"[False, False, False]","[0.85753727, 0.8712621, 0.66946226]","[0.1346244, 0.095723666, 0.32660282]","[0.007838338, 0.03301431, 0.0039349254]",2.398261606693268,0.5569508895277977,0.0447875717654824,0.79942054,0.1856503,0.01492919,0,3,0
6,6,Colwill,162,9,99,359158,7,"[False, False]","[0.85753727, 0.8712621]","[0.1346244, 0.095723666]","[0.007838338, 0.03301431]",1.7287993431091309,0.2303480729460716,0.04085264634341,0.8643997,0.11517404,0.020426324,0,2,0
7,7,Sancho,386,9,71,124889,12,"[False, False, False, False, False, False, False, False, False, False, False, False]","[0.9373161, 0.7881979, 0.8640363, 0.49876246, 0.94315284, 0.8436743, 0.82793486, 0.8939381, 0.9583236, 0.57305413, 0.9192196, 0.9192196]","[0.04428934, 0.20702404, 0.12038485, 0.48913202, 0.050219946, 0.101995036, 0.14836353, 0.10089692, 0.031297725, 0.40822002, 0.046770126, 0.046770126]","[0.01839453, 0.0047780727, 0.015578869, 0.012105571, 0.006627181, 0.054330718, 0.023701634, 0.005164953, 0.010378657, 0.018725883, 0.034010313, 0.034010313]",9.966829866170883,1.7953636720776558,0.2378066955134272,0.8305692,0.14961363,0.019817226,1,11,0
8,8,Enzo,168,9,10,1161,1,"[False, False, False]","[0.7274361, 0.8819484, 0.6303782]","[0.21601263, 0.09394729, 0.33034843]","[0.056551274, 0.024104368, 0.03927335]",2.2397627234458923,0.6403083503246307,0.1199289932847023,0.7465876,0.21343613,0.039976332,0,2,1
9,9,Palmer,182,9,1695,161536,177,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9399881, 0.9346538, 0.63091075, 0.9117405, 0.89353836, 0.6301287, 0.94443035, 0.9551327, 0.8110571, 0.62951654, 0.8721753, 0.86950046, 0.9199738, 0.9442605, 0.67272085, 0.7930667, 0.9773293, 0.839298, 0.5204254]","[0.05814882, 0.039685212, 0.23547964, 0.07326776, 0.0981957, 0.3210518, 0.053403143, 0.039095033, 0.18118702, 0.36210877, 0.123661436, 0.12625729, 0.076960854, 0.053639814, 0.24846756, 0.19066143, 0.020919872, 0.08408993, 0.47388262]","[0.001863065, 0.02566089, 0.13360962, 0.0149917435, 0.008265904, 0.048819512, 0.0021665283, 0.005772318, 0.0077558183, 0.008374732, 0.004163247, 0.004242338, 0.0030653598, 0.0020996747, 0.07881162, 0.016271949, 0.0017508751, 0.07661206, 0.0056919456]",15.689847111701964,2.8601636979728937,0.4499892081366852,0.82578146,0.15053494,0.023683643,8,10,1
10,10,Fofana,189,8,121,363832,6,"[False, False, False, False, False, False, False, False, False]","[0.78962886, 0.7848433, 0.8176565, 0.7871451, 0.4981874, 0.5113219, 0.6685043, 0.88183266, 0.5632278]","[0.1244394, 0.13255414, 0.1636048, 0.19813941, 0.4947558, 0.4827248, 0.18575387, 0.09742021, 0.42843238]","[0.0859317, 0.082602546, 0.01873865, 0.014715534, 0.0070567518, 0.005953289, 0.14574178, 0.020747064, 0.008339843]",6.302347809076309,2.3078247979283333,0.389827155508101,0.7002609,0.256425,0.04331413,0,9,0
