,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Fofana,189,30,50,9097,5,[False],[0.79023147],[0.19392285],[0.015845679],0.790231466293335,0.19392284750938416,0.015845678746700287,0.79023147,0.19392285,0.015845679,0,1,0
1,George,696,30,180,86374,51,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.98533696, 0.745032, 0.5700369, 0.69997925, 0.7514073, 0.5633659, 0.843233, 0.5840601, 0.79458565, 0.7566425, 0.84019387, 0.9292341, 0.75073016, 0.7935034, 0.605027, 0.8510428, 0.8638935, 0.6678195]","[0.011479293, 0.20815927, 0.34998676, 0.2799589, 0.22664623, 0.26535368, 0.09488461, 0.40307292, 0.19812036, 0.22222142, 0.1505548, 0.06403108, 0.2403523, 0.20174098, 0.38056317, 0.13867483, 0.1326583, 0.2638363]","[0.0031837851, 0.04680878, 0.07997635, 0.020061843, 0.021946473, 0.17128043, 0.06188251, 0.012867021, 0.007294066, 0.02113613, 0.0092513915, 0.0067348327, 0.008917538, 0.0047555454, 0.014409818, 0.010282431, 0.0034482244, 0.068344265]",13.595123887062073,3.83229520637542,0.5725814327597618,0.7552846,0.21290529,0.03181008,4,10,4
2,Sánchez,185,30,2,496,6,[False],[0.6716082],[0.30714977],[0.02124203],0.6716082096099854,0.3071497678756714,0.02124202996492386,0.6716082,0.30714977,0.02124203,0,1,0
3,James,172,30,207,371843,52,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.52496076, 0.86211604, 0.57428867, 0.8254195, 0.6531783, 0.6357749, 0.854379, 0.49973467, 0.6952381, 0.6454403, 0.9011334, 0.84435844, 0.88291955, 0.9296173, 0.55851716, 0.7690907, 0.79023147, 0.9052139, 0.73859507]","[0.46377498, 0.13330442, 0.4170482, 0.16125757, 0.22691312, 0.35964805, 0.14033578, 0.33672437, 0.30131227, 0.31554157, 0.09548653, 0.1471426, 0.11104112, 0.047444854, 0.40211758, 0.22764614, 0.19392285, 0.08956141, 0.25915918]","[0.011264319, 0.0045795236, 0.008663151, 0.013322975, 0.11990854, 0.0045770486, 0.0052852044, 0.16354091, 0.0034495527, 0.039018136, 0.0033799496, 0.00849894, 0.006039353, 0.022937886, 0.039365284, 0.003263141, 0.015845679, 0.005224651, 0.0022457943]",14.090207189321518,4.4293825738132,0.4804100436158478,0.7415899,0.2331254,0.02528474,5,12,2
4,Cucurella,163,30,130,230723,4,"[False, False, False, False, False, False, False, False, False, False, False, False]","[0.9272633, 0.8371185, 0.87840205, 0.45179, 0.89129305, 0.9031996, 0.9260276, 0.9324882, 0.94858754, 0.86892724, 0.60290456, 0.95164305]","[0.06795806, 0.16077426, 0.10951387, 0.43137074, 0.10625565, 0.083066925, 0.046618707, 0.06371753, 0.042748775, 0.119280055, 0.3900054, 0.033326454]","[0.004778701, 0.0021072498, 0.012084061, 0.1168393, 0.002451257, 0.01373355, 0.027353736, 0.0037942138, 0.008663679, 0.011792731, 0.0070900153, 0.015030544]",10.119644731283188,1.6546364314854145,0.22571903420612216,0.8433037,0.13788638,0.01880992,3,9,0
5,Colwill,162,30,0,148,0,[False],[0.6322407],[0.3601135],[0.007645762],0.6322407126426697,0.3601135015487671,0.00764576205983758,0.6322407,0.3601135,0.007645762,0,1,0
6,Enzo,168,30,698,9864,55,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.95110196, 0.5286506, 0.591959, 0.6633906, 0.63488394, 0.8874414, 0.9434942, 0.6644573, 0.39405558, 0.76043254, 0.7446821, 0.7144031, 0.84265167, 0.81946975, 0.6906386, 0.85970855, 0.54091614, 0.5383933, 0.6382857]","[0.030503122, 0.37931937, 0.3982514, 0.17294571, 0.34797633, 0.10056572, 0.050709248, 0.25997734, 0.3638903, 0.2167977, 0.14177687, 0.27278018, 0.14210081, 0.1409787, 0.20408401, 0.10332258, 0.44488168, 0.2979951, 0.20201625]","[0.01839494, 0.09203004, 0.009789606, 0.16366373, 0.017139701, 0.011992923, 0.00579652, 0.07556536, 0.24205409, 0.022769764, 0.11354109, 0.012816741, 0.015247554, 0.039551467, 0.1052774, 0.03696887, 0.014202187, 0.16361156, 0.15969805]",13.409015983343124,4.270872397348285,1.3201115923002362,0.7057377,0.22478276,0.06947956,3,14,2
7,Fofana,189,29,99,358364,5,[False],[0.8412812],[0.15612787],[0.0025909515],0.8412811756134033,0.15612787008285522,0.0025909515097737312,0.8412812,0.15612787,0.0025909515,0,1,0
8,George,696,29,19,37335,2,"[False, False, False, False, False, False]","[0.79485065, 0.7369501, 0.4052269, 0.7954919, 0.8638935, 0.49268267]","[0.1461607, 0.25494647, 0.3778553, 0.19311768, 0.1326583, 0.43585208]","[0.058988627, 0.008103363, 0.21691781, 0.011390461, 0.0034482244, 0.071465276]",4.0890956819057465,1.540590539574623,0.37031376431696117,0.68151593,0.2567651,0.06171896,0,6,0
9,Sánchez,185,29,130,375693,11,"[False, False, False, False, False, False]","[0.851423, 0.9286347, 0.8597896, 0.84977615, 0.8412812, 0.83458424]","[0.09293398, 0.043677516, 0.1270497, 0.12443512, 0.15612787, 0.15511611]","[0.055642948, 0.02768775, 0.013160696, 0.025788639, 0.0025909515, 0.010299577]",5.16548889875412,0.6993402987718582,0.13517056219279766,0.8609149,0.11655673,0.022528427,0,4,2
10,Neto,560,29,26,2332,1,"[False, False, False, False, False]","[0.784482, 0.5828828, 0.73895645, 0.56780946, 0.83458424]","[0.19771755, 0.36093336, 0.25461137, 0.3835417, 0.15511611]","[0.017800441, 0.056183778, 0.006432158, 0.048648845, 0.010299577]",3.508714973926544,1.35192009806633,0.13936479948461056,0.701743,0.270384,0.027872961,1,2,2
11,Caicedo,157,29,6,56091,0,[False],[0.75638956],[0.23956412],[0.0040463354],0.7563895583152771,0.23956412076950073,0.0040463353507220745,0.75638956,0.23956412,0.0040463354,0,1,0
12,Cucurella,163,29,6749,12829008,141,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.56494063, 0.96111536, 0.5159189, 0.64130414, 0.76817465, 0.9628338, 0.77967876, 0.9337511, 0.97131705, 0.7477295, 0.94927, 0.6987802, 0.72086877, 0.6801758]","[0.43021172, 0.03663213, 0.3655962, 0.34825203, 0.12988187, 0.033256534, 0.2175498, 0.061049078, 0.026579464, 0.24919483, 0.04338693, 0.28197324, 0.26626667, 0.30482146]","[0.004847628, 0.002252527, 0.118484914, 0.010443851, 0.10194344, 0.003909581, 0.0027714386, 0.005199851, 0.002103467, 0.0030757482, 0.007343054, 0.019246519, 0.01286456, 0.015002769]",10.895858645439148,2.7946519758552313,0.3094893489032984,0.7782756,0.199618,0.022106381,7,7,0
