Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Enzo,"First GW30 Wildcard draft

Thoughts? 💭 

#FPL #GW30 https://t.co/ekWcc0leas",2025-03-17,2025-04-02,Wed Mar 19 23:57:23 +0000 2025,168,30,286,456,15,False
Enzo,"Am I crazy for not going Mateta on the WC? 

£2.5m in the bank, I have not seen one WC without him. Surely even if he does well Sarr and Eze would play a part? He didn’t seem 100% in the FA cup game imo. 

I do need to chase rank though and Evanilson is a great differential

#FPL https://t.co/x1M9fkBPlX",2025-03-17,2025-04-02,Mon Mar 31 20:47:24 +0000 2025,168,30,66,456,7,False
Enzo,"I know Hujsein and Kerkez are suspended. 

Anyone know why Tavernier is out of the squad today?

#FPL",2025-03-17,2025-04-02,Sun Mar 30 16:51:38 +0000 2025,168,30,0,456,0,False
Enzo,"Late gw29 review 

39 (-4) pts | 541k ———&gt; 747k

Almost feel like I’m playing anti-FPL at this point. A Bruno 🧢 almost matches my points. 

Sa ❌ Evanilson ❌ Gvardiol ❌ all blanks, with the -4 I gained 1 point from those 3

We go again! And again, and again …

#FPL #GW29 https://t.co/VSea58Tfpc",2025-03-17,2025-04-02,Tue Mar 18 20:38:16 +0000 2025,168,30,1,456,0,False
Enzo,"I think I’m actually gonna keep him on my WC30 team. Marmoush &gt; Isak in 31 unless he’s definitely benched. 

May swerve Mateta and go for Sarr and Eze, could really backfire but just fancy keeping Evan 👀 

#FPL #GW30",2025-03-17,2025-04-02,Sun Mar 30 15:59:02 +0000 2025,168,30,0,456,0,False
Enzo,"Let’s see those wildcard teams 👀 

Mines subject to change depending obviously on FA cup results, but we’ll have 2 days to manage. 

Isak will come in GW31 for Marmoush, Evanilson likely &gt; Mateta if he’s going to start. CHO &gt; Tavernier in that case. 

#FPL #GW30 https://t.co/6U7eM9HjAA",2025-03-17,2025-04-02,Wed Mar 26 22:29:41 +0000 2025,168,30,300,456,22,False
Enzo,"First Wildcard draft, made in about 10 minutes. 

#FPL #WC30 https://t.co/c6v1odfyXG",2025-03-17,2025-04-02,Sun Mar 23 22:35:35 +0000 2025,168,30,8,456,2,False
Enzo,"GW30 🔒 🚨WC active 🚨 

It’s been a long 17 days .. so much tinkering 🤣 ended up with this. 

3X PAL and NEW for 32
3X PAL ARS and CIT for 33, will bring in Villa players for the double. 

Went against JPM. Fellow Evanilson owners assemble 🫡🫡

GL ALL!

#GW30 #FPL https://t.co/w8hDfa08Au",2025-03-17,2025-04-02,Tue Apr 01 18:07:51 +0000 2025,168,30,13,456,1,False
Enzo,"Shout out to anyone that has had a more diabolical plummet in the last month than me!

13k GW rank to 8.8mil 2 weeks later, with more or less the same team. You have to laugh. 

9 GW’s left, all 🍟’s bar AM remaining. Hoping to make a strong finish 🙏 

#FPL #FPLCommunity https://t.co/pJ8999qauw",2025-03-17,2025-04-02,Wed Mar 19 21:26:17 +0000 2025,168,30,1,456,0,False
Enzo,"Entering panic mode. Haven’t checked my team all day. 

Left or right ?!?!

#FPL #WC30 https://t.co/LkpM27dRvI",2025-03-17,2025-04-02,Tue Apr 01 17:01:39 +0000 2025,168,30,2,456,1,False
Enzo,"Need a Haaland injury update ASAP 🚨 

I wouldn’t mind if he was ruled out, means I can spread the funds (currently on WC). Having him in is more of a safety net against those who own. 

With no Haaland, I could get Saka in, or too early? …

#FPL #GW30",2025-03-17,2025-04-02,Sun Mar 30 18:18:38 +0000 2025,168,30,0,456,0,False
Enzo,"I’ve gone full circle and put Palmer back in my team for my Wildcard. 

As a place holder for Saka. I capped him against SOU and LEI so he owes me. 

#FPL",2025-03-17,2025-04-02,Sun Mar 30 22:10:25 +0000 2025,168,30,0,456,0,False
