Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Cunha,Context: play in a league where we can only use ONE player per team. Also Haaland is forbidden. This is my wildcard team for this week. Anyone have any thoughts? Am I reaching with some of these guys? Cunha out for Morris next week. #fpl #FPLCommunity #fplhelp https://t.co/XfTXmPm27t,2023-09-17,2023-09-22,Thu Sep 21 11:02:50 +0000 2023,590,6,1,2,0,False
Semedo,"SUSPENSION ALERT⚠️

1🟨 away
N. Jackson | CHE 7.1
Gordon | NEW 5.5

2🟨 away
B.Fernandes | MUN 8.4
Bruno. G | NEW 5.8
Aina | FUL 4.5
Emerson | WHU 4.5
Paqueta | WHU 6.0
Semedo | WOL 4.5

#FPL #FPLCommunity",2023-09-17,2023-09-22,Sun Sep 17 15:32:51 +0000 2023,572,6,3,1937,0,False
Neto,"FT: Bournemouth 0-0 Chelsea
Provisional Bonus Pts! ⏱
3│10 — Sanchez
2│10 — Neto
2│8 — Kelly
#BOUCHE #FPL https://t.co/mYs86XjrIR",2023-09-17,2023-09-22,Sun Sep 17 15:00:05 +0000 2023,567,6,189,240644,13,False
Neto,"BPS

Sanchez (CHE) (37)
Kelly (BOU) (32)
Neto (BOU) (32)

#FPL #BOUCHE #GW5 https://t.co/VopL3mm0RA",2023-09-17,2023-09-22,Sun Sep 17 18:28:17 +0000 2023,567,6,0,1378,1,False
Neto,"My plan is dead ending into WC10, which allows me 1 FT to punt on whoever I want in GW8 and GW9.

Here's what I'm thinking:

GW8: ❌ Saka ✅ Doucoure vs BOU(H)
GW9: ❌ Eze ✅ Neto vs BOU(A) 

Doucoure captain vs BOU in GW38 last season, we were there. 🫡

#FPL https://t.co/dAq6QuUSfH",2023-09-17,2023-09-22,Wed Sep 20 10:00:06 +0000 2023,567,6,6,1160,4,False
Neto,"🧵 - Wild Card GW6 Draft 

Focusing on the long run is important but I also want to be as aggressive as possible in GW6-7 which is why I've included Alvarez, Neto, Mitoma and no Son/Maddison.

❌ Salah not included, won't buy him this season.

* open pics to see FT/budget

#FPL https://t.co/SUXRDhcqtz",2023-09-17,2023-09-22,Sun Sep 17 17:46:24 +0000 2023,567,6,1,1160,2,False
Neto,"The most valuable players who stole the spotlight in #Gameweek5!

#Chilwell #Zinchenko #MarcusRashford #Gakpo #Arsenal #MUFC #MCFC #AFC #LFC #THFC #CFC #FPL #FPLCommunity #Raya #Neto #JuliánÁlvarez #Robertson #BernardoSilva #PremierLeague #BayernMunich https://t.co/qYaEVKaZTj",2023-09-17,2023-09-22,Mon Sep 18 08:55:26 +0000 2023,567,6,1,353,0,False
Neto,"GW 4 REVIEW: 49pts ✅
OR : 21,597k✅

Mistakenly 🧢 Salah but it worked. I shouldn’t have transferred out Pedro nor Saliba prior to this game week but in the end it was for long term.

I might get rid of Bruno for Diaby/Neto! 

How did you do? Share. 

#FPL #FPLCommunity https://t.co/FOiBoK91bF",2023-09-17,2023-09-22,Sun Sep 17 19:57:41 +0000 2023,567,6,1,147,1,False
Neto,"📊Most chances created so far this season 

🐺Neto - 17
🔵Alvarez - 16
💥Bruno - 16
🔷Gross - 16
🔫Saka - 15
🥶Foden - 14
⚡️Maddison - 14
👾Mitoma - 14 

Neto(4) &amp; Alvarez(5) also amongst the top for assists. Great value options🔥

Neto has Luton next😬

#FPL #FPLCommunity https://t.co/baTX6x9vIJ",2023-09-17,2023-09-22,Mon Sep 18 06:46:14 +0000 2023,567,6,109,100709,6,False
Neto,"Whats the opinions of bringing in

Neto (Vs Luton)
Hwang (Vs Luton)
Doku (Vs Forest)

#FPL",2023-09-17,2023-09-22,Sun Sep 17 08:00:40 +0000 2023,567,6,0,1116,0,False
Neto,"FT: Bournemouth 0-0 Chelsea
Provisional Bonus Pts! ⏱
3│10 — Sanchez
2│10 — Neto
2│8 — Kelly
#BOUCHE #FPL  #FPLCommunity https://t.co/8Meh3fWCLw",2023-09-17,2023-09-22,Sun Sep 17 15:01:57 +0000 2023,567,6,3,1271,0,False
Neto,"PEDRO NETO🐺

Most Chances created - 17
Most Assist - 4

Plays Luton next. Looks good for a punt prior to a wildcard.

#FPL #FPLCommunity https://t.co/bGBHnaG8DU",2023-09-17,2023-09-22,Mon Sep 18 13:03:34 +0000 2023,567,6,8,5135,4,False
Neto,"Strange season when I'm looking at Gordon or Neto as possible replacements for Sterling.

Any other good differential options for #GW6

#FPL",2023-09-17,2023-09-22,Mon Sep 18 15:34:45 +0000 2023,567,6,1,410,1,False
Neto,"📈🔥FPL GW5 Stats Summary- Chances Created

📌Other notable players for Chances created in GW5: 
Solomon, Rodri, Silva(All 4)
Doku, CHO, Kabore, Sterling(All 3)

📌Neto(17), Alvarez(16), Bruno(16), Gross(16), Saka(15)- Top 5 for Chances created from GW1- GW5

2/7

#FPL https://t.co/k25LSVJUWJ",2023-09-17,2023-09-22,Tue Sep 19 08:36:09 +0000 2023,567,6,19,100709,1,False
Neto,"I hear fixtures over form often. 

Right now it's anything. 

GW5

Top keeper - Neto

Top defender - Robertson, Botman, kelly

Top midfielder - Bernardo, Trossard, Douglas L

Top striker - Alvarez, Edouard. 

Only Alvarez was ever a option!!

#FPL",2023-09-17,2023-09-22,Sun Sep 17 20:35:02 +0000 2023,567,6,0,4983,0,False
Neto,👏 Big shout out to Neto and Sanchez who were both phenomenal in Chelsea v Bournemouth. 🔥 #CHE #BOU #FPL #FANTRAX,2023-09-17,2023-09-22,Wed Sep 20 01:38:08 +0000 2023,567,6,0,30,0,False
Neto,"Top Targets to GW6 :

GK:
🥇Pope
🥈Emi 
🥉Flekken
🎲 Trafford

DEF:
🥇NEW Def
🥈Castagne
🥉Cash
🎲 Tarkowski

MID:
🥇Rashford
🥈Foden
🥉Son/Maddison
🎲 Eze

FWD:
🥇Alvarez
🥈Wilson
🥉Hojlund
🎲 Morris

Worth Mentioning:
🦅Edouard
🔫Jesus
🕊March
🐺Neto
🔵Sterling
👕Gvardiol
#FPL",2023-09-17,2023-09-22,Thu Sep 21 21:58:41 +0000 2023,567,6,10,2096,0,False
Neto,"Goal - Cook
Assist - Neto

Bournemouth 1-0 Chelsea (90 mins)

#FPL #BOUCHE https://t.co/zn4t3eVgEm",2023-09-17,2023-09-22,Sun Sep 17 12:55:16 +0000 2023,567,6,3,5558,1,False
Neto,"6. Callum Hudson-Odoi 🏴󠁧󠁢󠁥󠁮󠁧󠁿 - NOT
7. Neto 🇧🇷 - BOU
8. Julian Alvarez 🇦🇷 - MCI
9. Andrew Robertson 🏴󠁧󠁢󠁳󠁣󠁴󠁿 - LIV
10. Leandro Trossard 🇧🇪 - ARS

Who's leading your fantasy team this season? 🏆 #Fantrax #FPL""",2023-09-17,2023-09-22,Wed Sep 20 01:34:37 +0000 2023,567,6,1,30,0,False
Neto,"Currently reading an article in @Wolves official website. Pls rectify this error in the “ Neto | 'We had to adapt better '’ article. It’s king, should be kind. Thanks 

I AM BUYING NETO for #FPL https://t.co/hBvJv3eHt6",2023-09-17,2023-09-22,Tue Sep 19 15:38:27 +0000 2023,567,6,0,578,0,False
Neto,"#GW5 REVIEW &amp; THOUGHTS INTO #GW6

THREAD 🧵 

🎽Alvarez 
🟣James Ward-Prowse
🔴Trossard
⚪️Wilson
🔵Jackson a sell?
⚪️Son/Richarlison at CF?
🐺Neto

FOLLOW, LIKE and RETWEET ✅, if you find it useful😊

#FPL #FPLCommumity https://t.co/ymoRdCFrWF",2023-09-17,2023-09-22,Tue Sep 19 21:27:41 +0000 2023,567,6,5,5135,1,False
