,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,influence,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_5,team_xG_conceded,team_xG_conceded_prev_5,team_goals_scored,team_goals_scored_prev_5,team_goals_conceded,team_goals_conceded_prev_5,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Boubacar Traoré,574,Wolverhampton Wanderers,2,2023-08-19T14:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,3149,5989,0,0.0,3,0.341898868,0.166132949,1.72228,1.72228,1.97087,1.97087,0.0,0.0,1.0,1.0,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Boubacar Traoré,574,Wolverhampton Wanderers,3,2023-08-26T14:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1094,7494,0,0.0,3,0.284917003,0.223206958,2.205245,2.205245,2.563245,2.563245,0.5,0.5,2.5,2.5,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Boubacar Traoré,574,Wolverhampton Wanderers,4,2023-09-03T13:00:00Z,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,1.666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1877,5305,1,0.0,3,0.172815278,0.187872469,1.93759,1.93759,2.34147,2.34147,0.666666667,0.666666667,1.666666667,1.666666667,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Boubacar Traoré,574,Wolverhampton Wanderers,5,2023-09-16T11:30:00Z,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625,0.05625,0.0,0.05625,0.05625,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,16,0.0,4.0,4.0,0.0,0.0,1,3.375,0.35,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,5332,4335,1,0.25,3,0.046448818,0.110902833,1.73797,1.73797,2.33844,2.33844,1.0,1.0,2.0,2.0,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Boubacar Traoré,574,Wolverhampton Wanderers,6,2023-09-23T14:00:00Z,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032142857,0.0,0.05625,0.032142857,0.032142857,0.0,0.0,0.0,0.0,0.0,1.0,2.2,5.6,12,8.0,5.6,5.6,0.0,0.0,0,2.571428571,0.6,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,3663,2929,1,0.4,3,0.112139203,0.178296817,1.4981426,1.4981426,2.436154,2.436154,1.0,1.0,2.2,2.2,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Boubacar Traoré,574,Wolverhampton Wanderers,7,2023-09-30T14:00:00Z,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019148936,0.0,0.032142857,0.032142857,0.019148936,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.833333333,19,14.0,7.0,7.833333333,0.0,0.0,1,2.29787234,1.066666667,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4805,4204,1,0.5,3,0.243795085,0.339967886,1.375616167,1.44210825,2.40363,2.552475,1.0,1.25,2.0,2.5,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Boubacar Traoré,574,Wolverhampton Wanderers,8,2023-10-08T13:00:00Z,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012857143,0.0,0.0,0.019148936,0.012857143,0.0,0.0,0.0,0.0,0.0,1.142857143,1.857142857,10.0,23,15.5,11.75,10.0,0.0,0.0,1,2.057142857,1.371428571,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4298,4158,1,0.571428571,3,0.379065841,0.220000048,1.275383143,0.96080175,2.200361429,2.3238225,1.142857143,1.25,1.857142857,1.75,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Boubacar Traoré,574,Wolverhampton Wanderers,9,2023-10-21T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01978022,0.042857143,0.0,0.012857143,0.01978022,0.989010989,4.285714286,0.0,0.0,0.989010989,1.125,1.75,11.375,21,21.0,17.5,11.375,0.0,0.0,0,3.065934066,1.75,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2132,3041,1,0.625,3,0.66180642,0.18531665,1.33625025,0.778728,2.15233875,2.09453,1.125,1.5,1.75,2.0,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boubacar Traoré,574,Wolverhampton Wanderers,10,2023-10-28T16:30:00Z,0,0,0,0,0,53,0.0,0.0,0.0,0.0,0.0,0.004972376,0.01,0.0,0.0,0.004972376,0.497237569,1.0,2.045454545,1.2,0.497237569,0.0,0.0,0.0,0.0,0.0,0.054696133,0.09,0.020454545,0.012,0.054696133,0.497237569,0.0,2.045454545,1.2,0.497237569,1.222222222,1.666666667,20.11111111,90,22.0,18.75,20.11111111,0.497237569,0.0,1,2.585635359,2.933333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2307,3032,1,0.666666667,3,0.123378865,0.176554668,1.443838,0.9345305,2.026344444,1.9662375,1.222222222,1.25,1.666666667,1.5,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Boubacar Traoré,574,Wolverhampton Wanderers,11,2023-11-04T15:00:00Z,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.015384615,0.050943396,0.008108108,0.005882353,0.015384615,1.153846154,3.396226415,1.621621622,1.176470588,0.769230769,0.0,0.0,0.0,0.0,0.0,0.042307692,0.0,0.081081081,0.058823529,0.042307692,0.384615385,0.0,0.810810811,0.588235294,0.384615385,1.3,1.7,23.4,53,55.5,38.25,23.4,0.384615385,0.0,0,2.269230769,2.76,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2878,2206,1,0.7,3,0.367885528,0.287355359,1.3857935,1.37595725,2.055697,1.5140825,1.3,1.5,1.7,1.0,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
