,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,influence,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_5,team_xG_conceded,team_xG_conceded_prev_5,team_goals_scored,team_goals_scored_prev_5,team_goals_conceded,team_goals_conceded_prev_5,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,André Trindade da Costa Neto,642,Wolverhampton Wanderers,4,2024-09-15T15:30:00Z,0,0,0,0,0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4,4.0,4.0,4.0,0.0,0.0,1,4.5,2.2,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,577,92,1,1.0,3,0.374362827,0.245188474,0.937632,0.937632,1.41069,1.41069,1.0,1.0,1.0,1.0,André,48,102,42300,21,"[0.51468617, 0.81409633, 0.7260194, 0.7844911, 0.93005717]","[0.42123204, 0.12731968, 0.2660145, 0.15403903, 0.06730533]","[0.06408183, 0.058583997, 0.007966158, 0.061469886, 0.0026375449]",3.769350171089173,1.0359105616807938,0.1947394192684441,0.75387,0.20718212,0.038947884,1,3,1
1,André Trindade da Costa Neto,642,Wolverhampton Wanderers,5,2024-09-21T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01125,0.011842105,0.01125,0.01125,0.01125,1.125,1.184210526,1.125,1.125,1.125,1.0,1.5,40.0,76,40.0,40.0,40.0,1.125,0.0,0,2.7,5.9,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,471,137,2,1.0,3,0.06371754,0.147962071,1.203661,1.203661,1.44706,1.44706,1.0,1.0,1.5,1.5,André,33,0,34340,0,[0.91485196],[0.077760786],[0.007387248],0.91485196352005,0.0777607858180999,0.0073872478678822,0.91485196,0.077760786,0.007387248,0,1,0
2,André Trindade da Costa Neto,642,Wolverhampton Wanderers,6,2024-09-28T16:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.031764706,0.06,0.031764706,0.031764706,0.031764706,0.529411765,1.0,0.529411765,0.529411765,0.529411765,0.0,0.0,0.0,0.0,0.0,0.010588235,0.01,0.010588235,0.010588235,0.010588235,0.529411765,0.0,0.529411765,0.529411765,0.529411765,1.0,2.0,56.66666667,90,56.66666667,56.66666667,56.66666667,0.529411765,0.0,1,2.541176471,9.533333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,331,230,1,1.333333333,3,0.119910813,0.18991288,0.975813,0.975813,1.755876667,1.755876667,1.0,1.0,2.0,2.0,André,24,5,417,1,"[0.8583766, 0.52444714, 0.93957436]","[0.11936208, 0.26366618, 0.055723466]","[0.02226133, 0.21188664, 0.0047022705]",2.322398126125336,0.4387517273426056,0.2388502457179129,0.7741327,0.14625058,0.07961675,1,2,0
3,André Trindade da Costa Neto,642,Wolverhampton Wanderers,7,2024-10-05T14:00:00Z,0,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,0.020769231,0.0,0.03253012,0.020769231,0.020769231,0.346153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010384615,0.01,0.010843373,0.010384615,0.010384615,0.346153846,0.0,0.542168675,0.346153846,0.346153846,1.0,2.0,65.0,90,83.0,65.0,65.0,0.692307692,0.0,0,1.903846154,8.5,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,444,211,1,1.25,3,0.024085782,0.053822746,0.919091,0.919091,1.8462175,1.8462175,1.0,1.0,2.0,2.0,André,18,10,8457,0,[0.9312826],[0.06369634],[0.005021133],0.9312825798988342,0.063696339726448,0.0050211329944431,0.9312826,0.06369634,0.005021133,0,0,1
4,André Trindade da Costa Neto,642,Wolverhampton Wanderers,8,2024-10-20T13:00:00Z,0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.019936709,0.016071429,0.03,0.019936709,0.019936709,0.569620253,1.607142857,0.5,0.284810127,0.284810127,0.0,0.0,0.0,0.0,0.0,0.011392405,0.016071429,0.01,0.011392405,0.011392405,0.85443038,3.214285714,0.0,0.85443038,0.85443038,1.4,2.6,63.2,56,90.0,63.2,63.2,0.569620253,0.0,1,2.705696203,8.68,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,211,276,1,1.2,3,0.208679885,0.279309637,0.8745236,0.8745236,2.304,2.304,1.4,1.4,2.6,2.6,André,10,4854,6414982,92,"[0.8464969, 0.94996244, 0.8464969, 0.7365096, 0.90146106, 0.4330719, 0.8464969, 0.8464969, 0.95059216, 0.8464969]","[0.15172088, 0.046167467, 0.15172088, 0.14520597, 0.09571131, 0.33361846, 0.15172088, 0.15172088, 0.04610153, 0.15172088]","[0.0017822346, 0.0038701508, 0.0017822346, 0.11828445, 0.002827649, 0.23330969, 0.0017822346, 0.0017822346, 0.0033063537, 0.0017822346]",8.204081594944,1.4254091531038284,0.3705094618489966,0.82040817,0.14254092,0.037050948,9,1,0
5,André Trindade da Costa Neto,642,Wolverhampton Wanderers,13,2024-11-30T15:00:00Z,0,0,0,0,0,81,0.0,0.0,0.0,0.0,0.0,0.013938053,0.0,0.0,0.0,0.013938053,0.398230088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009955752,0.01,0.0,0.0,0.009955752,0.597345133,0.0,0.0,0.0,0.597345133,1.8,2.0,45.2,90,0.0,11.5,45.2,0.398230088,0.0,1,2.508849558,7.1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,263,186,2,1.0,3,0.072664143,0.117430664,1.0146566,1.1087295,1.8557463,1.58007625,1.8,1.75,2.0,1.5,André,103,75,17838,9,"[0.6689977, 0.8236188, 0.8844658]","[0.32563323, 0.15277138, 0.059119705]","[0.005369031, 0.023609752, 0.056414433]",2.377082347869873,0.5375243164598942,0.0853932155296206,0.7923608,0.17917478,0.028464407,1,2,0
6,André Trindade da Costa Neto,642,Wolverhampton Wanderers,14,2024-12-04T19:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.011819887,0.0,0.0,0.0,0.0140625,0.337711069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011819887,0.022222222,0.01,0.00989011,0.010044643,0.506566604,0.0,0.0,0.0,0.602678571,1.818181818,2.181818182,48.45454545,81,45.0,22.75,49.77777778,0.337711069,0.0,0,2.532833021,8.254545455,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,176,200,2,1.090909091,3,0.212613035,0.261800346,1.001145455,1.25318275,1.966952091,1.41794325,1.818181818,2.5,2.181818182,1.25,André,96,4784,6378322,100,"[0.57793355, 0.9262001, 0.9659027, 0.81179506, 0.6800258, 0.8148735]","[0.2357458, 0.06712938, 0.031703472, 0.18425596, 0.3175916, 0.18270586]","[0.18632065, 0.0066704787, 0.0023938464, 0.0039489996, 0.0023825937, 0.0024206312]",4.776730716228485,1.0191320851445198,0.2041371972300112,0.79612184,0.16985534,0.034022864,4,1,1
7,André Trindade da Costa Neto,642,Wolverhampton Wanderers,15,2024-12-09T20:00:00Z,0,0,0,0,0,61,0.0,0.0,0.0,0.0,0.0,0.01011236,0.0,0.0,0.0,0.013907285,0.288924559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013001605,0.02,0.015789474,0.015789474,0.01192053,0.433386838,0.0,0.0,0.0,0.397350993,1.666666667,2.333333333,51.91666667,90,85.5,42.75,50.33333333,0.288924559,0.0,0,2.571428571,9.65,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,141,187,2,1.166666667,3,0.435670189,0.25673188,0.988360333,1.19200625,1.927959417,1.80932825,1.666666667,2.5,2.333333333,1.75,André,90,18,2155,2,[0.6301927],[0.33247954],[0.037327766],0.6301926970481873,0.3324795365333557,0.037327766418457,0.6301927,0.33247954,0.037327766,0,1,0
8,André Trindade da Costa Neto,642,Wolverhampton Wanderers,20,2025-01-06T20:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.006448311,0.0,0.0,0.0,0.0,0.184237462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014738997,0.013235294,0.015,0.018881119,0.01809872,0.552712385,1.323529412,0.5,0.629370629,0.329067642,1.705882353,2.0,57.47058824,68,90.0,71.5,60.77777778,0.184237462,0.0,1,2.496417605,9.8,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2,2,2,69,314,0,1.470588235,3,0.286220498,0.186354747,1.010351176,1.16873725,1.735233471,1.0197815,1.705882353,1.75,2.0,1.0,André,65,106,396397,4,"[0.7433382, 0.9194083, 0.54806006, 0.61750686, 0.6038479, 0.5712992, 0.8688538, 0.8066737, 0.6038479]","[0.22095154, 0.07724002, 0.44402844, 0.3704788, 0.38463467, 0.3265444, 0.1153626, 0.17382553, 0.38463467]","[0.035710264, 0.0033517068, 0.007911517, 0.012014294, 0.011517404, 0.10215643, 0.015783524, 0.019500682, 0.011517404]",6.282836019992828,2.4977006912231445,0.2194632261525839,0.6980929,0.2775223,0.024384804,1,6,2
9,Craig Dawson,542,Wolverhampton Wanderers,5,2024-09-21T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01722488,0.04,0.0,0.01722488,0.01722488,0.43062201,1.0,0.0,0.43062201,0.43062201,1.0,2.75,52.25,90,56.5,52.25,52.25,0.0,0.0,0,3.14354067,12.7,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2380,1060,1,1.25,2,0.06371754,0.147962071,1.35031425,1.35031425,1.6379425,1.6379425,1.0,1.0,2.75,2.75,Dawson,32,0,34340,0,[0.8759219],[0.118297175],[0.0057809437],0.875921905040741,0.1182971745729446,0.0057809436693787,0.8759219,0.118297175,0.0057809437,0,1,0
