,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Aït-Nouri,533,30,100,30024,7,[False],[0.9239963],[0.072296515],[0.0037071102],0.9239963293075562,0.07229651510715485,0.003707110183313489,0.9239963,0.072296515,0.0037071102,1,0,0
1,Munetsi,770,30,4,56091,1,[False],[0.6608134],[0.32969615],[0.009490517],0.6608133912086487,0.3296961486339569,0.00949051696807146,0.6608134,0.32969615,0.009490517,0,1,0
2,Strand Larsen,566,30,932,479176,12,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5658862, 0.7635498, 0.6992817, 0.9070983, 0.866857, 0.96948886, 0.942238, 0.93631136, 0.9419797, 0.6582177, 0.6153684, 0.9473377, 0.51968247, 0.50957805, 0.942238, 0.9275662, 0.80743426, 0.9182244, 0.9450875, 0.95550615]","[0.41341633, 0.22267194, 0.28460312, 0.07733057, 0.12578, 0.028106136, 0.033921465, 0.061351936, 0.051328402, 0.33222872, 0.27024004, 0.03781524, 0.46522325, 0.44910088, 0.033921465, 0.04884558, 0.17895453, 0.071439095, 0.044836722, 0.028894803]","[0.020697452, 0.013778207, 0.016115267, 0.015571153, 0.007363005, 0.0024049832, 0.023840541, 0.002336672, 0.0066919005, 0.009553554, 0.11439152, 0.014847096, 0.015094293, 0.041321047, 0.023840541, 0.023588194, 0.0136112245, 0.0103364885, 0.010075772, 0.015599033]",16.338931679725647,3.2600102201104164,0.4010579432360828,0.8169465,0.16300051,0.020052899,5,12,3
3,José Sá,554,30,0,275,0,[False],[0.51637906],[0.45955616],[0.024064787],0.5163790583610535,0.4595561623573303,0.024064786732196808,0.51637906,0.45955616,0.024064787,1,0,0
4,Bellegarde,535,30,11,57210,1,"[False, False, False, False]","[0.5052409, 0.55634373, 0.78316253, 0.84793687]","[0.45781383, 0.41947812, 0.1938524, 0.089969836]","[0.03694525, 0.024178103, 0.022985095, 0.06209329]",2.692684054374695,1.161114178597927,0.14620173908770084,0.67317104,0.29027855,0.036550436,1,1,2
5,Agbadou,720,30,500,10601,15,"[False, False]","[0.94360375, 0.70452255]","[0.049810324, 0.2915331]","[0.0065859267, 0.003944279]",1.6481263041496277,0.3413434363901615,0.01053020590916276,0.8240632,0.17067172,0.0052651027,2,0,0
6,André,642,30,4,1857,1,[False],[0.8867721],[0.107818924],[0.0054089394],0.886772096157074,0.10781892389059067,0.005408939439803362,0.8867721,0.107818924,0.0054089394,0,0,1
7,Aït-Nouri,533,29,16,1334,4,"[False, False, False, False, False]","[0.5436546, 0.85557383, 0.7009185, 0.89111507, 0.91689926]","[0.45132476, 0.13964409, 0.29333586, 0.059193857, 0.073165156]","[0.0050206943, 0.0047820956, 0.0057456046, 0.04969108, 0.009935568]",3.9081612825393677,1.0166637152433395,0.07517504366114736,0.78163224,0.20333274,0.015035008,0,5,0
8,Sarabia,565,29,4,7810,2,[False],[0.9058237],[0.048092876],[0.04608336],0.9058237075805664,0.04809287562966347,0.04608336091041565,0.9058237,0.048092876,0.04608336,0,1,0
9,Doherty,543,29,0,34316,1,[False],[0.85589284],[0.13942766],[0.0046795495],0.8558928370475769,0.13942766189575195,0.004679549485445023,0.85589284,0.13942766,0.0046795495,0,1,0
