Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Strand Larsen,"Tinkering with my #FPL team. 

I'm thinking about taking a -4 hit to go TAA to Ait-Nouri and Nkethia to Strand Larsen or Cunha.

I could transition from Salah to Palmer and Saka from that move in 2FTs https://t.co/8iGOXNYzfm",2024-10-21,2024-10-25,Wed Oct 23 10:25:15 +0000 2024,566,9,0,45,0,False
Strand Larsen,"🔥⚽️Best Budget Forwards Analysis (£6.5 and Below):

Detailed Stats Comparison &amp; Verdict👇

*THREAD*

🌳Chris Wood
🐺Matheus Cunha
🐺Strand Larsen
🐝Yoanne Wissa
⚪Raul Jimenez

🔄/♥️ Appreciated

#FPL https://t.co/lRh9GOhdFB",2024-10-21,2024-10-25,Thu Oct 24 04:37:43 +0000 2024,566,9,429,100712,8,False
Strand Larsen,"#GW9 plans 📲

Quite happy with this team. A few options:

- Semenyo to Buonanotte
- Robertson to Ait-Nouri?
- DCL to  Wissa? Strand Larsen?

Semenyo gets chances, Robbo is facing a depleted Arsenal and DCL.. hes shit but Ive come too far. Leaning towards rolling.

Thoughts? #fpl https://t.co/nEMn8R2WLs",2024-10-21,2024-10-25,Tue Oct 22 23:46:12 +0000 2024,566,9,3,185,0,False
Strand Larsen,"#FPL #GW8

🌍 - 631k⬆️
©️ - Haaland, lacked that killer instinct combined with Wolves playing 5 at the back. Still hear the Wolves chants “your just a shit Strand Larsen”😂🐺
🛟 - Saved by my differentials Larsen &amp; Vardy
🇪🇬 - Sell Salah, the template wankers said😂

#FPLCommunity https://t.co/eWoK5NYqwM",2024-10-21,2024-10-25,Tue Oct 22 14:53:17 +0000 2024,566,9,13,855,0,False
Strand Larsen,How does the #fpl bonus point system work?  How did Strand Larsen manage to get the 3 bonus points over Gvardiol?  #FPLCommunity #WOLMCI https://t.co/KYBiVXzI12,2024-10-21,2024-10-25,Mon Oct 21 06:40:56 +0000 2024,566,9,0,532,0,False
Strand Larsen,"Alright that’s my GW8 done

55pts ✅
Haaland captained..
Strand Larsen coming in for Saka 💯 
72k➡️25k itw 🌎📈 

Pretty good week considering how bad a week everyone else has had ✌️

#fpl #FPLCommunity https://t.co/AcR8DQbA1d",2024-10-21,2024-10-25,Mon Oct 21 21:04:23 +0000 2024,566,9,22,103,2,False
Strand Larsen,"🐺 WOLVES ASSETS

I did a much more detailed thread on Wolves assets a couple of weeks ago, and my opinion has not really changed after two more games.

My top 3 remain:

🥇 Matheus Cunha 
🥈 Rayan Aït-Nouri
🥉 Jørgen Strand Larsen

#FPL #FPLCommunity https://t.co/Rl3mwdDFvS",2024-10-21,2024-10-25,Tue Oct 22 07:24:29 +0000 2024,566,9,310,16732,31,False
Strand Larsen,"🤑Best Budget Forwards (&lt;£6.5m) #FPL

🐝1. Wissa
🔵2. DCL
⚪️3. Raul
🌳4. Wood
🐺5. Strand Larsen
🐎6. Delap",2024-10-21,2024-10-25,Thu Oct 24 19:15:05 +0000 2024,566,9,1,5,0,False
Strand Larsen,"#FPL BUY LIST
• Van Den Berg 4.0🐝
• Buonanotte 5.0🦊
• Maddison 7.6⚪️
• Strand Larsen 5.5🐺
• Selz 4.5🌳
• McNeil 5.7🍬",2024-10-21,2024-10-25,Tue Oct 22 01:49:43 +0000 2024,566,9,0,32,0,False
Strand Larsen,"My GW9 team:

• Will be using my 1FT to move McNeil ➡️ Mbuemo
• Leaves me with 0.5m itb 💼
• I think I’m going to roll next week, I have plans for GW11 👀

Faes v Forrest or Strand Larsen v Brighton??

#fpl #FPLCommunity https://t.co/AYnLHMgKiX",2024-10-21,2024-10-25,Tue Oct 22 11:11:05 +0000 2024,566,9,2,103,0,False
Strand Larsen,"GW8 summary
3rd green arrow in a row
Like emery and arteta not to use konsa and saka, so pleased for 18 points from archer and strand larsen
Wished i didn't change captain to haaland just before deadline
#fpl #fplcommunity https://t.co/Ox2VsqUFQA",2024-10-21,2024-10-25,Mon Oct 21 21:15:04 +0000 2024,566,9,16,2249,1,False
Strand Larsen,"@PlanetFPLPod 
Keep playing it your way! 
#WeAreWithYou

He's my GW9 bus team. Plan to get the Norwegian Beast (Strand Larsen) for GW10.

Can move Foden/JSL to Rogers/Watkins from GW12.

Currently on 493 pts/OR 734k.

Cheers and best of luck to my favorite #FPL Non-Expert.
#COYG https://t.co/C9t2LPjYFE",2024-10-21,2024-10-25,Tue Oct 22 15:32:18 +0000 2024,566,9,0,1,0,False
Strand Larsen,"🐺 Cunha 🆚 Strand Larsen 🐺 

Wolves have an incredible fixture run over the next 10 Gameweeks! 👀 

💥 Who is the best #FPL asset?! 

📝 @FPLCruyff74 - READ NOW 👇 
https://t.co/uPXHKLKoPd",2024-10-21,2024-10-25,Wed Oct 23 14:00:57 +0000 2024,566,9,32,357825,2,False
Strand Larsen,"🏆 Confirmed Bonus Points
FT: #WOL 1 - 2 #MCI
Strand Larsen - 3
Gvardiol - 2
Stones - 1
#FPL #FPLCommunity",2024-10-21,2024-10-25,Mon Oct 21 22:00:00 +0000 2024,566,9,0,3594,0,False
Strand Larsen,"🚌 Bus team for #GW9 #FPL deadline 6:30pm Friday… #FPLCommunity

3 FTs, £0.6 million in bank. Currently starting TAA over Gabriel👀

Saka to Son if Arteta news tomorrow, Saliba to Ait Nouri 10, roll 11, Solanke, Son, Mbeumo, Carvalho to Strand Larsen, Palmer, Damsgaard &amp; Saka 12 https://t.co/MfiZGwb4TG",2024-10-21,2024-10-25,Thu Oct 24 15:47:59 +0000 2024,566,9,14,2551,2,False
Strand Larsen,"Jordan Pickford, Raul Jiménez and Jørgen Strand Larsen, this week (again).

Always play your own game.

#FPL #FPLCommunity https://t.co/dbN8Ut1vQl",2024-10-21,2024-10-25,Mon Oct 21 15:55:30 +0000 2024,566,9,0,1117,0,False
Strand Larsen,"NEW VIDEO 📽️🚨 #FPL 

In this video, I discuss the Ait-Nouri, Strand Larsen and Cunha, triple captain Haaland, the best cheap forwards, and which premium midfielders to own.

Watch here 👉🏼 https://t.co/gCpZqLNOXg https://t.co/Z77pzUyzZk",2024-10-21,2024-10-25,Wed Oct 23 09:24:40 +0000 2024,566,9,30,185294,2,False
Strand Larsen,"Initial thoughts ahead of GW9, 0.9m ITB, 2FT #FPL #FPLCommunity

Thinking maybe Madueke for ESR &amp; Strand Larsen (good run of fixtures upcoming) for Vardy 🤔 https://t.co/JxboAmj1pP",2024-10-21,2024-10-25,Tue Oct 22 17:34:10 +0000 2024,566,9,1,330,0,False
Cunha,"Trent -&gt; Konate
Evanilson -&gt; Cunha

2 FTs used.

#FPL https://t.co/RWQIRG5t4B",2024-10-21,2024-10-25,Tue Oct 22 12:55:11 +0000 2024,541,9,1,659,0,False
Cunha,I am so ready. Foden and Cunha in for Saka and Evanlinson #FPL https://t.co/s0fpXvEE3f,2024-10-21,2024-10-25,Wed Oct 23 21:45:05 +0000 2024,541,9,0,124,0,False
Cunha,"Just doing some #FPL planning! Cooked up something like this…..

GW9 = Solanke to Wissa
               Saka to Son

GW11 = Wood to cunha 

GW12 = Son to saka 

GW14 = Wissa to welback

OBVIOUSLY this will 100% change but nice to have a plan…. and fillers transfers there too",2024-10-21,2024-10-25,Thu Oct 24 22:42:32 +0000 2024,541,9,15,1528,3,False
Cunha,"Tinkering with my #FPL team. 

I'm thinking about taking a -4 hit to go TAA to Ait-Nouri and Nkethia to Strand Larsen or Cunha.

I could transition from Salah to Palmer and Saka from that move in 2FTs https://t.co/8iGOXNYzfm",2024-10-21,2024-10-25,Wed Oct 23 10:25:15 +0000 2024,541,9,0,45,0,False
Cunha,"✅ | Wolves fixtures from #GW10 to #GW18 🎲👀 

⭐ | Best players on the team 👇

Larsen : 8/9 Start | 3 ⚽ | 1 🅰️

Cunha : 7/9 Start | 3 ⚽ | 0 🅰️

Aït-Nouri : 8/9 Start | 2 ⚽ | 2 🅰️ 

J Mario : 8/9 Start | 1 ⚽ | 1 🅰️

Hee Chan : injured [ Back in 9 Nov ]

#FPL #FPLCommunity https://t.co/Hr1J8dIBus",2024-10-21,2024-10-25,Tue Oct 22 11:06:48 +0000 2024,541,9,17,2310,2,False
Cunha,"🚍:GW9️⃣
🔄:3️⃣🆓️
↔️:Havertz ↪️ Raul
🏧:2️⃣.6️⃣Ⓜ️

✍️: 2️⃣🆓️🔄 remain, potential moves...
Saka ↔️ Son / Salah &amp; 🎲
OR
Eze &amp; Robbo ↔️ Son &amp; Dalot
OR
Saka &amp; Stewart ↔️ Son &amp; Cunha

If Saka fit...i probs hold him!

#FPL #FPLCommunity https://t.co/pvC8zeBk0F",2024-10-21,2024-10-25,Tue Oct 22 12:44:43 +0000 2024,541,9,4,1955,0,False
Cunha,"✨Matheus Cunha: Your secret weapon for upcoming fixtures?✨

Small thread🧵

#FPL #FPLCommunity https://t.co/KcOb4VaafO",2024-10-21,2024-10-25,Tue Oct 22 12:19:36 +0000 2024,541,9,0,2475,1,False
Cunha,"GW9 TEAM LOCKED ✅🔐

Havertz &gt; Cunha
Mavididi &gt; Johnson

(C) Haaland, was close to triple captain but I’m saving it for Palmer I think. 

Retaining Saka, I want him for GW12 onwards anyways, same with Gabriel, don’t mind either against Newcastle either. 

Good luck all 🤝
#FPL https://t.co/XULLCA2zLo",2024-10-21,2024-10-25,Thu Oct 24 21:33:06 +0000 2024,541,9,0,141,0,False
Cunha,"Cunha or Wood for GW9?
#FPL",2024-10-21,2024-10-25,Wed Oct 23 17:07:39 +0000 2024,541,9,0,251,1,False
Cunha,"🔥⚽️Best Budget Forwards Analysis (£6.5 and Below):

Detailed Stats Comparison &amp; Verdict👇

*THREAD*

🌳Chris Wood
🐺Matheus Cunha
🐺Strand Larsen
🐝Yoanne Wissa
⚪Raul Jimenez

🔄/♥️ Appreciated

#FPL https://t.co/lRh9GOhdFB",2024-10-21,2024-10-25,Thu Oct 24 04:37:43 +0000 2024,541,9,429,100710,8,False
Cunha,"If nothing drastic changes between now and tomorrow I think Vardy ➡️ Cunha will be the only move I make before the GW9 deadline 

What moves is everyone making? 

#FPL",2024-10-21,2024-10-25,Thu Oct 24 15:45:04 +0000 2024,541,9,3,513,1,False
Cunha,"GW9 TEAM SELECTION 💫 

2 FTs and Havertz to Cunha 🔒

Do I Triple Captain Haaland and what should I do with the other Transfer?:

1. Dibling to Garnacho 👹 

2. Pau to Ait-Nouri 🐺 

3. Roll 🔁

#FPL #FPLCommunity #GW9 https://t.co/DzfP6njBWy",2024-10-21,2024-10-25,Thu Oct 24 15:40:57 +0000 2024,541,9,17,1652,3,False
