,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,influence,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_5,team_xG_conceded,team_xG_conceded_prev_5,team_goals_scored,team_goals_scored_prev_5,team_goals_conceded,team_goals_conceded_prev_5,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Craig Dawson,551,Wolverhampton Wanderers,2,2023-08-19T14:00:00Z,0,0,0,0,0,70,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,90.0,90,90.0,90.0,90.0,0.0,0.0,1,5.7,27.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4419,1421,-1,2.0,2,0.341898868,0.166132949,1.72228,1.72228,1.97087,1.97087,0.0,0.0,1.0,1.0,Dawson,91,15,17054,8,"[0.91537905, 0.6305998, 0.91424966]","[0.063642696, 0.3515677, 0.04494045]","[0.020978237, 0.017832553, 0.040809855]",2.4602285027503967,0.4601508304476738,0.0796206444501876,0.82007617,0.1533836,0.026540214,0,3,0
1,Craig Dawson,551,Wolverhampton Wanderers,11,2023-11-04T15:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.069545455,0.0,0.15,0.075,0.069545455,0.818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018409091,0.0,0.04,0.02,0.018409091,0.409090909,0.0,1.0,0.5,0.409090909,1.3,1.7,88.0,90,90.0,90.0,88.0,0.306818182,0.0,0,4.193181818,23.76,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,13407,1946,0,1.6,2,0.367885528,0.287355359,1.3857935,1.37595725,2.055697,1.5140825,1.3,1.5,1.7,1.0,Dawson,203,37,38264,20,"[0.90184474, 0.90690213, 0.8442934, 0.8864794, 0.8662418, 0.9191902, 0.9307651, 0.788921, 0.9156421]","[0.0857659, 0.07508125, 0.13489288, 0.06459708, 0.11227577, 0.041163296, 0.061906684, 0.18646473, 0.061064925]","[0.012389326, 0.01801664, 0.020813743, 0.048923507, 0.021482475, 0.039646428, 0.0073281345, 0.02461428, 0.023293044]",7.960279881954193,0.8232125118374825,0.2165075778029859,0.8844755,0.09146805,0.024056397,0,8,1
2,Craig Dawson,551,Wolverhampton Wanderers,12,2023-11-11T12:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.063092784,0.0,0.15,0.075,0.070632911,0.742268041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031546392,0.16,0.035,0.02,0.011392405,0.371134021,0.0,0.5,0.5,0.341772152,1.272727273,1.727272727,88.18181818,90,90.0,90.0,87.77777778,0.371134021,0.0,1,4.036082474,23.56363636,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,2238,5059,1,1.454545455,2,0.731632839,0.193578797,1.364178636,1.4010595,1.968965455,1.5337975,1.272727273,1.75,1.727272727,1.25,Dawson,197,127,108485,8,"[0.9426655, 0.7350014, 0.9028779]","[0.052101307, 0.25966683, 0.082322195]","[0.005233221, 0.005331786, 0.01479986]",2.5805448293685918,0.3940903320908546,0.0253648674115538,0.8601816,0.13136345,0.008454956,2,1,0
3,Craig Dawson,551,Wolverhampton Wanderers,13,2023-11-27T20:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.057735849,0.0,0.0,0.075,0.061111111,0.679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028867925,0.0,0.08,0.06,0.028888889,0.339622642,0.0,0.0,0.5,0.333333333,1.333333333,1.666666667,88.33333333,90,90.0,90.0,90.0,0.424528302,0.0,0,3.778301887,22.41666667,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,415,8087,0,1.416666667,2,0.236263632,0.187530131,1.409567083,1.51957075,1.84091125,1.5640225,1.333333333,1.5,1.666666667,1.5,Dawson,191,202,584372,8,"[0.7368537, 0.6513353, 0.86439055, 0.86318314, 0.74030095, 0.6999311, 0.5264441, 0.42257094, 0.7008607, 0.9019247, 0.7274492, 0.723829]","[0.24865851, 0.33951414, 0.12824559, 0.13414629, 0.245248, 0.29254696, 0.46393955, 0.34070992, 0.2851652, 0.08512606, 0.26497942, 0.26950845]","[0.014487808, 0.0091505805, 0.0073637413, 0.0026705593, 0.014451076, 0.0075219222, 0.009616363, 0.23671912, 0.013974093, 0.012949277, 0.0075714164, 0.0066625737]",8.559073328971863,3.097788080573082,0.3431385264266282,0.7132561,0.258149,0.02859488,3,6,3
4,Craig Dawson,551,Wolverhampton Wanderers,16,2023-12-09T15:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.049354839,0.0,0.0,0.0,0.0375,0.580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024677419,0.0,0.0,0.053333333,0.03,0.290322581,0.0,0.0,0.0,0.25,1.333333333,1.666666667,82.66666667,90,45.0,67.5,80.0,0.362903226,0.0,1,3.505645161,20.13333333,2,2,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,19577,2725,2,1.733333333,2,0.307928398,0.286387623,1.379418333,1.42862,1.911115133,1.83205375,1.333333333,1.5,1.666666667,2.0,Dawson,172,3,4610,1,"[0.6748298, 0.5931067]","[0.30123436, 0.40215322]","[0.02393584, 0.0047400794]",1.2679364681243896,0.703387588262558,0.0286759189330041,0.63396823,0.3516938,0.01433796,1,0,1
5,Craig Dawson,551,Wolverhampton Wanderers,17,2023-12-17T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.05481203,0.13,0.0,0.0,0.0375,0.609022556,1.0,0.5,0.333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.025037594,0.03,0.0,0.0,0.03,0.338345865,1.0,0.0,0.0,0.25,1.3125,1.625,83.125,90,90.0,67.5,80.0,0.338345865,0.0,0,3.559398496,20.4125,2,0,2,2,2,0.0,0,0.0,0.0,0.0,0,0,1,1,1,1642,6268,1,1.75,2,0.194445757,0.338304874,1.357079063,1.4213275,1.867796063,1.75202675,1.3125,1.5,1.625,1.5,Dawson,165,2,610,1,"[0.8853189, 0.82136166]","[0.07180216, 0.13638352]","[0.04287893, 0.042254798]",1.7066805362701416,0.2081856802105903,0.0851337276399135,0.85334027,0.10409284,0.042566866,0,2,0
6,Craig Dawson,551,Wolverhampton Wanderers,18,2023-12-24T13:00:00Z,0,0,1,0,1,69,0.0,0.0,0.0,0.0,0.0,0.055774648,0.07,0.065,0.043333333,0.05375,0.633802817,1.0,0.5,0.333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.023450704,0.0,0.015,0.01,0.03375,0.316901408,0.0,0.5,0.333333333,0.375,1.235294118,1.705882353,83.52941176,90,90.0,67.5,80.0,0.316901408,0.0,1,3.485915493,20.25882353,2,0,2,2,2,0.0,0,0.0,0.0,0.0,0,0,1,1,1,774,4569,7,1.705882353,2,0.386928885,0.222774795,1.309968882,1.199615,1.819001,1.9484505,1.235294118,1.25,1.705882353,1.5,Dawson,159,153,421765,19,"[0.49991965, 0.6909875, 0.93355286, 0.5077113, 0.6090266, 0.70738727]","[0.4938016, 0.30714765, 0.051230997, 0.4869336, 0.37335277, 0.2845294]","[0.0062787146, 0.0018648222, 0.015216167, 0.0053550946, 0.01762067, 0.008083379]",3.9485852122306815,1.996995985507965,0.0544188470812514,0.65809757,0.33283266,0.009069808,1,4,1
7,Craig Dawson,551,Wolverhampton Wanderers,19,2023-12-27T19:30:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.056816655,0.07826087,0.1,0.05,0.0625,0.664875756,1.304347826,0.5,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.022364003,0.0,0.015,0.0075,0.0325,0.302216253,0.0,0.5,0.25,0.25,1.277777778,1.666666667,82.72222222,69,90.0,90.0,80.0,0.302216253,0.0,0,3.487575554,20.02222222,3,1,0,2,2,0.0,0,0.0,0.0,0.0,0,1,0,1,1,820,3774,0,2.0,2,0.28143156,0.185338573,1.334207278,0.943979,1.815415944,1.585378,1.277777778,0.75,1.666666667,1.5,Dawson,150,11,3429,2,"[0.79324836, 0.8693519, 0.97345]","[0.19373089, 0.1098925, 0.023407156]","[0.013020735, 0.02075556, 0.003142852]",2.636050283908844,0.32703054882586,0.0369191465433687,0.8786834,0.10901018,0.012306382,2,1,0
8,Craig Dawson,551,Wolverhampton Wanderers,21,2024-01-22T19:45:00Z,0,0,1,0,0,90,0.0569981,1.0,0.0,0.0,0.0,0.072957568,0.34,0.07826087,0.093975904,0.038423645,0.683977201,1.0,1.304347826,0.361445783,0.147783251,0.0,0.0,0.0,0.0,0.0,0.021089297,0.0,0.0,0.010843373,0.028078818,0.2849905,0.0,0.0,0.361445783,0.147783251,1.5,1.55,78.95,90,34.5,62.25,67.66666667,0.2849905,0.0,0,3.727675744,21.04,5,2,1,1,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,63142,19829,5,2.5,2,0.312076667,0.267186766,1.42776655,1.3048215,1.7895299,1.6510575,1.5,1.75,1.55,1.5,Dawson,141,196,101952,70,"[0.89484996, 0.5394339, 0.5049402, 0.94261193, 0.5694877, 0.6385535, 0.9050919, 0.6860201, 0.93126255, 0.8525411, 0.9283227, 0.8660569, 0.7246859, 0.6238676, 0.62454474, 0.93461365, 0.9832212, 0.95527476, 0.986089]","[0.07627522, 0.44971398, 0.47947362, 0.044091802, 0.4044642, 0.3204109, 0.08499379, 0.24505429, 0.062078483, 0.14549185, 0.05857435, 0.07722769, 0.2565213, 0.35590154, 0.36892676, 0.041017964, 0.014177483, 0.028141933, 0.010470059]","[0.028874895, 0.010852138, 0.01558616, 0.013296343, 0.026048103, 0.041035593, 0.0099143395, 0.06892565, 0.006658969, 0.0019670175, 0.013102908, 0.056715336, 0.01879279, 0.020230921, 0.006528509, 0.024368403, 0.0026013094, 0.016583327, 0.0034409678]",15.091469168663023,3.523007219657302,0.385523677105084,0.79428786,0.18542144,0.020290717,3,13,3
9,Craig Dawson,551,Wolverhampton Wanderers,22,2024-02-01T20:15:00Z,0,1,0,0,0,90,0.053924506,0.0,1.0,0.361445783,0.147783251,0.073337328,0.08,0.34,0.169879518,0.088669951,0.701018574,1.0,1.0,0.361445783,0.147783251,0.0,0.0,0.0,0.0,0.0,0.019952067,0.0,0.0,0.0,0.004433498,0.269622528,0.0,0.0,0.0,0.147783251,1.428571429,1.476190476,79.47619048,90,45.0,62.25,67.66666667,0.323547034,0.0,1,3.634511684,20.77142857,5,0,2,3,5,0.0,0,0.0,0.0,0.0,0,1,1,2,3,11691,7537,2,2.619047619,2,0.264690223,0.161867722,1.414118619,1.7105165,1.769557048,1.47646525,1.428571429,2.25,1.476190476,1.25,Dawson,132,1029,6379004,64,"[0.7893178, 0.85736865, 0.6715316, 0.86166024, 0.9245406, 0.9287333, 0.9427353]","[0.20620552, 0.1354266, 0.32283336, 0.08528259, 0.06307359, 0.05603559, 0.05206079]","[0.0044767326, 0.007204814, 0.005634971, 0.053057175, 0.012385796, 0.015231152, 0.0052038413]",5.975887477397919,0.9209180288016796,0.1031944816932082,0.8536982,0.13155971,0.014742069,2,5,0
