,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,0,Aït-Nouri,545,9,3,8616,0,"[False, False, False]","[0.52379894, 0.8340701, 0.8822452]","[0.46638364, 0.1396014, 0.09366125]","[0.00981742, 0.026328571, 0.024093531]",2.240114212036133,0.6996462792158127,0.0602395217865705,0.74670476,0.23321544,0.020079842,0,2,1
1,1,Neto,567,9,5928,13116924,200,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.51023746, 0.86046684, 0.85449934, 0.8223113, 0.78062916, 0.63228536, 0.90806127, 0.94285166, 0.84924805, 0.90609366, 0.87096834, 0.7066596, 0.9283037, 0.96857387, 0.7397083, 0.8708104, 0.88671786, 0.91019726, 0.9159221]","[0.48401588, 0.13557252, 0.13442245, 0.1527026, 0.21419102, 0.22788519, 0.068941124, 0.037194066, 0.13537388, 0.057465527, 0.12326803, 0.28765726, 0.051472288, 0.028891137, 0.25463247, 0.11926152, 0.09498733, 0.08252414, 0.060047645]","[0.0057466836, 0.0039606337, 0.011078218, 0.024986101, 0.0051798373, 0.13982946, 0.022997646, 0.01995427, 0.015378115, 0.03644085, 0.0057635824, 0.00568308, 0.020223953, 0.0025349688, 0.005659229, 0.00992807, 0.018294828, 0.007278717, 0.024030296]",15.86454552412033,2.750506082549691,0.384948534425348,0.8349761,0.14476348,0.020260448,7,12,0
2,2,Semedo,572,9,3,8894,1,"[False, False, False, False]","[0.8350035, 0.7598069, 0.79943806, 0.60864323]","[0.15953693, 0.22961554, 0.18398394, 0.3821662]","[0.005459541, 0.010577674, 0.01657799, 0.009190587]",3.0028916597366333,0.9553026109933852,0.0418057930655777,0.75072294,0.23882565,0.010451449,0,2,2
3,3,Lemina,565,9,0,35902,0,"[False, False]","[0.7115177, 0.94403815]","[0.276239, 0.04056571]","[0.012243249, 0.015396098]",1.6555558443069458,0.3168047182261944,0.02763934712857,0.8277779,0.15840235,0.013819674,0,2,0
4,4,Gomes,559,9,121,561623,1,"[False, False, False, False, False, False]","[0.5801139, 0.8201026, 0.68575037, 0.563305, 0.8593037, 0.9416762]","[0.41228244, 0.16647586, 0.3080831, 0.42657185, 0.08049118, 0.03515146]","[0.0076037394, 0.013421505, 0.0061665494, 0.0101231225, 0.06020511, 0.023172325]",4.450251758098602,1.4290558695793152,0.1206923499703407,0.7417087,0.23817599,0.020115392,0,4,2
5,5,Hee Chan,557,9,8,132680,7,"[False, False, False, False, False]","[0.8396115, 0.66860664, 0.92170036, 0.6105753, 0.9256225]","[0.11457195, 0.32664597, 0.0682354, 0.3874159, 0.06304736]","[0.045816537, 0.004747411, 0.010064243, 0.0020087713, 0.0113300765]",3.9661163091659546,0.9599165618419648,0.0739670388866216,0.7932232,0.19198331,0.014793408,1,4,0
6,6,Neto,567,8,6986,19746339,242,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.95286596, 0.87001824, 0.8758678, 0.5244601, 0.8981928, 0.90124196, 0.88419366, 0.53665906, 0.9626281, 0.7617065, 0.94614387, 0.96285, 0.8740584, 0.89315003, 0.9261371, 0.9400744, 0.6105482, 0.47246572, 0.95295095]","[0.027464608, 0.12059998, 0.09647055, 0.4691814, 0.09820289, 0.089490026, 0.0803311, 0.4431877, 0.035124246, 0.2257556, 0.032512315, 0.019020513, 0.10296887, 0.081511356, 0.042028338, 0.038255557, 0.3583513, 0.31508988, 0.025310284]","[0.019669466, 0.009381799, 0.02766169, 0.0063585676, 0.0036043446, 0.009267961, 0.035475183, 0.020153275, 0.002247594, 0.012537906, 0.021343874, 0.018129507, 0.0229727, 0.025338564, 0.03183455, 0.021670004, 0.03110053, 0.21244448, 0.021738749]",15.74621281027794,2.700856510549784,0.5529307483229786,0.828748,0.14215036,0.029101623,3,14,2
7,7,Neto,567,7,3498,13277791,107,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.91189, 0.918888, 0.7913899, 0.89213794, 0.92298293, 0.9595507, 0.9448644, 0.7409864, 0.55173904, 0.934328, 0.42085162, 0.90374315, 0.918888, 0.6807195, 0.9338042, 0.8027985, 0.7586797, 0.4930589, 0.9428263]","[0.074473605, 0.069282554, 0.19911633, 0.08381065, 0.046436317, 0.038760517, 0.035795197, 0.2527225, 0.4289558, 0.06323882, 0.38575578, 0.08082252, 0.069282554, 0.31392303, 0.052684933, 0.16608903, 0.22018395, 0.3292511, 0.045231126]","[0.013636429, 0.011829557, 0.00949369, 0.024051398, 0.030580794, 0.001688838, 0.01934033, 0.0062910574, 0.019305164, 0.0024331654, 0.1933926, 0.015434385, 0.011829557, 0.00535744, 0.013510806, 0.031112427, 0.021136362, 0.17769007, 0.011942658]",15.424127042293549,2.955816324800253,0.6200567367486656,0.8117961,0.15556927,0.032634567,6,11,2
8,8,Kilman,563,7,3,9458,7,[False],[0.81420124],[0.16028509],[0.025513642],0.8142012357711792,0.160285085439682,0.0255136415362358,0.81420124,0.16028509,0.025513642,0,0,1
9,9,Doherty,598,7,4,15000,0,[False],[0.92139876],[0.05841798],[0.020183187],0.9213987588882446,0.0584179796278476,0.0201831869781017,0.92139876,0.05841798,0.020183187,0,1,0
