,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,ict_prev,ict_prev_3,ict_prev_5,ict_prev_10,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_scored_prev_10,team_xG_conceded,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,team_goals_scored,team_goals_scored_prev_3,team_goals_scored_prev_5,team_goals_scored_prev_10,team_goals_conceded,team_goals_conceded_prev_3,team_goals_conceded_prev_5,team_goals_conceded_prev_10,prev_opp_goals_scored,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_10_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_5_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,avg_opp_xG_conceded,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_assists,prev_season_xA,prev_season_key_passes,prev_season_yellow,prev_season_red,prev_season_mins,prev_season_clean_sheets,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,André Trindade da Costa Neto,642,Wolverhampton Wanderers,4,2024-09-15T15:30:00Z,0,0,0,0,0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,577,92,1,1.0,3,0.4545884526965341,0.2599408225446306,0.937632,0.937632,0.937632,0.937632,1.41069,1.41069,1.41069,1.41069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.58694,1.3044330000000002,1.3044330000000002,1.3044330000000002,1.63304,2.041,2.041,2.041,1.3333333333333333,0.6666666666666666,1.3044330000000002,2.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,48,102,42300,21,"[0.51468617, 0.81409633, 0.7260194, 0.7844911, 0.93005717]","[0.42123204, 0.12731968, 0.2660145, 0.15403903, 0.06730533]","[0.06408183, 0.058583997, 0.007966158, 0.061469886, 0.0026375449]",3.769350171089173,1.0359105616807938,0.1947394192684441,0.75387,0.20718212,0.038947884,1,3,1
1,André Trindade da Costa Neto,642,Wolverhampton Wanderers,5,2024-09-21T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01125,0.0118421052631578,0.01125,0.01125,0.01125,1.125,1.1842105263157894,1.125,1.125,1.125,1.0,1.5,40.0,76.0,40.0,40.0,40.0,1.125,0.0,0.0,2.7,2.605263157894737,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,471,137,2,1.0,3,0.1791004564686925,0.2182659321429396,1.203661,1.203661,1.203661,1.203661,1.44706,1.44706,1.44706,1.44706,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,3.0,1.6666666666666667,1.75,1.75,2.0,1.6666666666666667,1.5,1.5,3.15876,2.213083333333333,2.3273875000000004,2.3273875000000004,0.852158,1.0136296666666669,1.46139725,1.46139725,1.75,1.5,2.3273875000000004,1.46139725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,33,0,34340,0,[0.91485196],[0.077760786],[0.007387248],0.91485196352005,0.0777607858180999,0.0073872478678822,0.91485196,0.077760786,0.007387248,0,1,0
2,André Trindade da Costa Neto,642,Wolverhampton Wanderers,6,2024-09-28T16:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0317647058823529,0.0599999999999999,0.0317647058823529,0.0317647058823529,0.0317647058823529,0.5294117647058824,1.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0105882352941176,0.01,0.0105882352941176,0.0105882352941176,0.0105882352941176,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,2.0,56.66666666666666,90.0,56.66666666666666,56.66666666666666,56.66666666666666,0.5294117647058824,0.0,1.0,2.541176470588236,2.4,2.541176470588236,2.541176470588236,2.541176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,331,230,1,1.3333333333333333,3,0.7087447947650208,0.1723973825104105,0.975813,0.975813,0.975813,0.975813,1.7558766666666668,1.7558766666666668,1.7558766666666668,1.7558766666666668,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.3333333333333333,0.2,0.2,2.43731,1.9039066666666664,2.4719100000000003,2.4719100000000003,1.46979,1.1867306666666666,0.8720063999999998,0.8720063999999998,2.0,0.2,2.4719100000000003,0.8720063999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,24,5,417,1,"[0.8583766, 0.52444714, 0.93957436]","[0.11936208, 0.26366618, 0.055723466]","[0.02226133, 0.21188664, 0.0047022705]",2.322398126125336,0.4387517273426056,0.2388502457179129,0.7741327,0.14625058,0.07961675,1,2,0
3,André Trindade da Costa Neto,642,Wolverhampton Wanderers,7,2024-10-05T14:00:00Z,0,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0207692307692307,0.0,0.0325301204819277,0.0207692307692307,0.0207692307692307,0.3461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103846153846153,0.01,0.0108433734939759,0.0103846153846153,0.0103846153846153,0.3461538461538461,0.0,0.5421686746987951,0.3461538461538461,0.3461538461538461,1.0,2.0,65.0,90.0,83.0,65.0,65.0,0.6923076923076923,0.0,0.0,1.903846153846154,0.7,2.4939759036144573,1.903846153846154,1.903846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,444,211,1,1.25,3,0.2767335862673559,0.2638092154801442,0.919091,0.9949035,0.919091,0.919091,1.8462175,1.92847,1.8462175,1.8462175,1.0,1.0,1.0,1.0,2.0,2.5,2.0,2.0,1.0,1.0,1.2,1.3333333333333333,1.0,2.0,1.8,1.6666666666666667,0.370222,0.7715756666666667,1.3269552,1.335902666666667,0.878617,2.108739,2.1384234,1.9732811666666663,1.3333333333333333,1.6666666666666667,1.335902666666667,1.9732811666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,18,10,8457,0,[0.9312826],[0.06369634],[0.005021133],0.9312825798988342,0.063696339726448,0.0050211329944431,0.9312826,0.06369634,0.005021133,0,0,1
4,André Trindade da Costa Neto,642,Wolverhampton Wanderers,8,2024-10-20T13:00:00Z,0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0199367088607594,0.0160714285714285,0.0299999999999999,0.0199367088607594,0.0199367088607594,0.569620253164557,1.6071428571428572,0.5,0.2848101265822785,0.2848101265822785,0.0,0.0,0.0,0.0,0.0,0.0113924050632911,0.0160714285714285,0.01,0.0113924050632911,0.0113924050632911,0.8544303797468354,3.2142857142857144,0.0,0.8544303797468354,0.8544303797468354,1.4,2.6,63.2,56.0,90.0,63.2,63.2,0.569620253164557,0.0,1.0,2.7056962025316458,6.428571428571429,1.5499999999999996,2.7056962025316458,2.7056962025316458,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,211,276,1,1.2,3,0.7291530690876322,0.163280430855521,0.8745235999999998,0.634521,0.8745235999999998,0.8745235999999998,2.304,2.245375,2.304,2.304,1.4,1.0,1.4,1.4,2.6,2.5,2.6,2.6,3.0,2.0,2.2,2.4285714285714284,2.0,1.6666666666666667,1.4,1.1428571428571428,1.36684,1.79596,2.026728,2.056028571428571,2.75846,1.7953366666666668,1.4768301999999998,1.2750542857142857,2.4285714285714284,1.1428571428571428,2.056028571428571,1.2750542857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,10,4854,6414982,92,"[0.8464969, 0.94996244, 0.8464969, 0.7365096, 0.90146106, 0.4330719, 0.8464969, 0.8464969, 0.95059216, 0.8464969]","[0.15172088, 0.046167467, 0.15172088, 0.14520597, 0.09571131, 0.33361846, 0.15172088, 0.15172088, 0.04610153, 0.15172088]","[0.0017822346, 0.0038701508, 0.0017822346, 0.11828445, 0.002827649, 0.23330969, 0.0017822346, 0.0017822346, 0.0033063537, 0.0017822346]",8.204081594944,1.4254091531038284,0.3705094618489966,0.82040817,0.14254092,0.037050948,9,1,0
5,André Trindade da Costa Neto,642,Wolverhampton Wanderers,13,2024-11-30T15:00:00Z,0,0,0,0,0,81,0.0,0.0,0.0,0.0,0.0,0.0139380530973451,0.0,0.0,0.0,0.0139380530973451,0.3982300884955752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099557522123893,0.01,0.0,0.0,0.0099557522123893,0.5973451327433629,0.0,0.0,0.0,0.5973451327433629,1.8,2.0,45.2,90.0,0.0,11.5,45.2,0.3982300884955752,0.0,1.0,2.508849557522124,1.7,0.0,2.7391304347826084,2.508849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,263,186,2,1.0,3,0.3930465847052761,0.2656602954794664,1.0146566,1.2814805,1.1087295,1.0146566,1.8557463000000003,1.7205724999999998,1.5800762499999998,1.8557463000000003,1.8,2.0,1.75,1.8,2.0,1.0,1.5,2.0,1.0,1.6666666666666667,1.6,1.4,2.0,2.0,1.4,1.5,1.91157,2.284403333333333,1.8732102,1.8721811,1.23059,1.71601,1.5725576,1.5397245,1.3333333333333333,1.4166666666666667,1.9305075833333327,1.54451375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,103,75,17838,9,"[0.6689977, 0.8236188, 0.8844658]","[0.32563323, 0.15277138, 0.059119705]","[0.005369031, 0.023609752, 0.056414433]",2.377082347869873,0.5375243164598942,0.0853932155296206,0.7923608,0.17917478,0.028464407,1,2,0
6,André Trindade da Costa Neto,642,Wolverhampton Wanderers,14,2024-12-04T19:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0118198874296435,0.0,0.0,0.0,0.0140624999999999,0.3377110694183864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118198874296435,0.0222222222222222,0.01,0.0098901098901098,0.0100446428571428,0.5065666041275797,0.0,0.0,0.0,0.6026785714285714,1.818181818181818,2.1818181818181817,48.45454545454545,81.0,45.0,22.75,49.77777777777778,0.3377110694183864,0.0,0.0,2.5328330206378986,2.6666666666666665,1.7,1.6813186813186811,2.4910714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,176,200,2,1.0909090909090908,3,0.2736249279389809,0.2775790453947466,1.0011454545454546,1.1259055,1.25318275,1.0232148888888888,1.9669520909090912,0.7549064999999999,1.41794325,1.905197,1.818181818181818,3.0,2.5,1.8888888888888888,2.1818181818181817,0.5,1.25,2.111111111111111,0.0,0.0,0.2,0.8,4.0,1.3333333333333333,1.2,1.1,0.766749,1.075944,1.1796974,1.1984259,1.76161,1.4094833333333332,1.252821,1.4848855,0.7692307692307693,1.6153846153846154,1.1995956153846152,1.7083073076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,96,4784,6378322,100,"[0.57793355, 0.9262001, 0.9659027, 0.81179506, 0.6800258, 0.8148735]","[0.2357458, 0.06712938, 0.031703472, 0.18425596, 0.3175916, 0.18270586]","[0.18632065, 0.0066704787, 0.0023938464, 0.0039489996, 0.0023825937, 0.0024206312]",4.776730716228485,1.0191320851445198,0.2041371972300112,0.79612184,0.16985534,0.034022864,4,1,1
7,André Trindade da Costa Neto,642,Wolverhampton Wanderers,15,2024-12-09T20:00:00Z,0,0,0,0,0,61,0.0,0.0,0.0,0.0,0.0,0.0101123595505617,0.0,0.0,0.0,0.0139072847682119,0.2889245585874799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130016051364366,0.02,0.0157894736842105,0.0157894736842105,0.0119205298013245,0.4333868378812199,0.0,0.0,0.0,0.3973509933774834,1.6666666666666667,2.333333333333333,51.91666666666666,90.0,85.5,42.75,50.333333333333336,0.2889245585874799,0.0,0.0,2.571428571428572,2.8,2.157894736842105,2.157894736842105,2.5033112582781456,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,141,187,2,1.1666666666666667,3,0.2509804055414671,0.2483728169124649,0.9883603333333332,1.102532,1.19200625,0.956142,1.927959416666667,1.898084,1.80932825,2.0824836666666666,1.6666666666666667,3.0,2.5,2.0,2.333333333333333,2.5,1.75,2.333333333333333,1.0,1.6666666666666667,1.0,1.3,3.0,2.6666666666666665,2.2,2.1,2.87716,1.6851246666666668,1.2622782,1.6194218,2.78061,2.759256666666667,2.2987726,1.9512485,1.2857142857142858,1.9285714285714288,1.5830748571428577,2.116990357142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,90,18,2155,2,[0.6301927],[0.33247954],[0.037327766],0.6301926970481873,0.3324795365333557,0.037327766418457,0.6301927,0.33247954,0.037327766,0,1,0
8,André Trindade da Costa Neto,642,Wolverhampton Wanderers,20,2025-01-06T20:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064483111566018,0.0,0.0,0.0,0.0,0.1842374616171955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147389969293756,0.013235294117647,0.0149999999999999,0.0188811188811188,0.0180987202925045,0.5527123848515865,1.3235294117647058,0.5,0.6293706293706294,0.3290676416819013,1.7058823529411764,2.0,57.47058823529412,68.0,90.0,71.5,60.77777777777778,0.1842374616171955,0.0,1.0,2.496417604912999,1.9852941176470589,2.7,2.4545454545454546,2.4186471663619744,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,2,2,2,69,314,0,1.4705882352941178,3,0.4086294416243655,0.2956852791878173,1.0103511764705884,0.9808995,1.16873725,1.143410888888889,1.7352334705882353,0.573778,1.0197815,1.423942111111111,1.7058823529411764,2.5,1.75,1.8888888888888888,2.0,0.0,1.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.5,0.0,0.0,0.6,1.2,2.02753,1.4308690000000002,1.4459848000000002,1.3729714999999998,0.615191,0.8139249999999999,0.8601796,1.1626876,1.368421052631579,1.0,1.469445684210526,1.200435052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,André,65,106,396397,4,"[0.7433382, 0.9194083, 0.54806006, 0.61750686, 0.6038479, 0.5712992, 0.8688538, 0.8066737, 0.6038479]","[0.22095154, 0.07724002, 0.44402844, 0.3704788, 0.38463467, 0.3265444, 0.1153626, 0.17382553, 0.38463467]","[0.035710264, 0.0033517068, 0.007911517, 0.012014294, 0.011517404, 0.10215643, 0.015783524, 0.019500682, 0.011517404]",6.282836019992828,2.4977006912231445,0.2194632261525839,0.6980929,0.2775223,0.024384804,1,6,2
9,Craig Dawson,542,Wolverhampton Wanderers,5,2024-09-21T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172248803827751,0.04,0.0,0.0172248803827751,0.0172248803827751,0.430622009569378,1.0,0.0,0.430622009569378,0.430622009569378,1.0,2.75,52.25,90.0,56.5,52.25,52.25,0.0,0.0,0.0,3.14354066985646,3.7,2.707964601769912,3.14354066985646,3.14354066985646,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2380,1060,1,1.25,2,0.1791004564686925,0.2182659321429396,1.35031425,1.677866,1.35031425,1.35031425,1.6379425,1.72002,1.6379425,1.6379425,1.0,1.5,1.0,1.0,2.75,3.5,2.75,2.75,3.0,1.6666666666666667,1.75,1.75,2.0,1.6666666666666667,1.5,1.5,3.15876,2.213083333333333,2.3273875000000004,2.3273875000000004,0.852158,1.0136296666666669,1.46139725,1.46139725,1.75,1.5,2.3273875000000004,1.46139725,0.040650406504065,0.6504065040650406,0.0551864186044388,0.040650406504065,0.0548940181459595,0.3658536585365853,0.2845528455284553,0.0,88.56,5,Dawson,32,0,34340,0,[0.8759219],[0.118297175],[0.0057809437],0.875921905040741,0.1182971745729446,0.0057809436693787,0.8759219,0.118297175,0.0057809437,0,1,0
