,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Aït-Nouri,533,9,681,240060,65,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9222857, 0.5710131, 0.8109783, 0.89806676, 0.88216776, 0.89988506, 0.60771424, 0.50377774, 0.5465536, 0.56929916, 0.91048896, 0.8962868, 0.77761626, 0.7716245, 0.95174056, 0.91853225, 0.942264, 0.59194666, 0.85503614, 0.94828856]","[0.052299738, 0.3495084, 0.1757105, 0.09359152, 0.11549969, 0.08650527, 0.38457522, 0.4489215, 0.4440182, 0.36706358, 0.084016554, 0.09734286, 0.17876871, 0.17131254, 0.040093377, 0.073551476, 0.043455135, 0.38884243, 0.13541378, 0.045253]","[0.025414586, 0.07947853, 0.013311229, 0.00834179, 0.0023325614, 0.013609581, 0.007710544, 0.047300745, 0.009428134, 0.06363734, 0.0054944344, 0.0063703125, 0.043615006, 0.05706297, 0.008166033, 0.007916219, 0.01428092, 0.019210886, 0.009550103, 0.006458445]",15.775566101074219,3.77574348077178,0.44869036762975156,0.78877825,0.18878718,0.022434516,4,14,2
1,Cunha,541,9,836,488495,52,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9269801, 0.8860466, 0.7568923, 0.9222857, 0.91048896, 0.8872938, 0.91059524, 0.5089781, 0.9497682, 0.64001614, 0.85841453, 0.95174056, 0.77761626, 0.93642807, 0.87526643, 0.61442065, 0.85926634, 0.65591013, 0.9339773]","[0.059786834, 0.11083134, 0.23462601, 0.052299738, 0.084016554, 0.09654975, 0.08264694, 0.4855099, 0.036942795, 0.3560074, 0.10368265, 0.040093377, 0.17876871, 0.05279438, 0.06639782, 0.37097985, 0.13114634, 0.3238579, 0.06424703]","[0.013232992, 0.003122031, 0.00848167, 0.025414586, 0.0054944344, 0.016156368, 0.0067578624, 0.0055119745, 0.013288993, 0.003976454, 0.037902754, 0.008166033, 0.043615006, 0.010777512, 0.05833571, 0.01459949, 0.009587352, 0.02023198, 0.0017756587]",15.762385427951813,2.9311853237450123,0.30642886203713715,0.8295992,0.15427293,0.016127834,3,16,0
2,Strand Larsen,566,9,873,672265,48,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9222857, 0.64001614, 0.8109783, 0.6897273, 0.91759866, 0.88231266, 0.77761626, 0.5391499, 0.9091854, 0.7583095, 0.80951655, 0.9340364, 0.9339773, 0.8319853, 0.88220364, 0.68160856, 0.8375522, 0.844961]","[0.052299738, 0.3560074, 0.1757105, 0.285126, 0.047598407, 0.113342755, 0.17876871, 0.45504388, 0.07840841, 0.23701155, 0.1604437, 0.06294483, 0.06424703, 0.16313449, 0.11263226, 0.28906715, 0.15863957, 0.14733611]","[0.025414586, 0.003976454, 0.013311229, 0.02514677, 0.034802884, 0.0043445393, 0.043615006, 0.0058062333, 0.012406231, 0.0046789916, 0.030039748, 0.0030187573, 0.0017756587, 0.0048802746, 0.005164136, 0.029324258, 0.0038082844, 0.0077029346]",14.603020668029785,3.1377624720335007,0.2592169747222215,0.81127894,0.17432013,0.014400942,6,11,1
3,Toti,567,8,6,3103,3,[False],[0.8233567],[0.15565264],[0.020990778],0.8233566880226135,0.15565264225006104,0.020990777760744095,0.8233567,0.15565264,0.020990778,0,1,0
4,Johnstone,204,8,9,2241,0,"[False, False]","[0.7267007, 0.61954826]","[0.20181923, 0.36933267]","[0.07148006, 0.011119012]",1.346248984336853,0.5711518973112106,0.08259906992316246,0.6731245,0.28557596,0.041299537,1,1,0
5,Aït-Nouri,533,8,2755,6579969,195,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.6376035, 0.795877, 0.9180364, 0.8375814, 0.9238796, 0.788915, 0.69608396, 0.9007055, 0.9593325, 0.7177475, 0.6558152, 0.8769168, 0.80461997, 0.6742034, 0.7729719, 0.9129719, 0.56907403, 0.9356699, 0.63945645, 0.58764434]","[0.33666113, 0.12286472, 0.07957709, 0.10575834, 0.074238546, 0.10969626, 0.2973576, 0.08166062, 0.034489214, 0.27840644, 0.33687636, 0.08673747, 0.17888802, 0.3131924, 0.2217921, 0.064571455, 0.42623797, 0.05608031, 0.34704426, 0.36587325]","[0.025735322, 0.081258334, 0.0023865341, 0.056660213, 0.0018818844, 0.101388745, 0.006558464, 0.017633932, 0.0061782375, 0.0038459953, 0.0073084403, 0.036345717, 0.016492087, 0.012604218, 0.005236003, 0.022456622, 0.004688004, 0.008249764, 0.013499252, 0.046482418]",15.605106353759766,3.9180035516619682,0.47689018584787846,0.7802554,0.19590019,0.023844508,6,13,1
6,Semedo,559,8,6,3103,3,[False],[0.8233567],[0.15565264],[0.020990778],0.8233566880226135,0.15565264225006104,0.020990777760744095,0.8233567,0.15565264,0.020990778,0,1,0
7,Cunha,541,8,638,78514,173,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8672461, 0.962297, 0.5995147, 0.88684976, 0.5032662, 0.84565395, 0.89459217, 0.50954175, 0.5639073, 0.931612, 0.9620089, 0.6584602, 0.64649755, 0.90610075, 0.94692844, 0.8818812, 0.8930393, 0.881841, 0.6399256]","[0.1266598, 0.034234617, 0.3908742, 0.10782386, 0.30215085, 0.15198767, 0.087170355, 0.45349264, 0.4322253, 0.057159845, 0.036022566, 0.28285044, 0.34651563, 0.053680558, 0.04883615, 0.114207, 0.099646114, 0.11256153, 0.34618494]","[0.0060940455, 0.0034683454, 0.0096110385, 0.0053263907, 0.19458295, 0.0023583528, 0.018237501, 0.03696556, 0.0038674222, 0.011228183, 0.0019684988, 0.058689363, 0.0069868825, 0.04021875, 0.004235392, 0.0039118608, 0.0073146573, 0.0055974913, 0.01388946]",14.981163918972015,3.5842840559780598,0.4345521479845047,0.78848237,0.18864653,0.022871166,9,9,1
8,Strand Larsen,566,8,13,10199,9,"[False, False, False, False, False, False, False]","[0.7395329, 0.84837985, 0.90818405, 0.90274674, 0.79605365, 0.90532196, 0.93301487]","[0.22869205, 0.12776816, 0.051332146, 0.09288273, 0.19005586, 0.05677684, 0.059231676]","[0.03177502, 0.023851901, 0.040483836, 0.004370582, 0.013890467, 0.037901215, 0.007753421]",6.033234000205994,0.8067394681274891,0.1600264422595501,0.8618906,0.115248494,0.02286092,1,6,0
9,Gomes,553,8,7,3577,3,"[False, False]","[0.9574467, 0.8233567]","[0.028015653, 0.15565264]","[0.01453772, 0.020990778]",1.780803382396698,0.18366829492151737,0.03552849777042866,0.8904017,0.09183415,0.017764248,0,2,0
10,André,642,8,4854,6414982,92,"[False, False, False, False, False, False, False, False, False, False]","[0.8464969, 0.94996244, 0.8464969, 0.7365096, 0.90146106, 0.4330719, 0.8464969, 0.8464969, 0.95059216, 0.8464969]","[0.15172088, 0.046167467, 0.15172088, 0.14520597, 0.09571131, 0.33361846, 0.15172088, 0.15172088, 0.04610153, 0.15172088]","[0.0017822346, 0.0038701508, 0.0017822346, 0.11828445, 0.002827649, 0.23330969, 0.0017822346, 0.0017822346, 0.0033063537, 0.0017822346]",8.204081594944,1.4254091531038284,0.3705094618489966,0.82040817,0.14254092,0.037050948,9,1,0
11,Toti,567,7,1,1611,0,"[False, False]","[0.89616793, 0.81986165]","[0.08456748, 0.16027449]","[0.019264659, 0.019863844]",1.7160295844078064,0.24484197050333023,0.039128502830863,0.8580148,0.12242098,0.019564252,0,2,0
12,Bueno,564,7,3,45592,1,"[False, False, False, False, False, False]","[0.62861496, 0.62419236, 0.66221803, 0.9535051, 0.55236053, 0.8690958]","[0.36188427, 0.3634719, 0.32670665, 0.024889125, 0.43607545, 0.1070369]","[0.009500746, 0.012335658, 0.01107533, 0.021605782, 0.011563942, 0.023867276]",4.289986789226532,1.6200642865151167,0.08994873333722353,0.71499777,0.2700107,0.014991455,0,3,3
13,Johnstone,204,7,3,1955,0,[False],[0.8359517],[0.1526789],[0.01136944],0.8359516859054565,0.15267890691757202,0.011369439773261547,0.8359517,0.1526789,0.01136944,0,0,1
14,Aït-Nouri,533,7,6,56118,2,"[False, False]","[0.9256641, 0.6025765]","[0.069500856, 0.3895874]","[0.0048350613, 0.007836084]",1.5282406210899353,0.4590882584452629,0.012671145144850016,0.76412034,0.22954413,0.0063355723,1,1,0
15,Cunha,541,7,2,3150,3,"[False, False, False, False, False]","[0.78430796, 0.9256641, 0.88151574, 0.9240396, 0.9198138]","[0.121170595, 0.069500856, 0.109358124, 0.06235054, 0.062313724]","[0.09452145, 0.0048350613, 0.009126059, 0.0136099, 0.017872484]",4.435341238975525,0.42469384148716927,0.13996495259925723,0.8870683,0.08493877,0.02799299,1,4,0
16,Lemina,557,7,3,179,0,[False],[0.954964],[0.042650588],[0.0023854752],0.9549639821052551,0.04265058785676956,0.00238547520712018,0.954964,0.042650588,0.0023854752,1,0,0
