Player,Content,Start Date,End Date,Tweet Date,fpl_id,GW,Likes,Followers,Comments,Verified
Agbadou,"Current GW29 Bus Team #FPL
Budget: 0.3m
FT: 3

The plan is short-term transfers &amp; wildcard in GW31... possible transfers right now are:

CHO/Elanga in for Rogers
Hujisen/Agbadou in for Greaves. https://t.co/BdyPdDnYxu",2025-03-09,2025-03-14,Mon Mar 10 09:10:33 +0000 2025,720,29,0,152,0,False
Agbadou,"Gw29 transfer plans! 
Mateta to haaland, palmer to kluivert and Trent to Ait nouri 
If dango doesn’t start in gw28 and I don’t think he’ll start in gw29 I’ll do 
Mateta to haaland, palmer to kluivert, Trent to agbadou and dango to Semenyo (-4) 
Buy a Palace player in gw30!
#fpl",2025-03-09,2025-03-14,Sun Mar 09 11:49:29 +0000 2025,720,29,1,42,0,False
Agbadou,"GW29 Blank GW Dilemma 👀

Used my 1 free transfer to sell Trent to Agbadou- £3.5m in bank

Option 1: Play Palmer, Wissa(no point deduction) 
Option 2: Sell them both for Haaland &amp; Garnacho or another 5.9 m Midfielder for a -8 hit

#FPL
#BGW29",2025-03-09,2025-03-14,Thu Mar 13 13:44:24 +0000 2025,720,29,0,298,0,False
Bellegarde,#FPL Update: Jean-Ricner Bellegarde - Knock #Wolves Expected Return: 08-03-2025 Status: 100% https://t.co/lDgjgdSMdj,2025-03-09,2025-03-14,Mon Mar 10 14:43:07 +0000 2025,535,29,0,34316,1,False
Bellegarde,"Dango seems a write off then 🫠 

Which leaves me with 10 for GW29 ⁉️ 

My only options would be Munetsi or Bellegarde 🐺 

And it’d be for a -8 🤢 

What’s your thoughts? #FPL #FPLCommunity",2025-03-09,2025-03-14,Thu Mar 13 21:36:41 +0000 2025,535,29,3,796,2,False
Bellegarde,"BGW 29-Players to Watch

📌NFO 🆚 IPS

🔸WOOD/GIBBS WHITE (CENTER 4th
🔸H.ODOI/WILLIAMS (RIGHT - 6th)
🔸 ELANGA/AINA (LEFT - 6th)

📌 WOL 🆚 SOU 

🔸LARSEN/HWANG (CENTER - WORST)
🔸NOURI/BELLEGARDE (RIGHT - 2nd) 
🔸 MUNETSI/SARABIA (LEFT - 4th)

#FPL #FPLCommunity",2025-03-09,2025-03-14,Thu Mar 13 18:22:56 +0000 2025,535,29,4,7810,2,False
José Sá,"#FPLcommunity #GW29 I got bored &amp; I made early transfers... there was no threat of rising prices, just boredom 😂
I took a -8 hit and got in Jose Sa, Milenkovic &amp;Haaland. I sold TAA, Issac &amp; Fabianski. Im saving my FH chip.  #noregrets #FPL https://t.co/H2PbsOsiAm",2025-03-09,2025-03-14,Thu Mar 13 10:49:51 +0000 2025,554,29,1,1706,0,False
José Sá,"Draft 1 for the blank GW29 :

Dango -&gt; Elanga
Rogers -&gt; Kluivert
Hall -&gt; Williams
Valdimarsson -&gt; Jose SA

4/3 FT (-4).
I can't escape the hit or i'll risk Dango minutes.

Any suggestions ?
#FPL #BGW29 https://t.co/I2IU0jYf1g",2025-03-09,2025-03-14,Sun Mar 09 22:17:45 +0000 2025,554,29,0,192,0,False
José Sá,"Upd team for game week 29

Verbuggen ♻️ José Sá
Colwill ♻️ Gvardiol
TAA ♻️ Saliba
Muñoz ♻️ Gabriel
Tarkowski ♻️ Aït-Nouri
M. Salah ♻️ B. Fernandes
I. Sarr ♻️ Mitoma
Wissa ♻️ C. Wood

For the first time I didn't use it Salah because there is no match in game week 29 #fpl #fplive https://t.co/wn7bqzmJox",2025-03-09,2025-03-14,Sun Mar 09 22:52:17 +0000 2025,554,29,2,1,0,False
Gomes,#FPL Update: Rodrigo Gomes - Osteitis Pubis #Wolves Expected Return: 08-03-2025 Status: 100% https://t.co/lDgjgdSMdj,2025-03-09,2025-03-14,Mon Mar 10 14:42:51 +0000 2025,553,29,0,34316,1,False
